tf,p-value
Srrt,0.039
Nr0b2,0.0406
Foxp4,0.0464
Gtf2b,0.0466
Gtf2i,0.0469
Snai2,0.0485
Drap1,0.0486
Bptf,0.0489
Mll2,0.0489
0610031J06Rik,0.0527
Pcna,0.0533
Thoc1,0.0539
Nr5a2,0.0557
Zfp93,0.0559
Ing2,0.0562
Bcl3,0.0564
Nfib,0.0608
Taf8,0.061
Zfp524,0.0645
Foxk2,0.0659
Mef2d,0.0737
Foxa2,0.0739
Mterfd1,0.0775
Nr2c1,0.0778
Nr2c2,0.0791
Ctcf,0.0796
Zfp326,0.0811
Zfp384,0.0821
Ets2,0.0832
E2f3,0.0848
Rela,0.0848
Creb3,0.0872
Hnrnpk,0.0873
Hdac1,0.0921
Whsc1,0.0992
Tfdp1,0.1007
Crebbp,0.1023
Ets1,0.1054
Gzf1,0.1078
Ldb1,0.1107
Bcl6,0.1157
Nr1h2,0.1207
Smarcc2,0.1211
Dmap1,0.123
Zbtb42,0.1272
Tada2a,0.1281
Lass2,0.1327
Crebzf,0.134
Naca,0.1357
Mynn,0.1367
Zhx1,0.1412
Tcf3,0.1445
Bahd1,0.1463
Stat6,0.1466
Rfxank,0.1497
E2f6,0.1505
Zfp553,0.1551
Chd9,0.156
Rbpj,0.1589
Ppp1r8,0.1635
Med1,0.1642
Fosl2,0.1652
Rbbp5,0.1704
Epas1,0.1717
Pbx2,0.1727
Bmi1,0.1758
Zfp652,0.1808
Tead3,0.1819
Ash1l,0.1825
Chd1,0.1847
Ddx58,0.1863
Rbl2,0.1872
Rptor,0.1891
E2f8,0.1943
Adar,0.1969
Mlxipl,0.2012
Smarca2,0.2034
Hmgb2,0.207
Fubp1,0.2072
Ddx1,0.2087
Gtf2f2,0.2142
Phf5a,0.2165
Thap11,0.2217
Zfp518a,0.2224
Etv6,0.2262
Zzz3,0.2277
Npm1,0.2296
Nr3c1,0.2459
Creb3l3,0.2468
Zfp691,0.253
Zfp574,0.2535
Safb2,0.2545
Zkscan17,0.2573
Rest,0.263
Cbfb,0.2638
Zfp771,0.2694
Klf3,0.2727
Ptges2,0.274
Nfx1,0.2761
Chd4,0.2781
Ddx20,0.2807
Taf2,0.283
Srf,0.2847
A930001N09Rik,0.2851
Tmpo,0.2858
Topors,0.2863
Arid5b,0.2911
Zfp36,0.3067
Med26,0.31
Ppara,0.312
Zfp787,0.3151
Spen,0.3185
Zfp592,0.319
Pcgf6,0.3204
Nfe2l2,0.322
Son,0.3309
Hmg20a,0.3312
Ahr,0.3317
Zkscan5,0.3323
Etv3,0.3323
Cebpb,0.3327
Snapc1,0.3328
Gon4l,0.3343
Csda,0.3347
Hopx,0.3348
Cc2d1a,0.3363
Rps3,0.3377
Zfp511,0.3378
Deaf1,0.339
Dnajc2,0.3393
Zfp770,0.3402
Kdm3a,0.3407
Creb1,0.3486
Zfp653,0.3495
Stat1,0.3596
Gabpb1,0.3686
Kdm5c,0.3713
Abt1,0.3717
Gtf2a1,0.3724
Tcf21,0.3741
Msl3,0.3775
Pparg,0.3782
Tfip11,0.3894
Arnt,0.3915
Zfx,0.3945
Nfat5,0.3979
Ahctf1,0.3991
Rbbp8,0.4093
Elk4,0.4099
Hinfp,0.4142
Rnf141,0.4158
Atf4,0.4259
Taf11,0.4266
Irf3,0.4345
Stat5a,0.4367
Mta3,0.4433
Zfp395,0.4466
Zbtb22,0.4466
Creb3l2,0.4506
Lin54,0.4515
Klf13,0.4524
Zfp120,0.4549
Ncor1,0.4591
Zfp654,0.4606
Nfic,0.4617
Zkscan1,0.465
Rcor1,0.4802
Zfp217,0.4811
Klf6,0.4835
Gata6,0.4846
Ppard,0.4855
Zbtb48,0.4921
Gabpa,0.496
Irf9,0.4963
Tbx3,0.5051
Nr2f6,0.5055
Gatad1,0.5075
Ilf3,0.5077
Dnmt1,0.5088
Ddx41,0.5095
Ilf2,0.5104
Atf2,0.5114
Mterfd3,0.5127
Arid4b,0.5129
Atf1,0.5176
Pias4,0.5184
Csde1,0.5185
Trim28,0.5235
Gm98,0.5286
Zfp292,0.5287
Irf5,0.5295
Cdk9,0.5308
Mga,0.5308
Pa2g4,0.5401
Elf1,0.542
Zbtb43,0.5485
Sp1,0.5664
Rbmxl1,0.5674
Zbtb7a,0.5702
Pias1,0.5704
Zfp523,0.5746
Yy1,0.5771
Camta2,0.5791
Mycl1,0.5854
Taf9,0.5863
Mafb,0.5875
Nfyc,0.5877
E4f1,0.5883
Trp53,0.5897
Rbmx,0.5911
Nostrin,0.5915
Ncor2,0.5923
Bdp1,0.5935
Mxi1,0.596
Atf6b,0.5999
Dedd2,0.6045
Stat5b,0.6047
Trim27,0.6147
Zfp263,0.6187
Ikzf5,0.6217
Tardbp,0.622
Tfb1m,0.6223
Smad1,0.6241
Taf10,0.6251
Pnn,0.6279
Mtf1,0.6294
Tfcp2,0.634
Cnbp,0.6346
Irf7,0.6349
Mbd3,0.6438
Kdm2a,0.6441
Hmgb1,0.6488
Foxo4,0.6497
Wbp7,0.6498
Zfp280d,0.6518
Smarca4,0.6533
Kdm6b,0.655
Lrrfip1,0.6577
Nfix,0.6583
Carm1,0.6593
Foxo1,0.6597
Mxd4,0.6601
Ifi204,0.6612
Mier3,0.6612
Hdac3,0.6617
Mecp2,0.6623
Myc,0.6624
Bhlhe40,0.663
Tfdp2,0.6652
App,0.6659
Bach1,0.666
Klf9,0.6664
Zfp467,0.6664
Lass6,0.6666
Mier1,0.6673
Atoh8,0.6675
Per1,0.6682
Zfp746,0.6687
Taf1,0.669
Zfp639,0.669
Ncoa2,0.6692
Tfpt,0.6693
Tcf25,0.6696
Hivep1,0.6698
Mta1,0.6711
Zfp322a,0.6735
Rb1,0.6737
Rnf6,0.6762
Brd4,0.6763
Maz,0.6774
Rfc1,0.6783
Nr1d1,0.6795
Ruvbl2,0.6811
Erf,0.6846
Hdac2,0.6863
Taf4a,0.6888
Zfp276,0.6909
Taf1b,0.6912
Zfp58,0.6923
Gpbp1,0.6975
Gabpb2,0.7016
Kdm1b,0.7049
Snapc4,0.7067
Taf1d,0.7072
Hsf4,0.7093
Rnf4,0.7139
Zfp281,0.7233
Zfp367,0.7252
Ercc3,0.7275
Men1,0.7301
Nkrf,0.7314
Smarcc1,0.7373
Zbtb33,0.738
Cebpa,0.7403
Apex1,0.7407
Zfp1,0.7514
Ssrp1,0.7542
Sarnp,0.7609
Crem,0.7635
Preb,0.7661
Hes1,0.7709
Gtf2f1,0.7714
Irf6,0.7734
Esrra,0.7745
Foxq1,0.7835
Zfp143,0.7849
Thap7,0.7993
Sox18,0.7998
Nfyb,0.8046
Nolc1,0.8059
Mybbp1a,0.8064
Sox9,0.8109
Irf1,0.8131
Zfp593,0.8137
Zfp768,0.8185
Hnrpdl,0.8199
Zbtb44,0.8219
Csrnp1,0.8226
Purb,0.8235
Calcoco1,0.827
Nkap,0.8293
Usf2,0.8336
Tshz1,0.8367
Churc1,0.8438
Zfpm1,0.855
Tbl1xr1,0.8676
Smarca5,0.8708
Hnrnpab,0.8717
Stat3,0.8765
Bcor,0.8805
Ncoa3,0.8814
Zscan21,0.882
Pknox1,0.8832
Aebp2,0.8855
Rxra,0.886
Ercc2,0.8903
Hnrnpd,0.8926
Fubp3,0.8945
Sfpq,0.8956
Rfx1,0.8965
Grlf1,0.8979
Ash2l,0.9002
Zbtb6,0.9024
Gtf2ird1,0.9058
Med6,0.9072
Taf12,0.916
Pbrm1,0.9193
Tcea1,0.9224
Taf5,0.9264
Terf2ip,0.9271
Suz12,0.9277
Hdac4,0.9325
Tcf7l1,0.9496
Psip1,0.9517
Pus1,0.9526
Hltf,0.9566
Hsf1,0.9586
Nr1h3,0.9673
Adnp2,0.9706
Taf6,0.9723
Nfatc3,0.9761
Pml,0.9775
Gtf2e2,0.9873
Set,0.9881
Cc2d1b,0.994
Bclaf1,0.9974
Zfp260,1.0
Gatad2b,1.0
Clock,1.0
Gtf2h5,1.0
Hnf1a,1.0
Cdc5l,1.0
Tfam,1.0
Mafg,1.0
Hes6,1.0
Mnt,1.0
Carhsp1,1.0
Dhx33,1.0
Nr1d2,1.0
Cggbp1,1.0
Myst3,1.0
Smad7,1.0
Taf7,1.0
Trim24,1.0
Zfp507,1.0
Elf2,1.0
Irf2,1.0
Rfxap,1.0
Atxn1l,1.0
Hdgf,1.0
Brd7,1.0
