tf,p-value
Nkrf,1.0
Camta2,1.0
Gtf2ird1,1.0
Gtf2i,1.0
Nr1d1,1.0
Dmtf1,1.0
Spata24,1.0
Lmo4,1.0
Smarce1,1.0
Per1,1.0
Mef2a,1.0
Zfp263,1.0
Tbl1xr1,1.0
Tcf3,1.0
Taf8,1.0
Hmgb1,1.0
Taf11,1.0
Taf4a,1.0
Cebpa,1.0
Arnt,1.0
Cbx2,1.0
Smad2,1.0
Pbx2,1.0
Rora,1.0
