tf,p-value
Irf1,0.6128
Irf6,0.6249
Pias2,0.6292
Nkap,0.6508
Npm1,0.6527
Atf2,0.654
Ino80,0.6582
Zfp523,0.659
Hmgb1,0.659
Carm1,0.6592
Trp53,0.6596
Nfic,0.6598
Atf3,0.6612
Gtf2i,0.6615
Kdm2a,0.6616
Sox9,0.6618
Gtf3a,0.6623
Gtf2h5,0.6626
Junb,0.6629
Zfp445,0.663
Dedd2,0.6631
Mterfd3,0.6635
Mecp2,0.6646
Calcoco1,0.6646
Mterfd1,0.6649
Zfp574,0.665
Zfp281,0.6651
Arnt,0.6651
Xrcc6,0.6654
Atf4,0.6658
Kdm5a,0.6661
Dmap1,0.6661
0610031J06Rik,0.6664
Irf5,0.667
Foxa2,0.6673
Ddx1,0.6677
App,0.6678
Gtf2e1,0.6682
Foxa3,0.6685
Tfcp2,0.6694
Zkscan1,0.6694
Ahctf1,0.6696
Nr1d2,0.6702
Atf5,0.6711
Nr2c1,0.6715
Maz,0.6717
Dnajc2,0.6722
Mta3,0.6731
Rfxank,0.6741
Tgif1,0.6746
Phb,0.6769
Bcor,0.6796
Pa2g4,0.6832
Sarnp,0.6838
Clock,0.6839
Drap1,0.6889
Taf7,0.6932
Cdc5l,0.6975
Taf12,0.7073
Zfp36,0.709
Atoh8,0.7124
Ilf3,0.7253
Smarca2,0.7303
Gtf2e2,0.731
Zbtb48,0.7339
Zfp217,0.7359
Nfe2l2,0.7405
Hdgf,0.7426
Naca,0.7589
Kdm3a,0.761
Bcl6,0.7622
Dnmt1,0.7645
Gabpb1,0.7675
Klf15,0.7757
Hmgb2,0.7777
Smarcc1,0.7823
Mta2,0.7988
Zfp771,0.8107
Tada2a,0.817
Zfp750,0.8216
Tfdp1,0.8266
Ilf2,0.8273
Ncor2,0.8362
Mafg,0.8426
Nostrin,0.8461
Mafk,0.8603
Cebpa,0.8628
Csda,0.8641
Epas1,0.869
Stat3,0.876
Mynn,0.8835
Set,0.9094
Zbtb44,0.9111
Irf2,0.9145
Hdac1,0.9168
Snapc4,0.927
Taf5,0.9414
Sfpq,0.9425
Gata6,0.9493
Rnf141,0.9594
Cebpb,0.9673
Etv3,0.9723
Rcor1,0.9791
Rfc1,0.9875
Churc1,0.9882
Nfix,0.9906
Zbtb16,0.9993
Zbtb42,1.0
Cc2d1b,1.0
Gtf2f1,1.0
Sub1,1.0
Arid5b,1.0
Zfp629,1.0
Foxj2,1.0
Stat5b,1.0
Mlxipl,1.0
Hltf,1.0
Rnf10,1.0
Rbl2,1.0
Elk4,1.0
Irf7,1.0
Nr1h2,1.0
Hdac4,1.0
Zhx1,1.0
Mll2,1.0
Srebf1,1.0
Zfp276,1.0
Ybx1,1.0
Zfp512,1.0
Rbbp8,1.0
Irf3,1.0
Gpbp1,1.0
Nfyc,1.0
Preb,1.0
Puf60,1.0
Whsc1,1.0
Csde1,1.0
Zscan21,1.0
Dedd,1.0
Gmeb2,1.0
E2f5,1.0
Tbx3,1.0
Pnn,1.0
Rest,1.0
E4f1,1.0
Gtf2ird1,1.0
Mafb,1.0
Srebf2,1.0
Smarce1,1.0
Zfp322a,1.0
Zfp191,1.0
Crebl2,1.0
Rere,1.0
Tbl1xr1,1.0
Zfp787,1.0
E2f4,1.0
Taf8,1.0
Ercc2,1.0
Rara,1.0
Ddx58,1.0
Lrrfip1,1.0
Rps3,1.0
Lass6,1.0
Rnf4,1.0
Wbp7,1.0
Pbx2,1.0
Rora,1.0
