tf,p-value
Mll3,0.6577
E2f6,0.6581
Nfkb1,0.6583
Spen,0.6588
Ddx58,0.659
Klf12,0.661
Zfp523,0.6613
Nr1d1,0.6616
Taf9,0.6632
Lmo4,0.6635
Tfip11,0.664
Zhx1,0.6641
Nfil3,0.6641
Mtf1,0.6644
Hmgb1,0.6649
Zfp281,0.6651
Ubp1,0.6654
Sox6,0.6654
Rorc,0.6657
Mta3,0.6661
Ctnnb1,0.6665
Foxp4,0.6667
Zfp553,0.6679
Taf10,0.668
Sox18,0.6682
Stat1,0.6682
Ercc3,0.6694
Mier1,0.6696
Tbx3,0.67
Kdm5b,0.6705
Smad5,0.6705
Onecut1,0.6716
Mecp2,0.6726
Ncoa3,0.6729
Sall1,0.6759
Nfat5,0.6766
Pa2g4,0.6767
Adar,0.6815
Smarcc2,0.6886
Nostrin,0.6899
App,0.6906
Mybbp1a,0.693
Arid4b,0.6932
Foxa1,0.6937
Tfam,0.6955
Rbck1,0.6973
Ptges2,0.6996
Zbtb48,0.7072
Cggbp1,0.7085
Rbl2,0.7135
Cxxc1,0.7137
Rfx1,0.7138
Rest,0.7229
Smarce1,0.7246
Nr1h3,0.7254
Mta2,0.727
Irf7,0.7308
Ssrp1,0.7423
Zfp574,0.7463
Fubp1,0.7535
Sarnp,0.7607
Hnrnpab,0.7639
Gtf2f2,0.7667
C1d,0.7672
Atf5,0.7705
Wbp7,0.7735
Ruvbl2,0.774
Phf5a,0.7799
Ilf3,0.7883
Lin54,0.7947
Zfp592,0.7985
Ahctf1,0.8178
Ahr,0.8184
Rfc1,0.8236
Nr5a2,0.8245
Nr1i3,0.8269
Myst3,0.8332
Maf,0.8397
Stat5b,0.8399
Tfpt,0.848
Stat6,0.8532
Lrpprc,0.8536
Abt1,0.857
Thap7,0.8577
Rbbp5,0.8593
Trim27,0.863
Nfic,0.8635
Phb,0.8638
Tfb1m,0.8644
Zfp593,0.8753
Pus1,0.8791
Gzf1,0.8808
Sra1,0.882
Atf4,0.8849
Tmpo,0.8862
Rbmxl1,0.887
Zfp36,0.8952
Ppard,0.8959
Cc2d1a,0.9019
Dnmt1,0.9112
Rps3,0.9127
Irf1,0.9168
Tgif1,0.9183
Mll2,0.9232
Tada2a,0.9281
Cic,0.9296
Gtf2h5,0.9344
Hlf,0.9418
Zbtb16,0.9515
Gtf2e2,0.9558
Epas1,0.9567
Npm1,0.961
Nfix,0.9611
Ldb1,0.9631
Mafb,0.9653
Atf7,0.9687
Mbd3,0.9696
Cenpb,0.9704
Erf,0.9772
Ddx1,0.9802
Prdx5,0.9862
Zfp653,0.992
Pias4,0.9974
Klf15,1.0
Safb2,1.0
Irf5,1.0
Bcl6,1.0
Fubp3,1.0
Gatad2b,1.0
Arid5b,1.0
Zfp629,1.0
Zfp292,1.0
Purb,1.0
Foxj2,1.0
Cux1,1.0
Atoh8,1.0
Smarcal1,1.0
Cnbp,1.0
Mlxipl,1.0
Rnf10,1.0
Bmi1,1.0
Nr3c2,1.0
Gtf2a1,1.0
Rybp,1.0
Zfp143,1.0
Mbd2,1.0
Rcor1,1.0
Zfp148,1.0
Hdac4,1.0
Zfp110,1.0
Hmgn5,1.0
Zfp276,1.0
Naca,1.0
Hmg20b,1.0
Rbbp8,1.0
Irf3,1.0
Mxi1,1.0
Csde1,1.0
Rcor3,1.0
Pbrm1,1.0
Churc1,1.0
Gmeb2,1.0
Zhx3,1.0
Kdm2a,1.0
Tcf21,1.0
E2f5,1.0
Foxk2,1.0
Bcl3,1.0
E4f1,1.0
Foxk1,1.0
Stat3,1.0
Kdm1b,1.0
Thap11,1.0
Snapc4,1.0
Tfdp1,1.0
Per1,1.0
Cbfb,1.0
Rela,1.0
Zfp787,1.0
Atxn1l,1.0
Taf8,1.0
Edf1,1.0
Ercc2,1.0
Srrt,1.0
Hdgf,1.0
Foxn2,1.0
Etv3,1.0
Ikzf5,1.0
Mlx,1.0
Zkscan14,1.0
Hdac1,1.0
Pbx2,1.0
Bahd1,1.0
Mef2d,1.0
Rora,1.0
Zkscan1,1.0
