tf,p-value
Tcf12,0.3418
Ezh1,0.3426
Foxp4,0.3428
Dmtf1,0.3432
Phf21a,0.348
Onecut1,0.3501
Foxk2,0.3812
Hltf,0.3827
Irf5,0.3882
Trim28,0.392
Gtf2b,0.3926
Mterfd1,0.3928
Ppp1r8,0.394
Nr1h3,0.3952
Taf12,0.3965
Gabpb1,0.3986
Tfdp1,0.407
Med1,0.4103
Tgif1,0.4122
Crebbp,0.4202
Gtf2e2,0.4258
Epas1,0.4453
Zbtb16,0.4478
Zscan21,0.4628
Stat5b,0.4676
Hmgb2,0.4689
Pbrm1,0.4695
Edf1,0.4738
Gabpb2,0.4845
Sra1,0.5021
Rbbp5,0.505
Creb1,0.5085
Zfp280d,0.509
Tcf3,0.51
Rbl2,0.5103
Tcf7l1,0.511
Srrt,0.5114
Thoc1,0.5182
Mynn,0.5199
Cebpb,0.5212
Zbtb48,0.5218
Mlxipl,0.5236
Tcea3,0.5247
Psip1,0.5304
Churc1,0.5482
Smarcc1,0.5496
Abt1,0.553
Zhx1,0.5666
Foxj2,0.5678
Klf15,0.5833
Csda,0.5912
Dnajc2,0.5929
Ptges2,0.5949
Nolc1,0.5985
Irf3,0.6088
Npm1,0.6093
Zkscan6,0.6108
Ilf3,0.6146
Hes6,0.6196
Nr3c1,0.6277
Lrpprc,0.6307
Taf4a,0.6346
Preb,0.6351
Trp53,0.6394
Taf5,0.6468
Lass2,0.6508
Tfip11,0.6566
Dnmt1,0.6581
Nfe2l1,0.6582
Cbfb,0.6589
Ddx20,0.6598
Hnf1b,0.6599
Taf6,0.661
Sall1,0.6616
Mta3,0.6618
Clock,0.662
Mxd4,0.6624
Aebp2,0.6629
Smarcal1,0.6642
Klf12,0.6642
Jun,0.6645
Stat6,0.6646
Lmo4,0.6646
Mier1,0.6654
Gtf2ird1,0.6655
Taf9,0.6656
Zfp384,0.6661
Tcf20,0.6662
Dmap1,0.6663
Stat3,0.6666
Tbx3,0.6668
Elk4,0.667
Foxa2,0.667
Arnt,0.6672
Tbl1xr1,0.6674
Stat5a,0.6675
Nr3c2,0.6676
Foxo1,0.6686
Atf5,0.6695
Hmbox1,0.6695
Zfp511,0.6696
Nr2f2,0.6698
Maf1,0.6698
Zfp639,0.6701
Ercc2,0.671
Rps3,0.6713
Cc2d1b,0.6727
Myc,0.6732
Hnrpdl,0.6736
Nr1h2,0.6736
Cry1,0.6738
Smarca2,0.6758
Zfp422,0.6766
Zfp654,0.677
Dedd,0.6771
Ruvbl2,0.6898
Zfp58,0.6942
Ddx58,0.6994
Nfix,0.7091
Tcea1,0.7149
Bcor,0.7174
Creb3l3,0.7242
Mybbp1a,0.7275
Gon4l,0.7331
Ash1l,0.7353
Cebpa,0.7416
Zfp691,0.7447
Zfp263,0.7492
Sox18,0.7514
Rbmx,0.7601
Hdac1,0.7734
Zfp593,0.7754
Klf9,0.7821
Ssrp1,0.7849
Rora,0.7946
Snapc4,0.7947
Ppargc1a,0.7985
Med6,0.8003
Phb,0.818
Atf2,0.819
Nfkb1,0.8231
Naca,0.8258
Gm98,0.8263
Irf9,0.8269
Mta2,0.8293
Ctnnb1,0.8334
Nono,0.8391
Mbd3,0.8569
Set,0.8687
Ahctf1,0.8764
Rela,0.8771
Mef2a,0.8812
Taf2,0.8876
Ilf2,0.8923
Mecp2,0.8935
Mycl1,0.9014
Nfya,0.9051
Pus1,0.9093
Ash2l,0.9131
Cc2d1a,0.9132
Drap1,0.9193
Gtf3a,0.9307
Zbtb41,0.9397
Sfpq,0.9405
Rxrg,0.958
Hmg20b,0.9591
Nr1d1,0.9597
E4f1,0.9655
Zkscan1,0.9676
Calcoco1,0.9853
Pcna,0.9862
Ldb1,0.9889
Pias4,0.9953
E2f3,0.9956
Zfp281,0.9986
Sod2,1.0
Zfp260,1.0
Srf,1.0
Trim27,1.0
Smad5,1.0
Gtf2f1,1.0
Taf1,1.0
Gtf2h5,1.0
Zfpm1,1.0
Atoh8,1.0
Hhex,1.0
Hlf,1.0
Smarca4,1.0
Zfp280c,1.0
Maz,1.0
Hivep1,1.0
Smarcc2,1.0
Dhx33,1.0
Pml,1.0
Thap7,1.0
Hdac4,1.0
Taf10,1.0
Fubp1,1.0
Hmgn5,1.0
Zfp276,1.0
Ybx1,1.0
Taf13,1.0
Hdac2,1.0
Rfx1,1.0
Gpbp1,1.0
Ddx41,1.0
Yy1,1.0
Whsc1,1.0
Zfp120,1.0
Zfp386,1.0
Ubp1,1.0
Stat1,1.0
Topors,1.0
Zfp518a,1.0
Ncor2,1.0
Kdm3a,1.0
Tada2a,1.0
Creb3l2,1.0
Camta2,1.0
Zfp771,1.0
Pparg,1.0
Atf6b,1.0
Ahr,1.0
Nfatc3,1.0
Zfp322a,1.0
Zbtb44,1.0
Thra,1.0
Tead3,1.0
Maf,1.0
Taf8,1.0
Hmgb1,1.0
Men1,1.0
App,1.0
Ppard,1.0
Zfp524,1.0
Pbx2,1.0
Prdx5,1.0
Rnf141,1.0
