tf,p-value
Smarce1,0.446
Arid1a,0.4494
Klf15,0.4585
Rybp,0.4641
Mafb,0.4643
Ssrp1,0.4644
Tada2a,0.4685
Smad5,0.4723
Sall1,0.4802
Csda,0.4842
Hdgf,0.4865
Bahd1,0.4885
Gabpb2,0.5053
Nr2c2,0.5086
Pparg,0.5104
Nono,0.5142
Nfil3,0.5173
Hnrnpd,0.5232
E2f3,0.529
Drap1,0.5427
Atf4,0.5434
Zfp386,0.5447
Zfp672,0.5461
Nfx1,0.5589
Mta1,0.5672
Naca,0.5705
Zhx3,0.5713
Cic,0.5731
Nr3c1,0.582
Tfdp1,0.5825
Zfp148,0.5846
Preb,0.5848
Stat1,0.5867
Stat5a,0.5871
Ercc2,0.5872
Xrcc5,0.5873
Ilf3,0.5971
Zfp513,0.5993
Gzf1,0.602
Zfp217,0.602
Taf2,0.6035
Rfxank,0.6052
Gtf2e2,0.6072
Foxa2,0.6082
Usf2,0.6107
Zfml,0.6112
Tardbp,0.6267
Foxj2,0.628
Ddx1,0.6317
Trp53,0.6423
Rnf6,0.6531
Rest,0.6532
Zfp281,0.6564
Ncor1,0.6571
Dnajb6,0.6578
Cc2d1b,0.6592
Mta3,0.6592
Zfp260,0.6597
Phb,0.6601
Irf5,0.6603
Gabpb1,0.6616
Pcna,0.6618
Pias4,0.6619
Csrnp1,0.662
Suz12,0.6622
Smad2,0.6626
Zfp1,0.6628
Kdm1a,0.6633
Spata24,0.6634
Ttf1,0.6635
Irf3,0.6637
Gtf2a1,0.6638
Zfp422,0.6641
Olig1,0.6646
Taf4a,0.6646
Gtf2b,0.665
Spen,0.6651
Mef2a,0.6656
Hhex,0.6657
Carm1,0.6659
Zfp787,0.667
Nfyb,0.6671
Hes1,0.6675
Rxra,0.6675
Tead3,0.6677
Ctcf,0.6678
Kdm2a,0.6679
Gtf3a,0.6681
Mtf1,0.6684
Foxk2,0.6685
Nfia,0.6687
Zfp770,0.6687
Tfpt,0.6698
Tfcp2,0.6705
Abt1,0.6707
Foxo1,0.6709
Zbtb43,0.6712
Med1,0.6718
Zfp652,0.6719
Creb3l3,0.672
Dedd,0.6729
Camta2,0.6733
Nr2f2,0.6734
Zfp143,0.6741
Cxxc1,0.6742
Ddx58,0.6742
Nfkb1,0.6749
Dr1,0.6752
Atf5,0.6763
Rfxap,0.677
Smarca5,0.6777
Taf5,0.6843
Ptges2,0.6912
Zfp280c,0.6989
Adnp2,0.7025
Elk4,0.7052
Hnrnpk,0.7085
Atf6b,0.7089
Zfp574,0.7102
Pias2,0.7133
Mbd2,0.7152
Sarnp,0.7167
Taf13,0.7207
Nr1d1,0.7344
Ddx20,0.7361
Zfp39,0.7376
Gatad1,0.7409
Myst3,0.7424
Gabpa,0.7456
Zfp518a,0.7475
Nfkb2,0.7571
Snapc4,0.7641
Cc2d1a,0.7745
Crebzf,0.7789
Tfam,0.7877
Zfp553,0.7959
Chd1,0.7998
Men1,0.8005
Mbd3,0.8032
Klf13,0.8039
Rbmx,0.8183
Zfp191,0.8227
Calcoco1,0.8271
Bhlhe40,0.829
Mterfd1,0.8331
E4f1,0.8389
Nolc1,0.8433
Mta2,0.8445
Hnrnpab,0.8445
Zkscan17,0.8488
Ahctf1,0.8576
Smarcc2,0.8622
Nfic,0.8641
Rtf1,0.8683
Irf2,0.8714
Hmgb1,0.8831
Hinfp,0.8837
Kdm3a,0.8902
Cebpb,0.8905
Thrb,0.8933
Taf9,0.8955
Rbmxl1,0.896
Cebpa,0.9003
Zfp768,0.9005
Zfp36,0.9007
Mef2d,0.9117
Set,0.9118
Tmpo,0.918
Atf1,0.9244
Tcf3,0.9247
Gmeb2,0.9281
Zfp653,0.9369
Ppp1r8,0.9425
Ilf2,0.9459
Ash2l,0.9467
Nr0b2,0.9489
Hlf,0.9501
Taf1d,0.9551
App,0.9606
Rbbp5,0.9617
Tbx3,0.9634
Pa2g4,0.9641
Smarcc1,0.9651
Creb1,0.9681
Son,0.9719
Gtf2i,0.9725
Mybbp1a,0.9726
Zbtb24,0.978
Npm1,0.9818
Rnf141,0.9834
Cbfb,0.9904
Atxn1l,0.9954
Rfx1,0.9964
Bclaf1,0.9965
Rorc,0.9971
Kdm5b,0.9997
Gatad2b,1.0
Arid5b,1.0
Mafg,1.0
Rnf10,1.0
A930001N09Rik,1.0
Carhsp1,1.0
Gm98,1.0
Tfip11,1.0
Zhx1,1.0
Phf5a,1.0
Gata6,1.0
Fosl2,1.0
Xrcc6,1.0
Hmgn5,1.0
Zfp276,1.0
Smad7,1.0
Ybx1,1.0
Gpbp1,1.0
Ddx41,1.0
Taf7,1.0
Creb3,1.0
Onecut2,1.0
Csde1,1.0
Ncoa2,1.0
Crebbp,1.0
Zfp120,1.0
Tgif1,1.0
Churc1,1.0
Mxd4,1.0
Elf2,1.0
Cry1,1.0
Stat3,1.0
Lmo4,1.0
Thap11,1.0
Zbtb44,1.0
Sra1,1.0
Cry2,1.0
Rela,1.0
Taf8,1.0
Smad4,1.0
Arnt,1.0
Etv3,1.0
Terf2ip,1.0
Rnf4,1.0
Lrpprc,1.0
Mga,1.0
Pbx2,1.0
Hbp1,1.0
Myc,1.0
