tf,p-value
Nkrf,0.2204
Zkscan1,0.2336
Ilf3,0.2356
Nostrin,0.2397
Mycl1,0.2441
Dmtf1,0.2443
Stat3,0.2484
Camta2,0.2501
Sox6,0.2517
Apex1,0.2518
Hhex,0.2692
Ddx1,0.27
Cxxc1,0.2906
Chd1,0.3022
Pcna,0.3025
Zfp322a,0.3192
Klf11,0.3223
Dhx33,0.3224
Gtf2e1,0.3245
Nfe2l2,0.3249
Smarca4,0.3251
Tardbp,0.328
Tcf7l2,0.3284
Aebp2,0.3298
Bhlhe40,0.3302
Xrcc5,0.3304
Sra1,0.3308
Prdm4,0.3309
Dnajb6,0.331
Deaf1,0.3311
Elf2,0.3315
Nr1h3,0.3323
Fubp3,0.3325
Gatad2b,0.3331
Tead3,0.3333
Myst3,0.334
Terf2ip,0.3355
Safb,0.3357
Fubp1,0.3378
Srf,0.3387
Hnrnpab,0.3391
Ash1l,0.3397
Csda,0.3433
Zfp191,0.3434
Smarca2,0.3542
Msl3,0.358
Rbbp5,0.3656
Nfil3,0.3668
Pbrm1,0.3674
Nfkb1,0.3691
Hmgn5,0.3723
Pa2g4,0.3814
Med6,0.3818
Esr1,0.3869
Hmg20b,0.3916
Hmbox1,0.3977
Gzf1,0.3985
Zfp553,0.3993
Ahr,0.4044
Atxn1l,0.4089
Gmeb2,0.4097
Ash2l,0.411
Zzz3,0.4129
Dnmt1,0.4175
Rela,0.4185
Irf1,0.4341
Trp53,0.437
Set,0.4383
Gtf2f2,0.4418
Zfp384,0.4433
Zkscan5,0.4502
Rbck1,0.4503
Zfml,0.4534
Nr2f2,0.4782
Taf2,0.479
Cry1,0.4805
Cdc5l,0.4812
Atf1,0.4867
Foxq1,0.4904
Irf9,0.4914
Phf21a,0.4914
Tbl1xr1,0.4947
Stat1,0.5018
Smarca5,0.5032
Tbx3,0.5041
Nfyc,0.5055
Atoh8,0.5114
Arid5b,0.5129
Abt1,0.5158
Psip1,0.5163
Edf1,0.5173
Sod2,0.5192
Hes6,0.5193
Nfatc3,0.5301
Mybbp1a,0.5346
Hnrnpd,0.5386
Kdm5b,0.5395
Ddx58,0.5396
Npm1,0.5501
Zkscan14,0.5609
Nfkb2,0.5633
Lass6,0.5675
Mafk,0.5679
Cbx2,0.5775
Rnf4,0.5778
Mbd3,0.5782
Irf6,0.5831
Cnbp,0.585
Mier1,0.5892
Rxrg,0.5933
Csde1,0.6044
Srrt,0.6044
Drap1,0.6116
Mafg,0.6177
Elf1,0.6209
0610031J06Rik,0.6273
Atf4,0.6351
Rps3,0.6377
Tmpo,0.6399
Gtf3a,0.6509
Zfp513,0.6575
Cux1,0.6595
Ddx41,0.6597
Hmgb1,0.6606
Pml,0.6609
Rb1,0.6612
Gon4l,0.6615
Zfp58,0.6616
Foxn3,0.6624
Mef2a,0.6624
Tfb1m,0.6628
Tfdp2,0.6629
Klf13,0.6629
Mecp2,0.6637
Zkscan6,0.664
Stat5b,0.6642
Rbmx,0.6652
Tfip11,0.6654
Carhsp1,0.6665
Gata6,0.6668
Ercc3,0.6669
Zfp39,0.6675
Zfp367,0.6679
Yy1,0.6681
Ubp1,0.6682
Smad5,0.6685
Gtf2f1,0.6685
Calcoco1,0.6685
Thrb,0.6686
Mtf1,0.6686
Fosl2,0.6689
Sap30,0.669
Klf9,0.6693
Tcf25,0.6711
Rxra,0.6712
Taf7,0.6712
Tcf12,0.6716
Hnrnpk,0.6722
Sp1,0.6729
Kdm1b,0.673
Nfyb,0.673
Rara,0.6741
Preb,0.6744
Foxp4,0.6754
Zfp800,0.6757
Cic,0.6842
Nr1h2,0.6876
Ruvbl2,0.6912
Zfp281,0.6925
Zfp746,0.6927
Taf12,0.6946
Maz,0.6969
Ctnnb1,0.6988
Prox1,0.7003
Safb2,0.702
Gabpb1,0.7118
Hnf1b,0.7163
Tada2a,0.7196
Taf5,0.7226
Mxi1,0.7292
Smarcc1,0.7404
Gtf2ird1,0.7456
Zfpm1,0.7481
Cggbp1,0.75
Zbtb44,0.7547
Ddx20,0.7551
Bcor,0.7619
Zfp574,0.7622
Foxa2,0.7622
Ilf2,0.7639
Stat5a,0.7718
Ppara,0.7769
Tcf3,0.7795
Nfix,0.7877
Nr3c1,0.807
Snapc4,0.8162
App,0.8207
Foxa1,0.8211
Zfp593,0.822
Thap7,0.8307
Nfe2l1,0.8326
Esrra,0.8354
E2f8,0.8401
Tfcp2,0.8544
Lrrfip1,0.8614
Mafb,0.8658
Nolc1,0.8686
Pias4,0.8737
Grlf1,0.8749
Pias2,0.8805
Smarcal1,0.8823
Suz12,0.8955
Zbtb6,0.8959
Kdm3a,0.9057
Ing2,0.9119
Gm98,0.9138
Zfp524,0.9178
Tgif1,0.918
Bclaf1,0.9181
Tmf1,0.9201
Rora,0.9205
Rbbp8,0.9415
Hmgb2,0.9449
Zfp445,0.9453
Gtf2b,0.9536
Tcf7l1,0.9615
Zfp639,0.9627
Onecut1,0.9698
Atf6b,0.97
Zfp395,0.9724
Taf4a,0.9789
Rbmxl1,0.979
Sox18,0.9868
Zfp161,0.988
Pcgf6,0.9896
Nr0b2,1.0
Erf,1.0
Foxj2,1.0
Hnf1a,1.0
Nfat5,1.0
Kdm5c,1.0
Mlxipl,1.0
Zfp592,1.0
Bmi1,1.0
Hlf,1.0
Nr3c2,1.0
Gtf2e2,1.0
A930001N09Rik,1.0
Rnf6,1.0
Elk4,1.0
Tshz1,1.0
Klf3,1.0
Zbtb41,1.0
Ldb1,1.0
Hdac4,1.0
E2f6,1.0
Taf10,1.0
Zhx1,1.0
Mll2,1.0
Zfp276,1.0
Dmap1,1.0
Crem,1.0
Naca,1.0
Zfp36,1.0
Irf3,1.0
Carm1,1.0
Churc1,1.0
Nr2f6,1.0
Ncor2,1.0
Zfp422,1.0
E4f1,1.0
Creb3l2,1.0
Rfxap,1.0
Tfdp1,1.0
Zfp326,1.0
Zfp652,1.0
Cry2,1.0
Taf8,1.0
Nr5a2,1.0
Men1,1.0
Tfpt,1.0
Etv3,1.0
Pbx2,1.0
Myc,1.0
