pathway,nums,percent,pvalue,,
Huntington disease,117,72.67,0.3633,,
Glyoxylate and dicarboxylate metabolism,20,100,0.362,,
Inositol phosphate metabolism,20,43.48,0.3698,,
Glutathione metabolism,26,65,0.3835,,
Platinum drug resistance,40,68.97,0.4014,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.3994,,
Chemical carcinogenesis - receptor activation,65,63.73,0.3997,,
Drug metabolism - other enzymes,29,72.5,0.4093,,
Amphetamine addiction,18,50,0.4063,,
Wnt signaling,5,38.46,0.4186,,
RIG-I-like receptor signaling pathway,15,48.39,0.4296,,
Thyroid cancer,10,47.62,0.4456,,
Fructose and mannose metabolism,18,100,0.4514,,
Folate biosynthesis,11,100,0.4498,,
Prion diseases,8,38.1,0.456,,
Glycerolipid metabolism,15,60,0.4617,,
"Proteasome, 20S core particle",9,100,0.492,,
IL-17 signaling pathway,19,47.5,0.4998,,
Nucleotide metabolism,40,85.11,0.499,,
Legionellosis,14,58.33,0.5036,,
Triacylglycerol biosynthesis,9,100,0.5002,,
Cysteine and methionine metabolism,23,82.14,0.4956,,
Drug metabolism - cytochrome P450,6,26.09,0.5043,,
Breast cancer,53,73.61,0.5053,,
Phosphatidylinositol signaling system,23,40.35,0.5242,,
Carbon metabolism,29,42.65,0.5281,,
Selenocompound metabolism,11,100,0.5298,,
Methionine degradation,4,66.67,0.5299,,
Bladder cancer,16,66.67,0.533,,
BER complex,8,100,0.5309,,
Ubiquitin mediated proteolysis,65,73.86,0.5944,,
Metabolic pathways,530,91.54,0.5928,,
NF-kappa B signaling pathway,24,45.28,0.5975,,
Primary immunodeficiency,5,71.43,0.6085,,
2-Oxocarboxylic acid metabolism,20,100,0.61,,
"C1-unit interconversion, eukaryotes",6,100,0.6063,,
Long-term potentiation,21,52.5,0.6016,,
Neuroactive ligand-receptor interaction,12,25,0.6171,,
HTLV-I infection,140,93.33,0.629,,
Arrhythmogenic right ventricular cardiomyopathy,13,33.33,0.6375,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),13,34.21,0.6402,,
Survival motor neuron (SMN) complex,8,100,0.635,,
Cell cycle - G1/S transition,11,91.67,0.6696,,
APC/C complex,7,58.33,0.6953,,
Basal cell carcinoma,15,62.5,0.7023,,
"Alanine, aspartate and glutamate metabolism",15,65.22,0.7226,,
Amyotrophic lateral sclerosis (ALS),18,58.06,0.7232,,
Endometrial cancer,19,55.88,0.7455,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.7687,,
Glucagon signaling pathway,34,66.67,0.7694,,
Proximal tubule bicarbonate reclamation,7,50,0.7652,,
Immunoproteasome,14,100,0.7597,,
Central carbon metabolism in cancer,21,50,0.7899,,
Signaling pathways regulating pluripotency of stem cells,58,73.42,0.8547,,
Colorectal cancer,35,62.5,0.8616,,
THC complex,5,100,0.8625,,
ATP-dependent chromatin remodeling,64,92.75,0.8781,,
Chronic myeloid leukemia,45,83.33,0.8734,,
Cytochrome c oxidase,14,100,0.89,,
Fat digestion and absorption,12,100,0.8913,,
Notch signaling pathway,18,54.55,0.9014,,
Hepatitis C,65,79.27,0.8954,,
Thyroid hormone signaling pathway,51,69.86,0.9147,,
Acute myeloid leukemia,13,32.5,0.938,,
Vitamin digestion and absorption,3,30,0.9325,,
Hepatocellular carcinoma,81,80.2,0.9279,,
Gap junction,26,56.52,0.925,,
Gastric cancer,51,70.83,0.9472,,
Longevity regulating pathway - multiple species,11,28.21,0.9534,,
Herpes simplex virus 1 infection,131,86.75,0.9669,,
Oxidative phosphorylation,29,42.03,0.965,,
Peroxisome,9,22.5,0.9615,,
Biosynthesis of amino acids,21,50,0.9644,,
Prostate cancer,52,86.67,0.9582,,
ECS complex,7,100,0.9725,,
Thermogenesis,74,63.25,0.9782,,
NOD-like receptor signaling pathway,37,38.95,0.9724,,
Endocrine resistance,38,65.52,0.9802,,
Gastric acid secretion,19,54.29,0.9743,,
Spinocerebellar ataxia,53,65.43,0.9683,,
Lipoic acid metabolism,11,100,0.9664,,
Histidine metabolism,11,100,0.9651,,
Fluid shear stress and atherosclerosis,36,43.37,0.9767,,
Necroptosis,32,42.11,0.9796,,
Pathways of neurodegeneration - multiple diseases,140,60.09,0.9814,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",8,88.89,0.9823,,
mTOR signaling pathway,41,53.25,0.9784,,
Pentose phosphate pathway,13,100,0.9803,,
Antigen processing and presentation,15,62.5,0.9764,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.9814,,
Viral carcinogenesis,108,88.52,0.9769,,
N-glycan precursor biosynthesis,4,57.14,0.9717,,
Arginine biosynthesis,9,100,0.9688,,
Hippo signaling pathway - multiple species,5,29.41,0.9817,,
Hippo signaling pathway -multiple species,5,29.41,0.9761,,
ErbB signaling pathway,21,41.18,0.9715,,
Hippo signaling,5,41.67,0.9695,,
Fatty acid degradation,25,100,0.9675,,
Toll-like receptor signaling,10,100,0.9668,,
Leishmaniasis,14,43.75,0.9685,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",7,53.85,0.9631,,
Estrogen signaling pathway,38,59.38,0.9578,,
Lipid and atherosclerosis,64,64.65,0.9594,,
"Proteasome, 19S regulatory particle (PA700)",5,41.67,0.972,,
Activin signaling,3,50,0.9792,,
Biosynthesis of nucleotide sugars,7,31.82,0.9892,,
Th17 cell differentiation,26,53.06,0.9945,,
Protein processing in endoplasmic reticulum,31,34.44,0.993,,
"Fatty acid biosynthesis, elongation, endoplasmic reticulum",1,16.67,NA,,
Hypertrophic cardiomyopathy (HCM),1,2.56,NA,,
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1,20,NA,,
Hypertrophic cardiomyopathy,1,2.44,NA,,
