pathway,nums,percent,pvalue,,
"Gluconeogenesis, oxaloacetate => fructose-6P",3,37.5,0.6379,,
Glutathione metabolism,27,67.5,0.6348,,
BER complex,8,100,0.6376,,
Chemical carcinogenesis - reactive oxygen species,53,43.44,0.6332,,
Arginine biosynthesis,9,100,0.675,,
Drug metabolism - cytochrome P450,23,100,0.6777,,
Signaling pathways regulating pluripotency of stem cells,60,75.95,0.7294,,
"O-glycan biosynthesis, mucin type core",4,40,0.7634,,
Pyruvate metabolism,16,55.17,0.786,,
Mucin type O-glycan biosynthesis,4,33.33,0.7829,,
Transcriptional misregulation in cancer,83,90.22,0.8042,,
Pentose phosphate pathway,13,100,0.8016,,
Histidine metabolism,11,100,0.805,,
Legionellosis,15,62.5,0.8174,,
Biosynthesis of cofactors,49,68.06,0.8134,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.8126,,
Lipid and atherosclerosis,64,64.65,0.8068,,
Citrate cycle (TCA cycle),21,100,0.8278,,
Fluid shear stress and atherosclerosis,39,46.99,0.8657,,
Central carbon metabolism in cancer,21,50,0.911,,
Notch signaling,3,37.5,0.9249,,
Selenocompound metabolism,11,100,0.9361,,
Colorectal cancer,35,62.5,0.956,,
Huntington disease,122,75.78,0.9571,,
Endometrial cancer,22,64.71,0.9559,,
Cell adhesion molecules,27,61.36,0.951,,
Cell adhesion molecules (CAMs),26,63.41,0.948,,
Parkinson's disease,32,42.67,0.9541,,
Acute myeloid leukemia,29,72.5,0.9514,,
Amyotrophic lateral sclerosis (ALS),18,58.06,0.9551,,
Metabolism of xenobiotics by cytochrome P450,26,100,0.9551,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.9497,,
Thyroid hormone signaling pathway,45,61.64,0.9467,,
Folate biosynthesis,11,100,0.9418,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.9361,,
Survival motor neuron (SMN) complex,8,100,0.9512,,
APC/C complex,12,100,0.9782,,
Longevity regulating pathway - multiple species,16,41.03,0.973,,
Oxidative phosphorylation,29,42.03,0.9696,,
Pantothenate and CoA biosynthesis,4,36.36,0.9883,,
Parkinson disease,84,59.15,0.9969,,
Peroxisome,10,25,0.9908,,
Necroptosis,43,56.58,0.9868,,
Cholesterol metabolism,5,26.32,0.9839,,
Bladder cancer,16,66.67,0.9777,,
Neuroactive ligand-receptor interaction,21,43.75,1,,
Aldosterone-regulated sodium reabsorption,7,35,1,,
Notch signaling pathway,22,66.67,1,,
Leishmaniasis,15,46.88,1,,
Estrogen signaling pathway,43,67.19,0.9998,,
Ubiquitin mediated proteolysis,71,80.68,0.9957,,
Basal cell carcinoma,16,66.67,0.9899,,
ErbB signaling pathway,22,43.14,0.992,,
Type II diabetes mellitus,7,38.89,0.987,,
Riboflavin metabolism,6,100,0.9924,,
Hippo signaling pathway - multiple species,5,29.41,0.9872,,
Protein processing in endoplasmic reticulum,49,54.44,0.9817,,
Hippo signaling pathway -multiple species,5,29.41,0.9788,,
Breast cancer,55,76.39,0.9767,,
Hippo signaling,5,41.67,0.9712,,
"Glycolysis, core module involving three-carbon compounds",2,33.33,0.9661,,
Fat digestion and absorption,12,100,0.9636,,
Chemical carcinogenesis - DNA adducts,20,100,0.9639,,
Thiamine metabolism,7,100,0.9689,,
Proximal tubule bicarbonate reclamation,14,100,0.9723,,
N-glycan precursor biosynthesis,4,57.14,0.9766,,
Gastric cancer,56,77.78,0.9763,,
Biosynthesis of nucleotide sugars,7,31.82,0.9742,,
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1,20,NA,,
