pathway,nums,percent,pvalue,,
Huntington's disease,65,60.19,0.9531,,
Survival motor neuron (SMN) complex,8,100,0.9686,,
Neuroactive ligand-receptor interaction,20,41.67,0.9753,,
APC/C complex,8,66.67,0.9699,,
Biosynthesis of amino acids,25,59.52,0.9858,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.9866,,
Hepatocellular carcinoma,82,81.19,1,,
Notch signaling pathway,21,63.64,1,,
Thyroid hormone signaling pathway,56,76.71,1,,
Prostate cancer,54,90,0.9949,,
THC complex,5,100,0.9983,,
Gastric cancer,54,75,1,,
Central carbon metabolism in cancer,20,47.62,0.9945,,
Longevity regulating pathway - multiple species,14,35.9,1,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,1,,
Lipoic acid metabolism,11,100,1,,
Colorectal cancer,36,64.29,0.9946,,
ECM-receptor interaction,11,25.58,0.9936,,
Fat digestion and absorption,12,100,1,,
NF-kappa B signaling pathway,29,54.72,0.9933,,
Proximal tubule bicarbonate reclamation,7,50,0.9857,,
Acute myeloid leukemia,29,72.5,0.9782,,
Amyotrophic lateral sclerosis (ALS),18,58.06,0.9767,,
Basal cell carcinoma,16,66.67,0.9794,,
2-Oxocarboxylic acid metabolism,20,100,0.9724,,
Hippo signaling pathway -multiple species,5,29.41,0.9698,,
Arginine biosynthesis,9,100,0.9646,,
Amyotrophic lateral sclerosis,147,76.17,0.9581,,
Hippo signaling pathway - multiple species,5,29.41,0.952,,
Cell cycle - G1/S transition,11,91.67,0.9469,,
Hippo signaling,5,41.67,0.9608,,
Glucagon signaling pathway,36,70.59,0.9567,,
Mineral absorption,6,42.86,0.9583,,
Peroxisome,10,25,0.9561,,
Histidine metabolism,11,100,0.9505,,
Cytochrome bc1 complex,7,100,0.944,,
BMP signaling,5,45.45,0.9453,,
Antigen processing and presentation,16,66.67,0.9388,,
ErbB signaling pathway,22,43.14,0.9795,,
Nucleotide metabolism,40,85.11,0.9739,,
Pentose phosphate pathway,13,100,0.97,,
Ubiquitin mediated proteolysis,69,78.41,0.9728,,
Cell adhesion molecules,27,61.36,0.9757,,
Mitophagy - animal,16,37.21,0.9731,,
Cell adhesion molecules (CAMs),26,63.41,0.9747,,
"Glycine, serine and threonine metabolism",15,75,0.9706,,
Fluid shear stress and atherosclerosis,38,45.78,0.967,,
eIF4F complex,7,100,0.9645,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.9604,,
Chronic myeloid leukemia,45,83.33,0.966,,
ATP-dependent chromatin remodeling,64,92.75,0.9605,,
N-glycan precursor biosynthesis,4,57.14,0.9594,,
Glyoxylate and dicarboxylate metabolism,11,55,0.9685,,
Leishmaniasis,17,53.12,0.9696,,
Lipid and atherosclerosis,69,69.7,0.9945,,
Biosynthesis of nucleotide sugars,7,31.82,0.9904,,
Th17 cell differentiation,33,67.35,0.9986,,
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1,20,NA,,
