pathway,nums,percent,pvalue,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.5775,,
Drug metabolism - other enzymes,31,77.5,0.5842,,
African trypanosomiasis,9,64.29,0.5853,,
Th17 cell differentiation,34,69.39,0.5974,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.6075,,
"C1-unit interconversion, eukaryotes",6,100,0.6122,,
Amyotrophic lateral sclerosis (ALS),18,58.06,0.6411,,
Fluid shear stress and atherosclerosis,42,50.6,0.6394,,
Glutathione metabolism,28,70,0.6368,,
Oxidative phosphorylation,29,42.03,0.6379,,
Signaling pathways regulating pluripotency of stem cells,61,77.22,0.6356,,
Breast cancer,57,79.17,0.6383,,
Selenocompound metabolism,11,100,0.6487,,
RIG-I-like receptor signaling pathway,21,67.74,0.6443,,
Mitophagy - animal,18,41.86,0.6461,,
Carbon metabolism,41,60.29,0.6715,,
Legionellosis,17,70.83,0.6784,,
Antigen processing and presentation,17,70.83,0.6758,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.6792,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.6836,,
NF-kappa B signaling pathway,37,69.81,0.7308,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.7359,,
Activin signaling,6,100,0.7519,,
Folate biosynthesis,5,45.45,0.7664,,
Thermogenesis,74,63.25,0.776,,
Phosphatidylinositol signaling system,26,45.61,0.7718,,
Nucleotide metabolism,40,85.11,0.7667,,
Lipid and atherosclerosis,70,70.71,0.7671,,
Central carbon metabolism in cancer,21,50,0.7746,,
Hepatocellular carcinoma,84,83.17,0.7752,,
Biosynthesis of amino acids,27,64.29,0.797,,
Spinocerebellar ataxia,56,69.14,0.8208,,
"Glycine, serine and threonine metabolism",15,75,0.8196,,
Metabolic pathways,536,92.57,0.8236,,
Colorectal cancer,37,66.07,0.8237,,
Thyroid hormone signaling pathway,55,75.34,0.8233,,
Mucin type O-glycan biosynthesis,4,33.33,0.8287,,
"O-glycan biosynthesis, mucin type core",4,40,0.8428,,
Cell cycle - G1/S transition,11,91.67,0.8721,,
Gastric cancer,57,79.17,0.8742,,
Hepatitis C,74,90.24,0.9304,,
Acute myeloid leukemia,29,72.5,0.9278,,
Pyruvate metabolism,16,55.17,0.9297,,
Longevity regulating pathway - multiple species,16,41.03,0.9251,,
Fructose and mannose metabolism,18,100,0.9392,,
Arachidonic acid metabolism,9,39.13,0.9611,,
Neuroactive ligand-receptor interaction,19,39.58,0.9774,,
Metabolism of xenobiotics by cytochrome P450,10,38.46,0.9904,,
HTLV-I infection,144,96,0.9847,,
Peroxisome,10,25,0.9843,,
Basal cell carcinoma,17,70.83,0.9956,,
Cell adhesion molecules,28,63.64,0.9929,,
Cell adhesion molecules (CAMs),27,65.85,0.9868,,
ATP-dependent chromatin remodeling,64,92.75,0.9943,,
Cytochrome c oxidase,14,100,0.9955,,
Chronic myeloid leukemia,47,87.04,0.9895,,
Histidine metabolism,11,100,0.993,,
Herpes simplex virus 1 infection,134,88.74,0.9878,,
Estrogen signaling pathway,45,70.31,0.9881,,
APC/C complex,12,100,0.9836,,
Hippo signaling,5,41.67,0.9901,,
Hippo signaling pathway - multiple species,5,29.41,0.9854,,
Type II diabetes mellitus,7,38.89,0.9802,,
Fat digestion and absorption,12,100,0.9779,,
Arginine biosynthesis,9,100,0.9795,,
Hippo signaling pathway -multiple species,5,29.41,0.9754,,
Ubiquitin mediated proteolysis,71,80.68,0.9722,,
ECM-receptor interaction,10,23.26,0.9691,,
Glucagon signaling pathway,38,74.51,0.9661,,
N-glycan precursor biosynthesis,4,57.14,0.9693,,
ErbB signaling pathway,22,43.14,0.9657,,
Biosynthesis of cofactors,49,68.06,0.9653,,
Thiamine metabolism,7,100,0.9809,,
Ubiquinone and other terpenoid-quinone biosynthesis,3,60,0.9755,,
BMP signaling,5,45.45,0.9713,,
Proximal tubule bicarbonate reclamation,14,100,0.9697,,
Leishmaniasis,17,53.12,0.9644,,
Protein processing in endoplasmic reticulum,50,55.56,0.9649,,
Biosynthesis of nucleotide sugars,7,31.82,0.9961,,
Jak-STAT signaling pathway,33,57.89,1,,
JAK-STAT signaling pathway,33,55,0.9961,,
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1,20,NA,,
MAPK (JNK) signaling,1,11.11,NA,,
MAPK (p38) signaling,1,8.33,NA,,
