pathway,nums,percent,pvalue,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.7442,,
Prion diseases,10,47.62,0.7475,,
"O-glycan biosynthesis, mucin type core",4,40,0.7824,,
Mucin type O-glycan biosynthesis,4,33.33,0.7854,,
Survival motor neuron (SMN) complex,8,100,0.8022,,
beta-Alanine metabolism,19,100,0.8394,,
Cell adhesion molecules,28,63.64,0.8768,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.8806,,
Cell adhesion molecules (CAMs),27,65.85,0.8807,,
Endometrial cancer,22,64.71,0.8834,,
IL-17 signaling pathway,20,50,0.9051,,
Bladder cancer,16,66.67,0.8979,,
Glutathione metabolism,26,65,0.9016,,
Ubiquinone and other terpenoid-quinone biosynthesis,3,60,0.8971,,
Activin signaling,6,100,0.9079,,
Legionellosis,17,70.83,0.9388,,
Pyruvate metabolism,16,55.17,0.9312,,
Fat digestion and absorption,12,100,0.9324,,
Parkinson's disease,32,42.67,0.933,,
Selenocompound metabolism,11,100,0.9336,,
Biosynthesis of cofactors,49,68.06,0.9433,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.9411,,
Antigen processing and presentation,15,62.5,0.9359,,
Central carbon metabolism in cancer,21,50,0.9407,,
Colorectal cancer,36,64.29,0.9747,,
Amyotrophic lateral sclerosis (ALS),18,58.06,0.9718,,
Huntington disease,121,75.16,0.9653,,
Acute myeloid leukemia,29,72.5,0.9731,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",8,88.89,0.9714,,
Thyroid hormone signaling pathway,45,61.64,0.9677,,
"Proteasome, 20S core particle",9,100,0.963,,
Immunoproteasome,14,100,0.9817,,
Longevity regulating pathway - multiple species,16,41.03,1,,
Oxidative phosphorylation,29,42.03,1,,
Hepatitis C,75,91.46,1,,
Parkinson disease,83,58.45,1,,
Leishmaniasis,12,37.5,1,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,1,,
Aldosterone-regulated sodium reabsorption,7,35,1,,
Breast cancer,56,77.78,1,,
Peroxisome,10,25,1,,
ErbB signaling pathway,22,43.14,1,,
Wnt signaling,8,61.54,1,,
Neuroactive ligand-receptor interaction,21,43.75,1,,
Prostate cancer,54,90,1,,
Histidine metabolism,11,100,1,,
Folate biosynthesis,11,100,1,,
Mitophagy - animal,17,39.53,1,,
Basal cell carcinoma,17,70.83,1,,
Hippo signaling pathway -multiple species,5,29.41,1,,
Hippo signaling,5,41.67,1,,
Hippo signaling pathway - multiple species,5,29.41,1,,
Arginine biosynthesis,9,100,1,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",7,53.85,1,,
Notch signaling pathway,22,66.67,1,,
Type II diabetes mellitus,7,38.89,1,,
"Glycolysis, core module involving three-carbon compounds",2,33.33,0.9995,,
N-glycan precursor biosynthesis,4,57.14,0.9965,,
APC/C complex,12,100,1,,
Gastric cancer,57,79.17,1,,
Thiamine metabolism,7,100,1,,
Proximal tubule bicarbonate reclamation,14,100,0.9984,,
NF-kappa B signaling pathway,30,56.6,0.9951,,
Complement and coagulation cascades,6,28.57,1,,
Notch signaling,3,37.5,0.9977,,
Biosynthesis of nucleotide sugars,7,31.82,1,,
JAK-STAT signaling pathway,33,55,1,,
Lipid and atherosclerosis,65,65.66,1,,
Jak-STAT signaling pathway,33,57.89,1,,
Fluid shear stress and atherosclerosis,39,46.99,1,,
Th17 cell differentiation,33,67.35,0.999,,
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1,20,NA,,
