pathway,nums,percent,pvalue,,
Metabolism of xenobiotics by cytochrome P450,26,100,0.2721,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.2704,,
Chemical carcinogenesis - receptor activation,45,44.12,0.2768,,
Origin recognition complex,6,100,0.276,,
Phenylalanine metabolism,10,100,0.2983,,
beta-Alanine metabolism,3,15.79,0.3136,,
Glyoxylate and dicarboxylate metabolism,20,100,0.336,,
Sphingolipid signaling pathway,7,8.86,0.3331,,
Glutathione metabolism,24,60,0.3336,,
Drug metabolism - other enzymes,25,62.5,0.3535,,
Huntington disease,102,63.35,0.3664,,
Longevity regulating pathway - multiple species,7,17.95,0.3637,,
Glucagon signaling pathway,16,31.37,0.382,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.3856,,
Amphetamine addiction,17,47.22,0.3905,,
HTLV-I infection,131,87.33,0.3928,,
Insulin signaling pathway,10,13.89,0.3898,,
Cysteine and methionine metabolism,19,67.86,0.4288,,
Ubiquitin mediated proteolysis,54,61.36,0.435,,
Tight junction,11,11.34,0.4375,,
Central carbon metabolism in cancer,5,11.9,0.4366,,
"Proteasome, 20S core particle",9,100,0.4343,,
Phagosome,10,17.86,0.4338,,
Fructose and mannose metabolism,18,100,0.4391,,
Nucleotide metabolism,38,80.85,0.4391,,
IL-17 signaling pathway,7,17.5,0.4455,,
Metabolic pathways,501,86.53,0.4536,,
Bladder cancer,14,58.33,0.4567,,
Triacylglycerol biosynthesis,9,100,0.5028,,
NOD-like receptor signaling pathway,17,17.89,0.5198,,
Chemical carcinogenesis - DNA adducts,20,100,0.5247,,
Selenocompound metabolism,11,100,0.5233,,
BER complex,8,100,0.53,,
Methionine degradation,4,66.67,0.5368,,
Carbon metabolism,23,33.82,0.5891,,
"C1-unit interconversion, eukaryotes",6,100,0.6055,,
2-Oxocarboxylic acid metabolism,20,100,0.615,,
Legionellosis,24,100,0.6192,,
Prion disease,64,46.38,0.6205,,
Platinum drug resistance,32,55.17,0.6426,,
Glycerolipid metabolism,11,44,0.6431,,
Inositol phosphate metabolism,5,10.87,0.6491,,
Apoptosis - multiple species,6,28.57,0.6496,,
Thyroid hormone signaling pathway,30,41.1,0.6479,,
Sulfur metabolism,9,100,0.6628,,
Salmonella infection,43,29.05,0.6641,,
Gastric cancer,42,58.33,0.6842,,
Cell cycle - G1/S transition,10,83.33,0.6826,,
Small cell lung cancer,38,59.38,0.699,,
Survival motor neuron (SMN) complex,7,87.5,0.7626,,
Apoptosis,38,45.78,0.7753,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.7766,,
Propanoate metabolism,24,100,0.7871,,
FoxO signaling pathway,41,53.95,0.8045,,
Immunoproteasome,14,100,0.7999,,
Notch signaling pathway,14,42.42,0.8062,,
Signaling pathways regulating pluripotency of stem cells,56,70.89,0.8238,,
mTOR signaling pathway,38,49.35,0.8331,,
Chronic myeloid leukemia,36,66.67,0.832,,
Long-term potentiation,15,37.5,0.8688,,
THC complex,5,100,0.8793,,
Oxytocin signaling pathway,28,40.58,0.8775,,
ATP-dependent chromatin remodeling,60,86.96,0.8846,,
Fat digestion and absorption,12,100,0.8881,,
Cytochrome c oxidase,14,100,0.8938,,
N-glycan precursor biosynthesis,7,100,0.8882,,
Neutrophil extracellular trap formation,30,52.63,0.8951,,
Prostate cancer,44,73.33,0.895,,
Gap junction,17,36.96,0.9058,,
Hepatocellular carcinoma,72,71.29,0.9109,,
Diabetic cardiomyopathy,37,33.04,0.9056,,
Herpes simplex virus 1 infection,124,82.12,0.9514,,
Choline metabolism in cancer,6,10.34,0.9558,,
APC/C complex,12,100,0.9499,,
Spinocerebellar ataxia,44,54.32,0.9531,,
Endocrine resistance,35,60.34,0.9482,,
Peroxisome,6,15,0.9735,,
ECS complex,7,100,0.9883,,
Biosynthesis of amino acids,19,45.24,0.9875,,
Lipoic acid metabolism,11,100,0.9874,,
Basal cell carcinoma,24,100,0.9822,,
Fluid shear stress and atherosclerosis,21,25.3,0.9789,,
Histidine metabolism,11,100,0.9784,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,0.9796,,
Necroptosis,28,36.84,0.9743,,
Pathways in cancer,198,68.28,1,,
Estrogen signaling pathway,11,17.19,0.9952,,
NF-kappa B signaling pathway,14,26.42,0.9943,,
Antigen processing and presentation,13,54.17,0.9926,,
Cholesterol metabolism,3,15.79,0.994,,
Alcoholic liver disease,12,16.9,0.9898,,
AMPK signaling pathway,15,22.39,0.9906,,
Viral carcinogenesis,105,86.07,0.9858,,
Pentose phosphate pathway,13,100,0.9806,,
Primary immunodeficiency,7,100,0.9757,,
Human T-cell leukemia virus 1 infection,118,83.69,0.9732,,
Arachidonic acid metabolism,5,21.74,0.9815,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.9799,,
Acute myeloid leukemia,40,100,0.9761,,
Glutamatergic synapse,8,16.67,0.9732,,
Glioma,27,58.7,0.9761,,
Non-small cell lung cancer,27,61.36,0.9722,,
Arginine biosynthesis,9,100,0.9673,,
Adrenergic signaling in cardiomyocytes,12,16.22,0.9688,,
"Parathyroid hormone synthesis, secretion and action",15,25.86,0.9684,,
Pathways of neurodegeneration - multiple diseases,109,46.78,0.9657,,
Lipid and atherosclerosis,45,45.45,0.9632,,
RIG-I-like receptor signaling pathway,31,100,0.9604,,
Melanoma,25,62.5,0.9623,,
Leishmaniasis,9,28.12,0.959,,
Hippo signaling,12,100,0.9591,,
"Proteasome, 19S regulatory particle (PA700)",5,41.67,0.9717,,
Th17 cell differentiation,17,34.69,0.987,,
Protein processing in endoplasmic reticulum,11,12.22,0.9902,,
Jak-STAT signaling pathway,24,42.11,0.9885,,
JAK-STAT signaling pathway,24,40,0.9844,,
Cul4-DDB1-DDB2 complex,1,20,NA,,
Vitamin digestion and absorption,1,10,NA,,
