pathway,tf,percent,,,
Focal adhesion,155,99.36,0.0027,,
Regulation of actin cytoskeleton,171,99.42,0.0031,,
Hepatitis C,107,99.07,0.0034,,
Toll-like receptor signaling,11,91.67,0.0035,,
Rheumatoid arthritis,54,96.43,0.0036,,
AGE-RAGE signaling pathway in diabetic complications,81,100,0.0039,,
Complement and coagulation cascades,58,89.23,0.004,,
Adherens junction,75,100,0.004,,
Human T-cell leukemia virus 1 infection,182,98.91,0.0045,,
Fluid shear stress and atherosclerosis,103,97.17,0.0057,,
Hippo signaling,9,75,0.0062,,
Efferocytosis,108,100,0.0063,,
Hematopoietic cell lineage,66,100,0.0072,,
Prostate cancer,73,98.65,0.0075,,
Natural killer cell mediated cytotoxicity,71,97.26,0.0075,,
TGF-beta signaling pathway,80,94.12,0.0081,,
Toxoplasmosis,87,98.86,0.0084,,
Human immunodeficiency virus 1 infection,152,98.06,0.0127,,
Proteoglycans in cancer,148,98.01,0.013,,
Acute myeloid leukemia,48,94.12,0.0134,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,74,97.37,0.0165,,
Viral carcinogenesis,141,100,0.0187,,
Neurotrophin signaling pathway,89,97.8,0.0189,,
T cell receptor signaling pathway,94,96.91,0.0193,,
Sphingolipid signaling pathway,92,98.92,0.0204,,
Tight junction,123,98.4,0.0252,,
Herpes simplex infection,128,98.46,0.0266,,
Chronic myeloid leukemia,58,100,0.0272,,
Th17 cell differentiation,81,97.59,0.0269,,
Bacterial invasion of epithelial cells,50,90.91,0.027,,
Necroptosis,91,98.91,0.0418,,
B cell receptor signaling pathway,60,98.36,0.042,,
African trypanosomiasis,22,95.65,0.043,,
Ribosome,103,100,0.0432,,
Mitophagy - animal,45,97.83,0.0469,,
Influenza A,103,97.17,0.0507,,
Signaling pathways regulating pluripotency of stem cells,91,90.1,0.0549,,
Small cell lung cancer,71,100,0.0654,,
Cytosolic DNA-sensing pathway,42,100,0.0647,,
Glycosphingolipid biosynthesis - lacto and neolacto series,10,55.56,0.0652,,
Adipocytokine signaling pathway,49,87.5,0.0745,,
Ceramide biosynthesis,3,60,0.0798,,
Amphetamine addiction,43,76.79,0.0819,,
Apoptosis - multiple species,20,90.91,0.0859,,
Prion diseases,25,89.29,0.092,,
Inflammatory bowel disease,41,97.62,0.0912,,
Inflammatory bowel disease (IBD),39,97.5,0.0914,,
Sphingolipid metabolism,21,77.78,0.0931,,
HIF-1 signaling pathway,80,96.39,0.1095,,
"Parathyroid hormone synthesis, secretion and action",63,84,0.109,,
Protein processing in endoplasmic reticulum,91,91,0.1083,,
Estrogen signaling pathway,89,97.8,0.1082,,
MicroRNAs in cancer,124,97.64,0.1171,,
Colorectal cancer,64,100,0.1218,,
Cocaine addiction,29,78.38,0.1287,,
Arginine biosynthesis,6,37.5,0.1421,,
Insulin resistance,81,95.29,0.1444,,
Breast cancer,96,97.96,0.151,,
Renal cell carcinoma,49,100,0.1512,,
Fc epsilon RI signaling pathway,49,98,0.1501,,
Apelin signaling pathway,107,96.4,0.1541,,
RIG-I-like receptor signaling pathway,37,100,0.1587,,
GnRH signaling pathway,59,86.76,0.1608,,
Cell adhesion molecules (CAMs),92,98.92,0.1781,,
Primary immunodeficiency,27,100,0.1772,,
Phospholipase D signaling pathway,106,98.15,0.1798,,
TGF-beta signaling,7,87.5,0.206,,
BMP signaling,13,100,0.2232,,
Amyotrophic lateral sclerosis (ALS),36,90,0.226,,
Activin signaling,8,100,0.2624,,
Notch signaling,6,66.67,0.2668,,
Systemic lupus erythematosus,34,94.44,0.2673,,
Relaxin signaling pathway,97,97.98,0.2698,,
Cell adhesion molecules,101,98.06,0.2693,,
Non-alcoholic fatty liver disease,117,99.15,0.2741,,
Bladder cancer,27,96.43,0.2759,,
Sm core complex,7,100,0.2865,,
Steroid biosynthesis,5,100,0.2844,,
Pancreatic cancer,60,100,0.3129,,
Ras signaling pathway,161,98.77,0.3135,,
Urea cycle,6,100,0.3206,,
Wnt signaling pathway,94,83.93,0.3322,,
Biosynthesis of amino acids,54,87.1,0.3345,,
Rap1 signaling pathway,161,98.77,0.334,,
"Growth hormone synthesis, secretion and action",84,93.33,0.3468,,
Endocytosis,188,99.47,0.3499,,
Sphingosine biosynthesis,5,62.5,0.3474,,
Platelet activation,92,97.87,0.347,,
Th1 and Th2 cell differentiation,63,96.92,0.3616,,
Long-term depression,30,75,0.4297,,
Taurine and hypotaurine metabolism,13,100,0.4789,,
cAMP signaling pathway,141,96.58,0.4906,,
Amino sugar and nucleotide sugar metabolism,32,94.12,0.5061,,
"C1-unit interconversion, eukaryotes",6,100,0.5042,,
Arginine and proline metabolism,33,94.29,0.5058,,
Cellular senescence,122,97.6,0.503,,
Pentose phosphate pathway,23,92,0.5002,,
Pentose phosphate pathway (Pentose phosphate cycle),6,75,0.5046,,
ErbB signaling pathway,61,98.39,0.5161,,
Alcoholism,64,80,0.5347,,
Antifolate resistance,18,78.26,0.5345,,
Viral myocarditis,49,100,0.5495,,
Neuroactive ligand-receptor interaction,147,88.02,0.5514,,
Endocrine resistance,73,100,0.5741,,
Nitrogen metabolism,12,100,0.602,,
Glycosaminoglycan biosynthesis - keratan sulfate,6,60,0.5986,,
One carbon pool by folate,14,100,0.6074,,
Spliceosome,103,100,0.6085,,
ECM-receptor interaction,60,98.36,0.6212,,
Prion disease,178,99.44,0.6241,,
"Spliceosome, U2-snRNP",19,100,0.6232,,
Renin secretion,36,76.6,0.6276,,
Biosynthesis of nucleotide sugars,27,96.43,0.63,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",6,66.67,0.6282,,
Retinol metabolism,8,25.81,0.6282,,
p53 signaling pathway,50,96.15,0.627,,
Long-term potentiation,28,51.85,0.6282,,
Glycosphingolipid biosynthesis - globo and isoglobo series,8,100,0.6267,,
Prolactin signaling pathway,51,98.08,0.6352,,
Basal cell carcinoma,36,97.3,0.6445,,
Ferroptosis,23,76.67,0.6534,,
Central carbon metabolism in cancer,46,88.46,0.6524,,
Non-alcoholic fatty liver disease (NAFLD),112,99.12,0.6535,,
FoxO signaling pathway,95,95,0.6588,,
Melanogenesis,51,67.11,0.6758,,
Hypertrophic cardiomyopathy,70,97.22,0.6819,,
Choline metabolism in cancer,65,89.04,0.6866,,
Hepatocellular carcinoma,120,97.56,0.6918,,
Tyrosine metabolism,30,100,0.6882,,
RNA degradation,48,96,0.688,,
Cysteine and methionine metabolism,35,97.22,0.692,,
VEGF signaling pathway,44,97.78,0.7059,,
Inflammatory mediator regulation of TRP channels,71,94.67,0.7233,,
Chemical carcinogenesis - receptor activation,141,98.6,0.7583,,
PPAR signaling pathway,45,77.59,0.7788,,
Notch signaling pathway,30,75,0.7964,,
Diabetic cardiomyopathy,142,97.93,0.7927,,
Cul4-DDB1-DDB2 complex,3,60,0.7948,,
"Fatty acid biosynthesis, elongation, endoplasmic reticulum",8,100,0.8108,,
Platinum drug resistance,61,96.83,0.8071,,
JAK-STAT signaling,12,75,0.8119,,
mTOR signaling pathway,96,96,0.8345,,
Cortisol synthesis and secretion,37,74,0.858,,
"beta-Oxidation, acyl-CoA synthesis",7,100,0.8562,,
Gastric cancer,96,95.05,0.8657,,
Methionine degradation,5,71.43,0.8837,,
Vascular smooth muscle contraction,88,91.67,0.8841,,
Nucleotide metabolism,56,100,0.8827,,
Graft-versus-host disease,25,96.15,0.8821,,
alpha-Linolenic acid metabolism,8,72.73,0.8849,,
Mineral absorption,14,45.16,0.884,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",22,84.62,0.8802,,
Antigen processing and presentation,48,100,0.8866,,
Viral life cycle - HIV-1,39,97.5,0.9008,,
"Spliceosome, 35S U5-snRNP",25,89.29,0.8975,,
Thyroid cancer,21,84,0.9032,,
beta-Alanine metabolism,20,71.43,0.9026,,
Cushing syndrome,104,93.69,0.9052,,
Asthma,14,100,0.9107,,
Wnt signaling,16,69.57,0.9185,,
Vasopressin-regulated water reabsorption,26,83.87,0.9218,,
Human papillomavirus infection,222,98.23,0.9391,,
Glutathione metabolism,33,66,0.9368,,
Thyroid hormone synthesis,38,69.09,0.9395,,
Oxytocin signaling pathway,101,88.6,0.964,,
"Spliceosome, U1-snRNP",9,100,0.9739,,
Fatty acid degradation,25,71.43,0.9742,,
Herpes simplex virus 1 infection,252,99.21,0.9731,,
Renin-angiotensin system,4,22.22,0.9716,,
Phenylalanine metabolism,16,100,0.971,,
GABAergic synapse,54,83.08,0.9667,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",8,88.89,0.9684,,
Type I diabetes mellitus,29,90.62,0.968,,
Fatty acid elongation,11,61.11,0.9645,,
ATP-dependent chromatin remodeling,54,75,0.9606,,
Dilated cardiomyopathy,75,97.4,0.9576,,
AMPK signaling pathway,85,93.41,0.9743,,
Calcium signaling pathway,151,90.96,0.9703,,
Pancreatic secretion,46,66.67,0.9685,,
Dorso-ventral axis formation,18,81.82,0.965,,
Alzheimer disease,232,97.07,0.9666,,
Thyroid hormone signaling pathway,85,91.4,0.9672,,
Nuclear pore complex,31,96.88,0.9693,,
Protein export,15,88.24,0.9689,,
EGFR tyrosine kinase inhibitor resistance,58,93.55,0.9711,,
Galactose metabolism,19,86.36,0.9682,,
Hypertrophic cardiomyopathy (HCM),66,97.06,0.9692,,
MCM complex,6,100,0.9657,,
Pathways of neurodegeneration - multiple diseases,284,96.6,0.9637,,
Amyotrophic lateral sclerosis,220,98.21,0.9651,,
Axon guidance,142,98.61,0.9645,,
Drug metabolism - cytochrome P450,23,62.16,0.961,,
Cholinergic synapse,84,98.82,0.9571,,
"Alanine, aspartate and glutamate metabolism",24,72.73,0.9593,,
TREX complex,7,87.5,0.9568,,
"N-glycan biosynthesis, complex type",8,66.67,0.9552,,
Aldosterone synthesis and secretion,60,81.08,0.9528,,
Fatty acid biosynthesis,12,100,0.9509,,
Starch and sucrose metabolism,19,86.36,0.947,,
Circadian rhythm,11,42.31,0.9487,,
Insulin signaling pathway,87,82.08,0.9452,,
Circadian entrainment,59,85.51,0.9428,,
Longevity regulating pathway - multiple species,45,86.54,0.9467,,
Regulation of lipolysis in adipocytes,32,78.05,0.9457,,
"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",4,80,0.9423,,
COPII complex,8,100,0.9465,,
Vitamin B6 metabolism,2,28.57,0.9512,,
Dopaminergic synapse,78,78,0.9493,,
eIF4F complex,5,71.43,0.9687,,
"Gluconeogenesis, oxaloacetate => fructose-6P",13,100,0.9759,,
Glyoxylate and dicarboxylate metabolism,21,77.78,0.9748,,
"Spliceosome, Prp19/CDC5L complex",4,40,0.9764,,
Histidine metabolism,12,60,0.9937,,
Maturity onset diabetes of the young,1,6.25,NA,,
