pathway,tf,percent,,,
Viral carcinogenesis,139,98.58,0,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,69,90.79,0,,
Colorectal cancer,54,84.38,0,,
Pancreatic cancer,59,98.33,0,,
Hepatocellular carcinoma,108,87.8,0,,
Gastric cancer,83,82.18,0,,
Chronic myeloid leukemia,49,84.48,0,,
Prostate cancer,66,89.19,0,,
Breast cancer,82,83.67,0,,
Small cell lung cancer,60,84.51,0,,
Human T-cell leukemia virus 1 infection,169,91.85,0,,
Human immunodeficiency virus 1 infection,151,97.42,0,,
Hepatitis B,123,99.19,0,,
Hepatitis C,103,95.37,0,,
Coronavirus disease - COVID-19,156,98.11,0,,
Influenza A,97,91.51,0,,
Measles,91,97.85,0,,
Herpes simplex virus 1 infection,246,96.85,0,,
Human cytomegalovirus infection,168,99.41,0,,
Kaposi sarcoma-associated herpesvirus infection,124,91.85,0,,
Epstein-Barr virus infection,143,99.31,0,,
Human papillomavirus infection,222,98.23,0,,
Salmonella infection,177,97.79,0,,
Yersinia infection,97,90.65,0,,
Pertussis,46,90.2,0,,
Staphylococcus aureus infection,43,87.76,0,,
Tuberculosis,114,95.8,0,,
Toxoplasmosis,80,90.91,0,,
Leishmaniasis,52,91.23,0,,
Chagas disease,68,87.18,0,,
Inflammatory bowel disease,39,92.86,0,,
Alcoholism,58,72.5,0,,
Lipid and atherosclerosis,136,95.77,0,,
AGE-RAGE signaling pathway in diabetic complications,80,98.77,0,,
Adherens junction,69,92,0,,
Antigen processing and presentation,48,100,0,,
FoxO signaling pathway,91,91,0,,
Hematopoietic cell lineage,55,83.33,0,,
Signaling pathways regulating pluripotency of stem cells,82,81.19,0,,
Rheumatoid arthritis,49,87.5,0,,
Viral protein interaction with cytokine and cytokine receptor,46,93.88,0,,
Glioma,53,89.83,0,,
Platelet activation,78,82.98,0,,
Dopaminergic synapse,61,61,0,,
Fanconi anemia pathway,26,76.47,0,,
EGFR tyrosine kinase inhibitor resistance,51,82.26,0,,
Alcoholic liver disease,90,93.75,0,,
Systemic lupus erythematosus,31,86.11,0,,
Endocrine resistance,67,91.78,0,,
N-Glycan biosynthesis,25,83.33,0,,
Progesterone-mediated oocyte maturation,63,78.75,0,,
Purine metabolism,119,97.54,0,,
Fc epsilon RI signaling pathway,44,88,0,,
Viral life cycle - HIV-1,33,82.5,0,,
"Parathyroid hormone synthesis, secretion and action",60,80,0,,
Amoebiasis,55,75.34,0,,
Protein digestion and absorption,66,92.96,0,,
Non-small cell lung cancer,50,92.59,0,,
Cushing syndrome,95,85.59,0,,
Melanogenesis,51,67.11,0,,
Motor proteins,120,99.17,0,,
Bacterial invasion of epithelial cells,44,80,0,,
Base excision repair,33,94.29,0,,
p53 signaling pathway,44,84.62,0,,
Legionellosis,38,90.48,0,,
Melanoma,45,90,0,,
Homologous recombination,24,77.42,0,,
Notch signaling pathway,25,62.5,0,,
Nucleotide metabolism,54,96.43,0,,
ErbB signaling pathway,53,85.48,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Fluid shear stress and atherosclerosis,95,89.62,0,,
cAMP signaling pathway,131,89.73,0,,
GnRH signaling pathway,57,83.82,0,,
Malaria,27,87.1,0,,
RIG-I-like receptor signaling pathway,35,94.59,0,,
Chemical carcinogenesis - receptor activation,119,83.22,0,,
Exon junction complex (EJC),16,100,0,,
RNA degradation,44,88,0,,
Renal cell carcinoma,42,85.71,0,,
Complement and coagulation cascades,48,73.85,0,,
"Spliceosome, 35S U5-snRNP",25,89.29,0,,
Proteasome,28,87.5,0,,
Bladder cancer,27,96.43,0,,
Graft-versus-host disease,20,76.92,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",20,95.24,0,,
SNARE interactions in vesicular transport,15,68.18,0,,
Other types of O-glycan biosynthesis,23,95.83,0,,
Cholinergic synapse,67,78.82,0,,
Prolactin signaling pathway,43,82.69,0,,
Intestinal immune network for IgA production,25,73.53,0,,
Type I diabetes mellitus,20,62.5,0,,
Gap junction,52,81.25,0,,
Allograft rejection,17,65.38,0,,
Phosphatidylinositol signaling system,48,76.19,0,,
Oxytocin signaling pathway,98,85.96,0,,
Insulin resistance,69,81.18,0,,
Acute myeloid leukemia,44,86.27,0,,
VEGF signaling pathway,38,84.44,0,,
Endometrial cancer,27,65.85,0,,
Viral myocarditis,46,93.88,0,,
Inflammatory mediator regulation of TRP channels,54,72,0,,
Inositol phosphate metabolism,41,80.39,0,,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,13,86.67,0,,
Thyroid hormone synthesis,39,70.91,0,,
Mismatch repair,19,86.36,0,,
Autoimmune thyroid disease,17,68,0,,
ECM-receptor interaction,60,98.36,0,,
Choline metabolism in cancer,57,78.08,0,,
Cocaine addiction,26,70.27,0,,
Long-term depression,27,67.5,0,,
Biosynthesis of cofactors,70,79.55,0,,
Longevity regulating pathway,56,75.68,0,,
Various types of N-glycan biosynthesis,20,83.33,0,,
Circadian entrainment,41,59.42,0,,
Neuroactive ligand-receptor interaction,119,71.26,0,,
Amphetamine addiction,35,62.5,0,,
Glutamatergic synapse,45,57.69,0,,
Apelin signaling pathway,105,94.59,0,,
Prion diseases,26,92.86,0,,
Long-term potentiation,29,53.7,0,,
BRCA1-associated genome surveillance complex (BASC),13,86.67,0,,
Primary immunodeficiency,23,85.19,0,,
Cell cycle - G1/S transition,11,91.67,0,,
Amino sugar and nucleotide sugar metabolism,29,85.29,0,,
Basal cell carcinoma,26,70.27,0,,
Thyroid hormone signaling pathway,85,91.4,0,,
Morphine addiction,38,63.33,0,,
Serotonergic synapse,47,61.84,0,,
Sphingolipid metabolism,16,59.26,0,,
Immunoproteasome,12,85.71,0,,
Apoptosis - multiple species,18,81.82,0,,
Salivary secretion,40,70.18,0,,
Vasopressin-regulated water reabsorption,22,70.97,0,,
Mucin type O-glycan biosynthesis,16,94.12,0,,
"Spliceosome, U1-snRNP",9,100,0,,
Antifolate resistance,16,69.57,0,,
Hippo signaling pathway -multiple species,15,75,0,,
"O-glycan biosynthesis, mucin type core",12,92.31,0,,
Platinum drug resistance,58,92.06,0,,
JAK-STAT signaling,11,68.75,0,,
Spinocerebellar ataxia,63,66.32,0,,
Hedgehog signaling pathway,29,76.32,0,,
Hippo signaling pathway - multiple species,15,75,0,,
TGF-beta signaling,8,100,0,,
African trypanosomiasis,17,73.91,0,,
HIF-1 signaling pathway,69,83.13,0,,
Asthma,12,85.71,0,,
Biosynthesis of nucleotide sugars,25,89.29,0,,
Synaptic vesicle cycle,25,50,0,,
Toll-like receptor signaling,11,91.67,0,,
Thyroid cancer,20,80,0,,
TREX complex,7,87.5,0,,
AMPK signaling pathway,70,76.92,0,,
GABAergic synapse,46,70.77,0,,
Insulin signaling pathway,73,68.87,0,,
"N-glycan biosynthesis, complex type",12,100,0,,
Vascular smooth muscle contraction,93,96.88,0,,
cGMP-PKG signaling pathway,115,88.46,0,,
Arachidonic acid metabolism,31,67.39,0.0001,,
MCM complex,6,100,0.0001,,
APC/C complex,11,91.67,0.0001,,
Amyotrophic lateral sclerosis (ALS),22,55,0.0001,,
COPII complex,8,100,0.0001,,
Autophagy - other,10,47.62,0.0002,,
Sm core complex,7,100,0.0002,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",7,77.78,0.0002,,
Amyotrophic lateral sclerosis,202,90.18,0.0002,,
Dorso-ventral axis formation,9,40.91,0.0003,,
Longevity regulating pathway - multiple species,38,73.08,0.0003,,
Adipocytokine signaling pathway,47,83.93,0.0003,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,8,80,0.0005,,
Aminoacyl-tRNA biosynthesis,18,60,0.0005,,
"Exosome, eukaryotes",6,100,0.0006,,
Glycerophospholipid metabolism,37,64.91,0.0006,,
Protein export,15,88.24,0.0006,,
Regulation of lipolysis in adipocytes,24,58.54,0.0007,,
Pathways of neurodegeneration - multiple diseases,238,80.95,0.0007,,
BER complex,6,75,0.0009,,
RF-C complex,5,100,0.0009,,
Cell cycle - G2/M transition,7,70,0.0011,,
Central carbon metabolism in cancer,43,82.69,0.0011,,
One carbon pool by folate,12,85.71,0.0011,,
GnRH secretion,28,66.67,0.0014,,
Gastric acid secretion,45,73.77,0.0016,,
Cholesterol metabolism,21,60,0.0017,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",6,66.67,0.0018,,
"Spliceosome, Prp19/CDC5L complex",5,50,0.002,,
Aldosterone synthesis and secretion,60,81.08,0.0022,,
Glycosphingolipid biosynthesis - lacto and neolacto series,11,61.11,0.0022,,
N-glycan precursor biosynthesis,5,62.5,0.0022,,
Endocrine and other factor-regulated calcium reabsorption,24,68.57,0.0025,,
Ferroptosis,23,76.67,0.0025,,
Mitophagy - animal,40,86.96,0.0026,,
Glycosaminoglycan biosynthesis - keratan sulfate,3,30,0.0029,,
Adrenergic signaling in cardiomyocytes,115,92.74,0.003,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",16,61.54,0.003,,
Hypertrophic cardiomyopathy,62,86.11,0.0034,,
Wnt signaling,14,60.87,0.0041,,
PI3K-Akt signaling,5,50,0.0044,,
Origin recognition complex,5,83.33,0.0044,,
"V-type ATPase, eukaryotes",10,66.67,0.0049,,
DNA damage-induced cell cycle checkpoints,5,71.43,0.005,,
THC complex,4,80,0.0051,,
Mineral absorption,16,51.61,0.0054,,
Ceramide biosynthesis,3,60,0.007,,
Activin signaling,8,100,0.0077,,
Renin secretion,33,70.21,0.0077,,
Pancreatic secretion,47,68.12,0.0078,,
Hypertrophic cardiomyopathy (HCM),58,85.29,0.0081,,
Drug metabolism - other enzymes,46,80.7,0.0083,,
Cortisol synthesis and secretion,37,74,0.0094,,
Riboflavin metabolism,6,100,0.0104,,
Hedgehog signaling,5,62.5,0.0126,,
Prion disease,169,94.41,0.013,,
Other glycan degradation,4,50,0.0132,,
Hippo signaling,8,66.67,0.0138,,
Alzheimer disease,199,83.26,0.0157,,
Aldosterone-regulated sodium reabsorption,25,86.21,0.0159,,
cAMP signaling,8,57.14,0.0174,,
Ether lipid metabolism,14,70,0.0174,,
Glycosaminoglycan degradation,4,50,0.0182,,
Calcium signaling pathway,140,84.34,0.0186,,
Notch signaling,9,100,0.0188,,
FA core complex,4,57.14,0.0236,,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,5,41.67,0.024,,
Nicotinate and nicotinamide metabolism,22,73.33,0.0248,,
Urea cycle,6,100,0.029,,
Sphingosine biosynthesis,5,62.5,0.029,,
Methionine degradation,5,71.43,0.0295,,
Arrhythmogenic right ventricular cardiomyopathy,39,63.93,0.0294,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),38,64.41,0.0332,,
Cul4-DDB1-DDB2 complex,3,60,0.0344,,
Carbohydrate digestion and absorption,18,58.06,0.0452,,
Pentose phosphate pathway (Pentose phosphate cycle),4,50,0.0505,,
Renin-angiotensin system,6,33.33,0.0532,,
Dilated cardiomyopathy,66,85.71,0.0575,,
Insulin secretion,48,68.57,0.0632,,
eIF4F complex,5,71.43,0.0689,,
"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",15,100,0.0873,,
Non-homologous end-joining,2,28.57,0.0901,,
Glutathione metabolism,34,68,0.0899,,
Mannose type O-glycan biosynthesis,10,76.92,0.0917,,
Glycosphingolipid biosynthesis - globo and isoglobo series,8,100,0.0923,,
Dermatan sulfate degradation,2,40,0.0945,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",10,71.43,0.0992,,
Glucagon signaling pathway,57,74.03,0.0994,,
"Nucleotide sugar biosynthesis, eukaryotes",2,40,0.0996,,
Type II diabetes mellitus,22,66.67,0.1008,,
Olfactory transduction,2,6.9,0.1051,,
MAPK (ERK1/2) signaling,2,28.57,0.1097,,
Maturity onset diabetes of the young,6,37.5,0.1134,,
"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",3,60,0.1131,,
Glycosphingolipid biosynthesis - ganglio series,8,100,0.12,,
Steroid biosynthesis,3,60,0.1214,,
Collecting duct acid secretion,6,33.33,0.1272,,
Glucuronate pathway (uronate pathway),3,60,0.1315,,
MAPK (JNK) signaling,4,36.36,0.1351,,
Biosynthesis of amino acids,48,77.42,0.1369,,
MAPK (p38) signaling,4,30.77,0.1391,,
Ascorbate and aldarate metabolism,3,30,0.1397,,
Arginine and proline metabolism,25,71.43,0.1407,,
Histidine metabolism,13,65,0.1506,,
Folate biosynthesis,4,23.53,0.159,,
Porphyrin and chlorophyll metabolism,3,21.43,0.16,,
"C1-unit interconversion, eukaryotes",6,100,0.1725,,
Porphyrin metabolism,3,21.43,0.1743,,
Huntington disease,162,86.17,0.2171,,
Pentose phosphate pathway,15,60,0.2292,,
Methionine salvage pathway,7,87.5,0.3104,,
"Fatty acid biosynthesis, elongation, endoplasmic reticulum",8,100,0.3433,,
"Glycine, serine and threonine metabolism",18,58.06,0.3661,,
Galactose metabolism,14,63.64,0.4057,,
Ovarian steroidogenesis,18,62.07,0.4095,,
Cysteine and methionine metabolism,29,80.56,0.418,,
Vitamin B6 metabolism,7,100,0.4215,,
Biosynthesis of unsaturated fatty acids,15,75,0.4252,,
Pentose and glucuronate interconversions,4,40,0.4716,,
ABC transporters,21,56.76,0.4795,,
"beta-Oxidation, acyl-CoA synthesis",7,100,0.5392,,
Bile secretion,38,65.52,0.5674,,
Arginine biosynthesis,16,100,0.6041,,
Selenocompound metabolism,9,69.23,0.6044,,
BMP signaling,6,46.15,0.6199,,
"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",6,100,0.6952,,
Fructose and mannose metabolism,19,73.08,0.703,,
Phenylalanine metabolism,16,100,0.7702,,
Tyrosine metabolism,7,23.33,0.7756,,
"Phosphatidylcholine (PC) biosynthesis, choline => PC",3,60,0.7746,,
HRD1/SEL1 ERAD complex,4,50,0.7965,,
PPAR signaling pathway,32,55.17,0.8301,,
Diabetic cardiomyopathy,141,97.24,0.8303,,
Steroid hormone biosynthesis,8,30.77,0.8517,,
"Alanine, aspartate and glutamate metabolism",18,54.55,0.8901,,
Phosphonate and phosphinate metabolism,4,80,0.8997,,
Linoleic acid metabolism,3,18.75,0.9044,,
Glycerolipid metabolism,20,58.82,0.9108,,
alpha-Linolenic acid metabolism,2,18.18,0.9169,,
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",2,40,0.9263,,
Fatty acid biosynthesis,2,16.67,0.9304,,
Caffeine metabolism,5,100,0.9488,,
Holo-TFIIH complex,1,10,NA,,
Survival motor neuron (SMN) complex,1,12.5,NA,,
