pathway,tf,percent,,,
Inflammatory mediator regulation of TRP channels,38,50.67,0.1204,,
Human immunodeficiency virus 1 infection,127,81.94,0.1204,,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,6,40,0.1206,,
Phospholipase D signaling pathway,89,82.41,0.1252,,
Arachidonic acid metabolism,25,54.35,0.1304,,
Polycomb repressive complex,47,69.12,0.138,,
Cholinergic synapse,51,60,0.1384,,
Aminoacyl-tRNA biosynthesis,2,6.67,0.1375,,
Phenylalanine metabolism,2,12.5,0.1431,,
Glycosaminoglycan biosynthesis - keratan sulfate,2,20,0.1478,,
RIG-I-like receptor signaling pathway,32,86.49,0.1477,,
Mucin type O-glycan biosynthesis,13,76.47,0.1483,,
Glycosphingolipid biosynthesis - lacto and neolacto series,3,16.67,0.1489,,
Olfactory transduction,2,6.9,0.1499,,
ATP-dependent chromatin remodeling,2,2.78,0.1572,,
Colorectal cancer,52,81.25,0.1565,,
Endocrine resistance,62,84.93,0.156,,
Oxytocin signaling pathway,96,84.21,0.1578,,
Hepatitis C,85,78.7,0.1647,,
Systemic lupus erythematosus,26,72.22,0.1638,,
Hippo signaling pathway - multiple species,11,55,0.1629,,
Regulation of lipolysis in adipocytes,21,51.22,0.1678,,
Salivary secretion,29,50.88,0.1685,,
Mineral absorption,5,16.13,0.1675,,
Apoptosis,80,83.33,0.1699,,
Malaria,23,74.19,0.1723,,
AMPK signaling pathway,56,61.54,0.1718,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",2,7.69,0.1737,,
Morphine addiction,27,45,0.1741,,
"Spliceosome, Prp19/CDC5L complex",4,40,0.1734,,
Natural killer cell mediated cytotoxicity,60,82.19,0.1812,,
Nucleocytoplasmic transport,78,87.64,0.1838,,
Hepatitis B,105,84.68,0.1907,,
Chronic myeloid leukemia,44,75.86,0.1921,,
N-Glycan biosynthesis,15,50,0.191,,
Cellular senescence,92,73.6,0.1997,,
Cytokine-cytokine receptor interaction,149,90.85,0.2007,,
MCM complex,6,100,0.2076,,
Influenza A,85,80.19,0.2143,,
Herpes simplex infection,122,93.85,0.2134,,
Epstein-Barr virus infection,130,90.28,0.2219,,
Cholesterol metabolism,7,20,0.2212,,
JAK-STAT signaling pathway,76,76.77,0.2217,,
RNA transport,104,83.2,0.2335,,
Fc epsilon RI signaling pathway,41,82,0.2341,,
Autoimmune thyroid disease,17,68,0.2337,,
Jak-STAT signaling pathway,66,70.97,0.2325,,
Glycosphingolipid biosynthesis - globo and isoglobo series,8,100,0.2367,,
NOD-like receptor signaling pathway,110,91.67,0.2429,,
Various types of N-glycan biosynthesis,14,58.33,0.2446,,
TGF-beta signaling pathway,64,75.29,0.25,,
FoxO signaling pathway,73,73,0.2637,,
Motor proteins,117,96.69,0.27,,
Wnt signaling,10,43.48,0.2975,,
Cocaine addiction,20,54.05,0.3201,,
mTOR signaling pathway,67,67,0.3199,,
Pyrimidine metabolism,54,65.85,0.3316,,
DNA damage-induced cell cycle checkpoints,5,71.43,0.3371,,
Cardiac muscle contraction,29,43.28,0.3471,,
Signaling pathways regulating pluripotency of stem cells,71,70.3,0.3525,,
Hippo signaling pathway -multiple species,6,30,0.3632,,
Purine metabolism,76,62.3,0.3741,,
MicroRNAs in cancer,106,83.46,0.3841,,
Activin signaling,8,100,0.3906,,
Transcriptional misregulation in cancer,90,71.43,0.4062,,
Propanoate metabolism,9,34.62,0.4057,,
Chemical carcinogenesis - receptor activation,94,65.73,0.4102,,
ErbB signaling pathway,45,72.58,0.4142,,
Citrate cycle (TCA cycle),25,100,0.4136,,
Autophagy - animal,66,60.55,0.4164,,
Asthma,12,85.71,0.4337,,
Insulin resistance,51,60,0.4322,,
Neuroactive ligand-receptor interaction,67,40.12,0.431,,
Staphylococcus aureus infection,25,51.02,0.432,,
Antigen processing and presentation,38,79.17,0.4407,,
Thyroid hormone signaling pathway,61,65.59,0.4392,,
TGF-beta signaling,8,100,0.4494,,
Protein export,5,29.41,0.4611,,
BRCA1-associated genome surveillance complex (BASC),12,80,0.4595,,
beta-Alanine metabolism,28,100,0.4744,,
Apoptosis - multiple species,17,77.27,0.4882,,
Neutrophil extracellular trap formation,70,77.78,0.493,,
Primary immunodeficiency,20,74.07,0.5022,,
Longevity regulating pathway,46,62.16,0.5064,,
Gastric cancer,64,63.37,0.5233,,
"Spliceosome, 35S U5-snRNP",19,67.86,0.5247,,
Necroptosis,66,71.74,0.551,,
Cul4-DDB1-DDB2 complex,3,60,0.5539,,
Phosphatidylinositol signaling system,39,61.9,0.5602,,
Graft-versus-host disease,16,61.54,0.5715,,
Wnt signaling pathway,98,87.5,0.5779,,
Coronavirus disease - COVID-19,135,84.91,0.5822,,
Choline metabolism in cancer,57,78.08,0.5806,,
Cell cycle - G1/S transition,10,83.33,0.5839,,
Prion diseases,19,67.86,0.5995,,
GABAergic synapse,28,43.08,0.601,,
"O-glycan biosynthesis, mucin type core",11,84.62,0.6055,,
Longevity regulating pathway - multiple species,34,65.38,0.6374,,
Complement and coagulation cascades,32,49.23,0.653,,
Biosynthesis of cofactors,47,53.41,0.664,,
mRNA surveillance pathway,39,53.42,0.661,,
Fluid shear stress and atherosclerosis,91,85.85,0.6623,,
Alcoholic liver disease,67,69.79,0.6887,,
DNA replication,30,90.91,0.7031,,
Prolactin signaling pathway,29,55.77,0.7004,,
N-glycan precursor biosynthesis,7,87.5,0.7021,,
Lysine degradation,26,65,0.7033,,
Allograft rejection,17,65.38,0.703,,
Viral life cycle - HIV-1,29,72.5,0.756,,
Endometrial cancer,23,56.1,0.7724,,
Hippo signaling,3,25,0.7848,,
Cytosolic DNA-sensing pathway,37,88.1,0.7914,,
APC/C complex,11,91.67,0.7947,,
p53 signaling pathway,34,65.38,0.8094,,
Non-alcoholic fatty liver disease,100,84.75,0.8087,,
Mismatch repair,17,77.27,0.8107,,
Pentose phosphate pathway,6,24,0.8075,,
Other types of O-glycan biosynthesis,21,87.5,0.8278,,
Insulin secretion,35,50,0.83,,
Basal transcription factors,31,81.58,0.8365,,
Insulin signaling pathway,61,57.55,0.8394,,
HIF-1 signaling pathway,55,66.27,0.8371,,
Circadian rhythm,3,11.54,0.8553,,
Metabolic pathways,698,87.14,0.856,,
Melanoma,36,72,0.8598,,
One carbon pool by folate,5,35.71,0.8566,,
Pancreatic cancer,48,80,0.8626,,
Tryptophan metabolism,37,100,0.8613,,
Type I diabetes mellitus,18,56.25,0.8811,,
Folate biosynthesis,5,29.41,0.8888,,
Hedgehog signaling,3,37.5,0.8975,,
Proximal tubule bicarbonate reclamation,18,100,0.8992,,
Base excision repair,29,82.86,0.903,,
Endocrine and other factor-regulated calcium reabsorption,9,25.71,0.9176,,
Thermogenesis,107,70.86,0.9201,,
Sulfur metabolism,8,88.89,0.9206,,
Carbohydrate digestion and absorption,16,51.61,0.9269,,
ABC transporters,10,27.03,0.9312,,
Ovarian steroidogenesis,6,20.69,0.9291,,
RF-C complex,5,100,0.9268,,
EGFR tyrosine kinase inhibitor resistance,45,72.58,0.9287,,
Carbon metabolism,54,58.7,0.9282,,
RNA degradation,41,82,0.9258,,
Tyrosine metabolism,4,13.33,0.926,,
Basal cell carcinoma,21,56.76,0.9253,,
Spinocerebellar ataxia,63,66.32,0.9249,,
Biosynthesis of amino acids,33,53.23,0.9245,,
BER complex,5,62.5,0.9233,,
Glyoxylate and dicarboxylate metabolism,2,7.41,0.9334,,
Prion disease,157,87.71,0.9351,,
Nitrogen metabolism,5,41.67,0.9771,,
Holo-TFIIH complex,1,10,NA,,
Non-homologous end-joining,1,14.29,NA,,
