pathway,tf,percent,,,
Viral life cycle - HIV-1,33,82.5,0,,
Signaling pathways regulating pluripotency of stem cells,75,74.26,0,,
Chagas disease,68,87.18,0,,
Phospholipase D signaling pathway,96,88.89,0,,
mTOR signaling pathway,75,75,0,,
Chagas disease (American trypanosomiasis),69,87.34,0,,
FoxO signaling pathway,91,91,0,,
Metabolic pathways,759,94.76,0,,
Polycomb repressive complex,52,76.47,0,,
Adherens junction,69,92,0,,
Estrogen signaling pathway,80,87.91,0,,
AGE-RAGE signaling pathway in diabetic complications,79,97.53,0,,
Melanoma,43,86,0,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,69,90.79,0,,
Purine metabolism,117,95.9,0,,
"Growth hormone synthesis, secretion and action",69,76.67,0,,
Proteasome,28,87.5,0,,
Hippo signaling pathway,98,90.74,0,,
Toll-like receptor signaling pathway,60,90.91,0,,
Efferocytosis,95,87.96,0,,
Glioma,52,88.14,0,,
Small cell lung cancer,60,84.51,0,,
Viral protein interaction with cytokine and cytokine receptor,46,93.88,0,,
Pyrimidine metabolism,79,96.34,0,,
IL-17 signaling pathway,52,88.14,0,,
Oocyte meiosis,73,76.84,0,,
Jak-STAT signaling pathway,84,90.32,0,,
Gastric cancer,81,80.2,0,,
Nucleotide excision repair,41,91.11,0,,
Renal cell carcinoma,42,85.71,0,,
DNA replication,32,96.97,0,,
Endocrine resistance,67,91.78,0,,
Cell adhesion molecules,100,97.09,0,,
Progesterone-mediated oocyte maturation,63,78.75,0,,
Th1 and Th2 cell differentiation,56,86.15,0,,
Cell adhesion molecules (CAMs),91,97.85,0,,
Fc epsilon RI signaling pathway,44,88,0,,
RIG-I-like receptor signaling pathway,35,94.59,0,,
Rheumatoid arthritis,49,87.5,0,,
Endometrial cancer,27,65.85,0,,
Notch signaling pathway,23,57.5,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Melanogenesis,51,67.11,0,,
Staphylococcus aureus infection,44,89.8,0,,
Dopaminergic synapse,60,60,0,,
Amyotrophic lateral sclerosis,198,88.39,0,,
cAMP signaling pathway,131,89.73,0,,
Pertussis,46,90.2,0,,
TGF-beta signaling pathway,70,82.35,0,,
Alcoholic liver disease,90,93.75,0,,
Th17 cell differentiation,77,92.77,0,,
Antigen processing and presentation,48,100,0,,
Inflammatory bowel disease,39,92.86,0,,
Insulin resistance,69,81.18,0,,
Acute myeloid leukemia,44,86.27,0,,
Inflammatory bowel disease (IBD),38,95,0,,
Cytosolic DNA-sensing pathway,41,97.62,0,,
Long-term depression,27,67.5,0,,
N-Glycan biosynthesis,24,80,0,,
Amoebiasis,55,75.34,0,,
Non-small cell lung cancer,50,92.59,0,,
Fluid shear stress and atherosclerosis,97,91.51,0,,
Axon guidance,133,92.36,0,,
Legionellosis,38,90.48,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",20,95.24,0,,
Hepatocellular carcinoma,100,81.3,0,,
Prolactin signaling pathway,44,84.62,0,,
Longevity regulating pathway,56,75.68,0,,
Inositol phosphate metabolism,41,80.39,0,,
Intestinal immune network for IgA production,25,73.53,0,,
Phosphatidylinositol signaling system,48,76.19,0,,
Systemic lupus erythematosus,31,86.11,0,,
Hippo signaling pathway -multiple species,15,75,0,,
"Parathyroid hormone synthesis, secretion and action",59,78.67,0,,
EGFR tyrosine kinase inhibitor resistance,50,80.65,0,,
Hematopoietic cell lineage,55,83.33,0,,
VEGF signaling pathway,38,84.44,0,,
ErbB signaling pathway,53,85.48,0,,
Gap junction,50,78.12,0,,
Cushing syndrome,96,86.49,0,,
Spinocerebellar ataxia,63,66.32,0,,
Hippo signaling pathway - multiple species,15,75,0,,
Cholinergic synapse,67,78.82,0,,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,13,86.67,0,,
Protein digestion and absorption,66,92.96,0,,
Base excision repair,33,94.29,0,,
GnRH signaling pathway,57,83.82,0,,
Exon junction complex (EJC),16,100,0,,
Homologous recombination,24,77.42,0,,
Oxytocin signaling pathway,98,85.96,0,,
Pathways of neurodegeneration - multiple diseases,228,77.55,0,,
Choline metabolism in cancer,54,73.97,0,,
Amino sugar and nucleotide sugar metabolism,29,85.29,0,,
Chemical carcinogenesis - receptor activation,120,83.92,0,,
Circadian entrainment,41,59.42,0,,
Sphingolipid metabolism,16,59.26,0,,
p53 signaling pathway,44,84.62,0,,
Nucleotide metabolism,54,96.43,0,,
Insulin signaling pathway,73,68.87,0,,
Neuroactive ligand-receptor interaction,119,71.26,0,,
Prion disease,169,94.41,0,,
"Spliceosome, 35S U5-snRNP",25,89.29,0,,
Cocaine addiction,26,70.27,0,,
Wnt signaling pathway,101,90.18,0,,
Complement and coagulation cascades,45,69.23,0,,
Apoptosis - multiple species,18,81.82,0,,
SNARE interactions in vesicular transport,15,68.18,0,,
Malaria,27,87.1,0,,
Amphetamine addiction,38,67.86,0,,
Cell cycle - G1/S transition,11,91.67,0,,
Fanconi anemia pathway,26,76.47,0,,
"Spliceosome, U1-snRNP",9,100,0,,
Various types of N-glycan biosynthesis,20,83.33,0,,
RNA degradation,44,88,0,,
Apelin signaling pathway,105,94.59,0,,
Longevity regulating pathway - multiple species,38,73.08,0,,
Other types of O-glycan biosynthesis,22,91.67,0,,
Biosynthesis of nucleotide sugars,25,89.29,0,,
Viral myocarditis,46,93.88,0,,
Morphine addiction,38,63.33,0,,
Glutamatergic synapse,45,57.69,0,,
Mismatch repair,19,86.36,0,,
HIF-1 signaling pathway,67,80.72,0,,
Prion diseases,25,89.29,0,,
Autophagy - other,10,47.62,0,,
Allograft rejection,17,65.38,0,,
Long-term potentiation,28,51.85,0,,
Mitophagy - animal,40,86.96,0,,
APC/C complex,11,91.67,0,,
Toll-like receptor signaling,11,91.67,0,,
Primary immunodeficiency,23,85.19,0.0001,,
Motor proteins,120,99.17,0.0001,,
Thyroid hormone synthesis,39,70.91,0.0001,,
Autoimmune thyroid disease,17,68,0.0001,,
Bladder cancer,27,96.43,0.0001,,
"Exosome, eukaryotes",6,100,0.0001,,
Hippo signaling,8,66.67,0.0001,,
Sm core complex,7,100,0.0001,,
BRCA1-associated genome surveillance complex (BASC),13,86.67,0.0001,,
Graft-versus-host disease,20,76.92,0.0002,,
Alzheimer disease,192,80.33,0.0002,,
Vasopressin-regulated water reabsorption,22,70.97,0.0002,,
MCM complex,6,100,0.0002,,
Immunoproteasome,12,85.71,0.0002,,
TGF-beta signaling,8,100,0.0002,,
Antifolate resistance,16,69.57,0.0002,,
Serotonergic synapse,50,65.79,0.0002,,
Dorso-ventral axis formation,8,36.36,0.0003,,
Amyotrophic lateral sclerosis (ALS),22,55,0.0003,,
Cell cycle - G2/M transition,7,70,0.0003,,
Aminoacyl-tRNA biosynthesis,18,60,0.0004,,
TREX complex,7,87.5,0.0004,,
Basal cell carcinoma,25,67.57,0.0004,,
Adipocytokine signaling pathway,47,83.93,0.0005,,
Inflammatory mediator regulation of TRP channels,54,72,0.0005,,
Hypertrophic cardiomyopathy,62,86.11,0.0006,,
AMPK signaling pathway,70,76.92,0.0008,,
Thyroid cancer,20,80,0.0009,,
cGMP-PKG signaling pathway,115,88.46,0.0009,,
Thyroid hormone signaling pathway,84,90.32,0.001,,
ECM-receptor interaction,60,98.36,0.0011,,
Huntington disease,158,84.04,0.0011,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",6,66.67,0.0012,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",16,61.54,0.0012,,
Mucin type O-glycan biosynthesis,16,94.12,0.0012,,
Central carbon metabolism in cancer,40,76.92,0.0012,,
GABAergic synapse,46,70.77,0.0015,,
Biosynthesis of cofactors,69,78.41,0.0016,,
African trypanosomiasis,17,73.91,0.0019,,
Asthma,12,85.71,0.002,,
Sphingosine biosynthesis,4,50,0.0022,,
Hypertrophic cardiomyopathy (HCM),58,85.29,0.0025,,
One carbon pool by folate,12,85.71,0.0025,,
Platinum drug resistance,58,92.06,0.0026,,
Protein export,15,88.24,0.0027,,
JAK-STAT signaling,11,68.75,0.0032,,
Other glycan degradation,4,50,0.0036,,
Ferroptosis,22,73.33,0.0038,,
Adrenergic signaling in cardiomyocytes,115,92.74,0.0037,,
Type I diabetes mellitus,20,62.5,0.0044,,
"O-glycan biosynthesis, mucin type core",12,92.31,0.0046,,
N-glycan precursor biosynthesis,5,62.5,0.0046,,
COPII complex,7,87.5,0.0046,,
Hedgehog signaling pathway,27,71.05,0.0048,,
Regulation of lipolysis in adipocytes,24,58.54,0.0055,,
Renin secretion,34,72.34,0.0082,,
Glycosaminoglycan degradation,4,50,0.0095,,
Cul4-DDB1-DDB2 complex,3,60,0.0098,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",7,77.78,0.0112,,
Synaptic vesicle cycle,25,50,0.0115,,
Ceramide biosynthesis,3,60,0.0128,,
DNA damage-induced cell cycle checkpoints,5,71.43,0.015,,
Dilated cardiomyopathy,66,85.71,0.0154,,
GnRH secretion,28,66.67,0.0153,,
"V-type ATPase, eukaryotes",10,66.67,0.0154,,
PI3K-Akt signaling,5,50,0.0166,,
BER complex,6,75,0.0199,,
Salivary secretion,40,70.18,0.0204,,
Glycosphingolipid biosynthesis - lacto and neolacto series,11,61.11,0.0224,,
THC complex,4,80,0.0255,,
Aldosterone synthesis and secretion,61,82.43,0.0261,,
Urea cycle,6,100,0.0283,,
Pentose phosphate pathway (Pentose phosphate cycle),4,50,0.0283,,
Biosynthesis of amino acids,49,79.03,0.0324,,
Glycosphingolipid biosynthesis - globo and isoglobo series,8,100,0.0323,,
"Spliceosome, Prp19/CDC5L complex",5,50,0.0335,,
Vascular smooth muscle contraction,90,93.75,0.0376,,
Endocrine and other factor-regulated calcium reabsorption,25,71.43,0.0396,,
MAPK (ERK1/2) signaling,4,57.14,0.0412,,
Arrhythmogenic right ventricular cardiomyopathy,34,55.74,0.0518,,
Glycerophospholipid metabolism,37,64.91,0.0519,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),34,57.63,0.0586,,
Origin recognition complex,5,83.33,0.0623,,
Cortisol synthesis and secretion,38,76,0.064,,
Pentose phosphate pathway,12,48,0.0654,,
Activin signaling,8,100,0.0653,,
"N-glycan biosynthesis, complex type",12,100,0.0709,,
RF-C complex,5,100,0.079,,
Parkinson disease,149,86.63,0.0809,,
Mineral absorption,16,51.61,0.0859,,
Glucagon signaling pathway,57,74.03,0.0884,,
"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",4,80,0.0891,,
"C1-unit interconversion, eukaryotes",6,100,0.0944,,
Olfactory transduction,2,6.9,0.0948,,
Glycosaminoglycan biosynthesis - keratan sulfate,2,20,0.095,,
Notch signaling,2,22.22,0.0953,,
"Nucleotide sugar biosynthesis, eukaryotes",2,40,0.095,,
Dermatan sulfate degradation,2,40,0.0992,,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,5,41.67,0.107,,
Wnt signaling,13,56.52,0.1097,,
Arginine and proline metabolism,25,71.43,0.115,,
Riboflavin metabolism,6,100,0.1236,,
Nicotinate and nicotinamide metabolism,22,73.33,0.1234,,
Arachidonic acid metabolism,30,65.22,0.1259,,
cAMP signaling,8,57.14,0.145,,
Cysteine and methionine metabolism,29,80.56,0.1454,,
Steroid biosynthesis,3,60,0.1473,,
Selenocompound metabolism,6,46.15,0.1534,,
Maturity onset diabetes of the young,6,37.5,0.1631,,
Glucuronate pathway (uronate pathway),3,60,0.1772,,
Type II diabetes mellitus,22,66.67,0.2125,,
Glutathione metabolism,30,60,0.2154,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,8,80,0.2166,,
"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",15,100,0.2276,,
Mannose type O-glycan biosynthesis,10,76.92,0.2272,,
Calcium signaling pathway,130,78.31,0.2279,,
eIF4F complex,5,71.43,0.2313,,
Arginine biosynthesis,16,100,0.2384,,
Renin-angiotensin system,18,100,0.238,,
Starch and sucrose metabolism,7,31.82,0.2405,,
Carbohydrate digestion and absorption,18,58.06,0.2578,,
HRD1/SEL1 ERAD complex,4,50,0.2683,,
Hedgehog signaling,5,62.5,0.2715,,
Non-alcoholic fatty liver disease,105,88.98,0.2775,,
Fructose and mannose metabolism,18,69.23,0.2834,,
Pancreatic secretion,47,68.12,0.2866,,
Drug metabolism - other enzymes,45,78.95,0.2939,,
Diabetic cardiomyopathy,141,97.24,0.3061,,
Ether lipid metabolism,14,70,0.3159,,
Tyrosine metabolism,7,23.33,0.3226,,
Aldosterone-regulated sodium reabsorption,25,86.21,0.3265,,
BMP signaling,13,100,0.348,,
Histidine metabolism,13,65,0.3503,,
Cholesterol metabolism,18,51.43,0.3516,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",10,71.43,0.3546,,
Methionine degradation,5,71.43,0.3607,,
Galactose metabolism,14,63.64,0.374,,
MAPK (p38) signaling,6,46.15,0.3733,,
Gastric acid secretion,45,73.77,0.4054,,
Collecting duct acid secretion,6,33.33,0.4239,,
Non-alcoholic fatty liver disease (NAFLD),104,92.04,0.4319,,
Porphyrin and chlorophyll metabolism,6,42.86,0.4439,,
Glycosphingolipid biosynthesis - ganglio series,8,100,0.5931,,
Phenylalanine metabolism,16,100,0.6051,,
Methionine salvage pathway,7,87.5,0.621,,
MAPK (JNK) signaling,4,36.36,0.638,,
"Glycine, serine and threonine metabolism",18,58.06,0.6435,,
"Fatty acid biosynthesis, elongation, endoplasmic reticulum",8,100,0.6435,,
"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",6,100,0.6914,,
Insulin secretion,48,68.57,0.6922,,
Bile secretion,38,65.52,0.7198,,
Porphyrin metabolism,6,42.86,0.7223,,
"beta-Oxidation, acyl-CoA synthesis",5,71.43,0.7421,,
Ascorbate and aldarate metabolism,3,30,0.8033,,
"Alanine, aspartate and glutamate metabolism",18,54.55,0.8626,,
Nitrogen metabolism,9,75,0.8897,,
"Phosphatidylcholine (PC) biosynthesis, choline => PC",4,80,0.8935,,
Biosynthesis of unsaturated fatty acids,15,75,0.8917,,
Circadian rhythm,12,46.15,0.9032,,
Linoleic acid metabolism,3,18.75,0.9076,,
Pentose and glucuronate interconversions,5,50,0.9057,,
alpha-Linolenic acid metabolism,2,18.18,0.906,,
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",3,60,0.913,,
Vitamin B6 metabolism,2,28.57,0.9253,,
Fatty acid biosynthesis,2,16.67,0.9284,,
Holo-TFIIH complex,1,10,NA,,
Survival motor neuron (SMN) complex,1,12.5,NA,,
