tf,p-value
Tp53,0.1797
Irf1,0.1914
Srf,0.1919
Osr2,0.1982
Znf547,0.2092
Spib,0.2107
Canx,0.2267
Gmeb1,0.2303
Hltf,0.2309
Foxp2,0.2365
Hic2,0.2427
Znf136,0.2573
Pbx1,0.2633
Fos,0.2671
Znf524,0.2709
Zbtb14,0.2915
Zbtb12,0.3131
Nkx2-8,0.3165
Nfib,0.3213
Lmx1B,0.328
Znf585B,0.3303
Znf224,0.331
Znf358,0.3319
Znf589,0.3321
Mycn,0.3339
Zkscan1,0.3344
Pparg,0.3345
Arid3A,0.3351
Nkx2-1,0.336
Znf426,0.3362
Foxd2,0.3367
Zfp30,0.3399
Znf134,0.3408
Znf821,0.3416
Glis2,0.3424
Junb,0.3426
Snapc4,0.3428
Rhoxf1,0.3434
Gli1,0.347
Mxi1,0.3478
Gata4,0.3484
Esrra,0.3598
Prrx2,0.3653
Tal2,0.3715
Creb3,0.3786
Lhx6,0.3859
Nkx1-1,0.3951
Foxo1,0.3975
Smad9,0.4012
Lhx1,0.4017
Myog,0.4033
Cers6,0.4049
Cers4,0.407
Faap24,0.4106
Cux2,0.417
Sp2,0.4174
Gtf2Ird1,0.4219
Znf835,0.4237
Dlx2,0.4282
Pou6F2,0.4307
Klf17,0.4322
Znf554,0.433
Hsf1,0.4364
Phtf1,0.437
Foxa2,0.4548
Chd1,0.4603
Meis1,0.4615
Tcf7,0.4657
Barhl1,0.4661
Creb5,0.4716
Tead1,0.4824
Neurod2,0.4826
Hoxc6,0.4882
Tbx19,0.4987
Stat5A,0.5006
Ctbp2,0.5119
Gata6,0.5194
Znf319,0.5298
Cdx2,0.5304
Nkx2-5,0.5555
Znf219,0.5727
Znf513,0.5738
Arx,0.6258
Mafk,0.6287
Hoxc10,0.63
Phox2A,0.6307
Sox21,0.6397
Rax2,0.642
Zbtb7A,0.649
Rxra,0.6515
Foxq1,0.6525
Eomes,0.6627
Hoxa3,0.6633
Znf112,0.6645
Nr3C1,0.667
Znf626,0.6678
Sall2,0.6681
Foxd1,0.6686
Tcfl5,0.6762
Pou2F2,0.6814
Myod1,0.6817
Znf404,0.6876
Nfatc2,0.7059
Znf557,0.7114
Rfx2,0.727
Lhx8,0.7329
Znf300,0.7334
Foxp3,0.7399
Pou3F3,0.7429
Znf76,0.7689
Cdx1,0.7741
Nfe2L1,0.797
Znf718,0.8062
Znf491,0.8138
Gli2,0.8199
Etv4,0.8202
Elf5,0.823
Lhx2,0.8247
Hivep2,0.8263
Pitx2,0.8275
Srebf1,0.8322
Tef,0.8397
Nfatc3,0.8547
Pou2Af1,0.8559
Fosb,0.8721
Tgif2,0.8785
Gcm1,0.8878
Hoxa7,0.891
Mef2D,0.8987
Znf266,0.9103
Rora,0.9165
Lhx5,0.9291
Cux1,0.9328
Hoxc11,0.96
Hdac1,0.962
Mixl1,0.9886
Klf7,1.0
Otx1,1.0
Nkx3-1,1.0
Znf101,1.0
Dlx1,1.0
