pathway,nums,percent,pvalue,,
IL-17 signaling pathway,12,30,0.6458,,
Selenocompound metabolism,11,100,0.6404,,
BER complex,8,100,0.6391,,
Cysteine and methionine metabolism,21,75,0.6365,,
Carbon metabolism,30,44.12,0.6484,,
"C1-unit interconversion, eukaryotes",6,100,0.6627,,
Amphetamine addiction,18,50,0.6736,,
2-Oxocarboxylic acid metabolism,20,100,0.6721,,
Primary immunodeficiency,5,71.43,0.6857,,
HTLV-I infection,139,92.67,0.6938,,
Holo-TFIIH complex,10,100,0.7194,,
Ubiquitin mediated proteolysis,68,77.27,0.7319,,
Survival motor neuron (SMN) complex,8,100,0.728,,
Pyruvate metabolism,14,48.28,0.7555,,
APC/C complex,7,58.33,0.7768,,
Inositol phosphate metabolism,22,47.83,0.805,,
Metabolic pathways,516,89.12,0.8199,,
Cortisol synthesis and secretion,7,25,0.8384,,
Endometrial cancer,15,44.12,0.8418,,
Glycerolipid metabolism,16,64,0.865,,
beta-Alanine metabolism,19,100,0.8878,,
Methionine salvage pathway,5,100,0.8818,,
Huntington's disease,75,69.44,0.8856,,
Immunoproteasome,14,100,0.8798,,
Colorectal cancer,36,64.29,0.8789,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.8821,,
Glucagon signaling pathway,37,72.55,0.8783,,
Amyotrophic lateral sclerosis (ALS),20,64.52,0.8746,,
Central carbon metabolism in cancer,21,50,0.8754,,
Parkinson's disease,42,56,0.8786,,
"Alanine, aspartate and glutamate metabolism",13,56.52,0.8876,,
Fructose and mannose metabolism,5,27.78,0.902,,
Thyroid hormone signaling pathway,47,64.38,0.8977,,
Cytosolic DNA-sensing pathway,20,62.5,0.9016,,
Sulfur metabolism,5,55.56,0.8992,,
Metabolism of xenobiotics by cytochrome P450,8,30.77,0.8981,,
Chemical carcinogenesis - DNA adducts,7,35,0.8918,,
Methionine degradation,3,50,0.8942,,
Hepatitis C,60,73.17,0.9052,,
Signaling pathways regulating pluripotency of stem cells,59,74.68,0.9082,,
THC complex,5,100,0.9022,,
Fat digestion and absorption,12,100,0.9168,,
Gastric cancer,49,68.06,0.9105,,
Chronic myeloid leukemia,42,77.78,0.9148,,
Cytochrome c oxidase,14,100,0.9183,,
ATP-dependent chromatin remodeling,61,88.41,0.9358,,
Gap junction,27,58.7,0.9537,,
Huntington disease,121,75.16,0.9638,,
African trypanosomiasis,14,100,0.9715,,
Hepatocellular carcinoma,77,76.24,0.9644,,
Long-term potentiation,23,57.5,0.9738,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.9835,,
Fluid shear stress and atherosclerosis,31,37.35,0.9912,,
Notch signaling pathway,19,57.58,0.9979,,
Prostate cancer,50,83.33,1,,
Biosynthesis of amino acids,21,50,0.998,,
ECS complex,7,100,1,,
Butanoate metabolism,11,100,1,,
Longevity regulating pathway - multiple species,13,33.33,0.9944,,
Melanoma,25,62.5,0.9938,,
Spinocerebellar ataxia,47,58.02,0.9896,,
Acute myeloid leukemia,28,70,0.9867,,
Herpes simplex virus 1 infection,133,88.08,0.9807,,
Aminoacyl-tRNA biosynthesis,22,75.86,0.9795,,
Basal cell carcinoma,24,100,0.9735,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,0.9722,,
Peroxisome,11,27.5,0.9677,,
Lipoic acid metabolism,11,100,0.9675,,
Endocrine resistance,37,63.79,0.9655,,
Histidine metabolism,11,100,0.9603,,
Proteasome,16,53.33,0.9603,,
Arrhythmogenic right ventricular cardiomyopathy,14,35.9,0.9596,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),14,36.84,0.9536,,
NOD-like receptor signaling pathway,44,46.32,0.9564,,
Non-small cell lung cancer,29,65.91,0.9512,,
Antigen processing and presentation,14,58.33,0.9656,,
Pentose phosphate pathway,13,100,0.9601,,
Oxytocin signaling pathway,34,49.28,0.9583,,
Glioma,23,50,0.9701,,
Arginine biosynthesis,9,100,0.9714,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.9681,,
Viral carcinogenesis,108,88.52,0.9673,,
Necroptosis,43,56.58,0.9725,,
ESCRT-III complex,2,25,0.9739,,
Estrogen signaling pathway,42,65.62,0.9691,,
Toll-like receptor signaling,10,100,0.9667,,
ErbB signaling pathway,24,47.06,0.9663,,
Wnt signaling,13,100,0.9613,,
Leishmaniasis,10,31.25,0.9655,,
Arachidonic acid metabolism,7,30.43,0.9649,,
Lipid and atherosclerosis,61,61.62,0.977,,
Type II diabetes mellitus,18,100,0.987,,
Protein processing in endoplasmic reticulum,34,37.78,0.9955,,
Th17 cell differentiation,28,57.14,0.9945,,
Hippo signaling,1,8.33,NA,,
