term,,,adj_p_value
Nucleocytoplasmic transport,,,0.0012299872522055547
Osteoclast differentiation,,,0.001360348693495869
Fatty acid metabolism,,,0.0013923506870616614
"Pyruvate oxidation, pyruvate => acetyl-CoA",,,0.0013923506870616614
Tuberculosis,,,0.0013983654268952873
Butanoate metabolism,,,0.0016292820435115478
Fatty acid elongation,,,0.001719589009050286
"Fatty acid biosynthesis, elongation, mitochondria",,,0.001719589009050286
Tight junction,,,0.0017472842110396003
Renal cell carcinoma,,,0.0017472842110396003
Human cytomegalovirus infection,,,0.0018838102673399203
Human T-cell leukemia virus 1 infection,,,0.002417767666599888
RNA transport,,,0.002489549437027692
Hepatitis B,,,0.0026298769287633576
DNA replication,,,0.0026726108671688083
"Glycolysis, core module involving three-carbon compounds",,,0.0028437893873383734
NOD-like receptor signaling pathway,,,0.003000220336976575
NADH dehydrogenase (ubiquinone) 1 beta subcomplex,,,0.0031782945537836413
Legionellosis,,,0.0032661922998073233
"Parathyroid hormone synthesis, secretion and action",,,0.0034048209893326104
Nuclear pore complex,,,0.004075935350434587
Lysosome,,,0.0047007987674162754
Platelet activation,,,0.004762249668348922
Salmonella infection,,,0.004883345847152742
Staphylococcus aureus infection,,,0.004883345847152742
Systemic lupus erythematosus,,,0.004883345847152742
Fat digestion and absorption,,,0.004909899904507196
Glycolysis / Gluconeogenesis,,,0.004953570224402168
"Gluconeogenesis, oxaloacetate => fructose-6P",,,0.005276270425715908
cGMP-PKG signaling pathway,,,0.005387328368976235
Cytosolic DNA-sensing pathway,,,0.005414729535503671
"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",,,0.005438345622697202
beta-Oxidation,,,0.005845053223584133
Fatty acid degradation,,,0.005965221235384456
PPAR signaling pathway,,,0.0062324488901254055
Chemokine signaling pathway,,,0.006849054984926505
p53 signaling pathway,,,0.007242942740870677
Fluid shear stress and atherosclerosis,,,0.00727951290737043
Rheumatoid arthritis,,,0.00734677815905504
Lipid and atherosclerosis,,,0.007415156678023529
Spinocerebellar ataxia,,,0.007915079355088324
Natural killer cell mediated cytotoxicity,,,0.0080119469347499
Endocytosis,,,0.008295346768333788
Malaria,,,0.008295346768333788
Regulation of actin cytoskeleton,,,0.00837876753353077
mRNA surveillance pathway,,,0.008572322369959516
Lipoic acid metabolism,,,0.009615231570693678
Toll-like receptor signaling pathway,,,0.009894652455729552
MAPK signaling pathway,,,0.00999036046042523
C-type lectin receptor signaling pathway,,,0.010184997504761657
NF-kappa B signaling pathway,,,0.010184997504761657
TNF signaling pathway,,,0.010184997504761657
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,,,0.010358506273566156
AGE-RAGE signaling pathway in diabetic complications,,,0.010405784917153646
Antigen processing and presentation,,,0.010405784917153646
Chagas disease,,,0.010405784917153646
Chagas disease (American trypanosomiasis),,,0.010405784917153646
Complement and coagulation cascades,,,0.010405784917153646
Asthma,,,0.010405784917153646
"Nucleotide sugar biosynthesis, glucose => UDP-glucose",,,0.010591371035406557
Fc epsilon RI signaling pathway,,,0.01150518308259572
Primary immunodeficiency,,,0.01150518308259572
Cellular senescence,,,0.011897656811448734
Cul4-DDB1-CSA complex,,,0.012118205117204735
Cul4-DDB1-DDB2 complex,,,0.012118205117204735
Human immunodeficiency virus 1 infection,,,0.012118205117204735
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",,,0.012745987647802163
TGF-beta signaling pathway,,,0.012940314321791014
Relaxin signaling pathway,,,0.012949792473206625
Hepatitis C,,,0.013025189692135902
"Spliceosome, U2-snRNP",,,0.013025189692135902
Exon junction complex (EJC),,,0.01359517570385384
Pathways in cancer,,,0.013630279150500822
Prion diseases,,,0.014051832835037652
Cell adhesion molecules (CAMs),,,0.01439296287687012
Influenza A,,,0.01439296287687012
RF-C complex,,,0.01439296287687012
Protein processing in endoplasmic reticulum,,,0.014554894484233558
Calcium signaling pathway,,,0.0147078244417925
Arginine biosynthesis,,,0.01502238804077879
Proteoglycans in cancer,,,0.015555180396251731
RIG-I-like receptor signaling pathway,,,0.015823321059182566
Cell adhesion molecules,,,0.016667845142319324
Viral myocarditis,,,0.016667845142319324
Circadian rhythm,,,0.017680489250371852
Small cell lung cancer,,,0.017869734405892006
mmuK signaling pathway,,,0.017869734405892006
Kaposi sarcoma-associated herpesvirus infection,,,0.018343217859577023
Ubiquitin mediated proteolysis,,,0.018343217859577023
Apoptosis,,,0.018814112707557
Yersinia infection,,,0.019053033045257482
Jak-STAT signaling pathway,,,0.022297965216057918
ESCRT-III complex,,,0.022597792937026472
COPII complex,,,0.02273526407025228
RPA complex,,,0.02405123913488799
Allograft rejection,,,0.024710894352308693
Herpes simplex infection,,,0.024924898625275922
Measles,,,0.025359189356000733
Insulin signaling pathway,,,0.025607743673272756
Sm core complex,,,0.025607743673272756
JAK-STAT signaling pathway,,,0.02566802637273773
Prostate cancer,,,0.02573815905542528
PI3K-Akt signaling pathway,,,0.028086257773502564
Polycomb repressive complex,,,0.028776262650320725
Thyroid hormone signaling pathway,,,0.028776262650320725
Adherens junction,,,0.03000580514014403
Cushing syndrome,,,0.03080721096047483
HRD1/SEL1 ERAD complex,,,0.031178879595763927
Graft-versus-host disease,,,0.03139032548851202
Inflammatory bowel disease,,,0.03139032548851202
Inflammatory bowel disease (IBD),,,0.03139032548851202
Viral life cycle - HIV-1,,,0.03139032548851202
Non-small cell lung cancer,,,0.03261351877872042
Long-term potentiation,,,0.03276012395111037
Human papillomavirus infection,,,0.034295280647947526
Pancreatic cancer,,,0.03496435221543381
T cell receptor signaling pathway,,,0.03496435221543381
ATP-dependent chromatin remodeling,,,0.03505741471963073
Cysteine and methionine metabolism,,,0.03534942239613503
Sphingosine degradation,,,0.035973909202685964
Amoebiasis,,,0.035984767228884294
Type I diabetes mellitus,,,0.036981360458635835
Cholinergic synapse,,,0.03869668162426238
Glucagon signaling pathway,,,0.0394892482049839
"Spliceosome, U1-snRNP",,,0.03950249334853574
Nucleotide excision repair,,,0.03964955704096178
Autoimmune thyroid disease,,,0.040102215407931185
Pertussis,,,0.040102215407931185
Apelin signaling pathway,,,0.040495670009171175
Base excision repair,,,0.0407765138239596
Fructose and mannose metabolism,,,0.0413485329544119
Autophagy - animal,,,0.04140793337257726
Central carbon metabolism in cancer,,,0.04163257382580815
RNA polymerase,,,0.041719433318841745
Biosynthesis of unsaturated fatty acids,,,0.042178735546807546
Creatine pathway,,,0.04277871195393147
Gap junction,,,0.04302785054183238
Th1 and Th2 cell differentiation,,,0.04302785054183238
"Proteasome, 19S regulatory particle (PA700)",,,0.04385062984661804
Neurotrophin signaling pathway,,,0.045307077800993974
Viral carcinogenesis,,,0.045307077800993974
"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",,,0.04705609019939532
Estrogen signaling pathway,,,0.04830829269313438
Mitophagy - animal,,,0.04830829269313438
Lactosylceramide biosynthesis,,,0.05186337902606961
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",,,0.05186337902606961
Dopaminergic synapse,,,0.05194300693488842
BRCA1-associated genome surveillance complex (BASC),,,0.052081635246782554
"Alanine, aspartate and glutamate metabolism",,,0.05292067102156547
Th17 cell differentiation,,,0.05513378302100941
Toxoplasmosis,,,0.05513378302100941
Necroptosis,,,0.05545116056149512
Endocrine resistance,,,0.05630925349391862
GnRH signaling pathway,,,0.05630925349391862
Amino sugar and nucleotide sugar metabolism,,,0.05942298766861753
Amyotrophic lateral sclerosis (ALS),,,0.05942298766861753
Renin secretion,,,0.060546358736760765
Gastric acid secretion,,,0.060546358736760765
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",,,0.0625399389387147
Salivary secretion,,,0.06319422489338226
Rap1 signaling pathway,,,0.06336038607253332
Notch signaling pathway,,,0.06560727977150024
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",,,0.06565000422413661
Chronic myeloid leukemia,,,0.06579354314959655
Cholesterol metabolism,,,0.06625797126142685
"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",,,0.06804584305042785
Basal transcription factors,,,0.0714033479159
Activin signaling,,,0.07235250105989907
TGF-beta signaling,,,0.07391276666138068
Axon guidance,,,0.07397962375154239
Arginine and proline metabolism,,,0.07688708852378745
"Polyamine biosynthesis, arginine => ornithine => putrescine",,,0.07794479083071697
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",,,0.07834532666548102
Alcoholic liver disease,,,0.07908362818131676
Mismatch repair,,,0.08020154017459889
"N-glycan biosynthesis, complex type",,,0.08025446139919098
"Tyrosine degradation, tyrosine => homogentisate",,,0.08093204722993001
cAMP signaling pathway,,,0.08218252995915075
"V-type ATPase, eukaryotes",,,0.08373822250312604
Colorectal cancer,,,0.08461282567329333
Adipocytokine signaling pathway,,,0.08599957709308335
Ribosome biogenesis in eukaryotes,,,0.08610121231806016
Arrhythmogenic right ventricular cardiomyopathy (ARVC),,,0.08929554839237995
Efferocytosis,,,0.08985095959191923
"Spliceosome, Prp19/CDC5L complex",,,0.09057316837638224
Urea cycle,,,0.09199299324298833
Chemical carcinogenesis - receptor activation,,,0.09578825773780965
Signaling pathways regulating pluripotency of stem cells,,,0.09596583517700732
Protein export,,,0.09705503854906543
Arrhythmogenic right ventricular cardiomyopathy,,,0.10132181235745068
Collecting duct acid secretion,,,0.10140597724584847
Drug metabolism - cytochrome P450,,,0.10249627485315815
Metabolism of xenobiotics by cytochrome P450,,,0.10249627485315815
Glutathione metabolism,,,0.10249627485315815
Wnt signaling pathway,,,0.10337908833061717
Ferroptosis,,,0.10541044099658908
HIF-1 signaling pathway,,,0.10619574070202084
Hippo signaling pathway,,,0.1079276567877016
Melanoma,,,0.10948402847715205
Sphingolipid signaling pathway,,,0.10948402847715205
"Phenylalanine, tyrosine and tryptophan biosynthesis",,,0.10951114069310755
Glioma,,,0.1135697355108797
"Serine biosynthesis, glycerate-3P => serine",,,0.1135697355108797
Translocon-associated protein (TRAP) complex,,,0.11487649778484695
Oxytocin signaling pathway,,,0.11572823712804851
p97-Ufd1-Npl4 complex,,,0.11576357790222865
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",,,0.1159513547452194
Pentose phosphate pathway (Pentose phosphate cycle),,,0.1159513547452194
"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",,,0.11735392090783948
Endocrine and other factor-regulated calcium reabsorption,,,0.11900096404903722
Long-term depression,,,0.11900096404903722
Holo-TFIIH complex,,,0.11927681947709483
Proximal tubule bicarbonate reclamation,,,0.12097874206495407
Chemical carcinogenesis - DNA adducts,,,0.12170245482393882
Galactose metabolism,,,0.12220452187654643
ABC transporters,,,0.12298118493565857
Synthesis and degradation of ketone bodies,,,0.125469259386102
Dorso-ventral axis formation,,,0.12598588250716042
MAPK (ERK1/2) signaling,,,0.12598588250716042
Apoptosis - multiple species,,,0.12775342624185698
Apoptotic machinery,,,0.12775342624185698
DNA polymerase alpha / primase complex,,,0.12775342624185698
GINS complex,,,0.12775342624185698
"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",,,0.12775342624185698
Virion - Adenovirus,,,0.12775342624185698
Virion - Lyssavirus,,,0.12775342624185698
Insulin secretion,,,0.12966734710815261
"Growth hormone synthesis, secretion and action",,,0.129839902994899
SCF-FBW7 complex,,,0.129839902994899
SCF-SKP2 complex,,,0.129839902994899
Cul3-SPOP complex,,,0.129839902994899
Starch and sucrose metabolism,,,0.13020385600021533
beta-Alanine metabolism,,,0.13142652667043106
"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",,,0.13142652667043106
Herpes simplex virus 1 infection,,,0.13159942692540752
Biosynthesis of nucleotide sugars,,,0.1326828632782821
RNA degradation,,,0.1327552648263831
Survival motor neuron (SMN) complex,,,0.1327552648263831
Cocaine addiction,,,0.13360775375020847
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",,,0.13360775375020847
SCF-BTRC complex,,,0.13360775375020847
SCF-FBS complex,,,0.13360775375020847
"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",,,0.13360775375020847
ECV complex,,,0.13360775375020847
Aldosterone-regulated sodium reabsorption,,,0.13396702349665707
Mineral absorption,,,0.13487786491942497
Biosynthesis of cofactors,,,0.1356989415872419
Porphyrin and chlorophyll metabolism,,,0.1356989415872419
Porphyrin metabolism,,,0.1356989415872419
"C5 isoprenoid biosynthesis, mevalonate pathway",,,0.13921693355445017
Drug metabolism - other enzymes,,,0.13987542172921558
Alcoholism,,,0.1422001035404476
Gastric cancer,,,0.1435405331446562
PD-L1 expression and PD-1 checkpoint pathway in cancer,,,0.1435405331446562
Sulfur metabolism,,,0.1445591379918847
Ras signaling pathway,,,0.14831273463738928
Pyrimidine metabolism,,,0.14884532462676964
MicroRNAs in cancer,,,0.14961038800824808
"Exosome, eukaryotes",,,0.14966006957797467
Vascular smooth muscle contraction,,,0.1506056037010537
THC complex,,,0.1511321219041538
Bladder cancer,,,0.1513090772707748
"Aminoacyl-tRNA biosynthesis, eukaryotes",,,0.15164058460689345
Thiamine metabolism,,,0.15186344819906467
Aldosterone synthesis and secretion,,,0.15277924819739572
Endometrial cancer,,,0.15314460822128098
Caffeine metabolism,,,0.15607773167057323
Glutamatergic synapse,,,0.1578605787622046
"Fatty acid biosynthesis, elongation, endoplasmic reticulum",,,0.1582576585020003
Choline metabolism in cancer,,,0.15984920477148362
Acute myeloid leukemia,,,0.1601893835549568
Nucleotide metabolism,,,0.1601893835549568
Platinum drug resistance,,,0.1601893835549568
Prolactin signaling pathway,,,0.1601893835549568
Amphetamine addiction,,,0.1601893835549568
Circadian entrainment,,,0.1601893835549568
Cortisol synthesis and secretion,,,0.1601893835549568
EGFR tyrosine kinase inhibitor resistance,,,0.1601893835549568
ErbB signaling pathway,,,0.1601893835549568
Antifolate resistance,,,0.16046890921655915
Primary bile acid biosynthesis,,,0.1614301879229476
"Nucleotide sugar biosynthesis, eukaryotes",,,0.16298649160110262
Breast cancer,,,0.16311444193938707
"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone",,,0.1642039292495046
DNA damage-induced cell cycle checkpoints,,,0.17113328450411816
Insulin resistance,,,0.17126122168108593
Synaptic vesicle cycle,,,0.17134380633941482
BER complex,,,0.1741213624358465
"Spliceosome, U4/U6.U5 tri-snRNP",,,0.17437159691606222
H/ACA ribonucleoprotein complex,,,0.17437159691606222
SNARE interactions in vesicular transport,,,0.1747832197989559
Phospholipase D signaling pathway,,,0.17590444234887348
Serotonergic synapse,,,0.17590444234887348
Melanogenesis,,,0.17643156894688136
Other types of O-glycan biosynthesis,,,0.17643156894688136
Renin-angiotensin system,,,0.17643156894688136
"Proline biosynthesis, glutamate => proline",,,0.17643156894688136
"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",,,0.17643156894688136
ECM-receptor interaction,,,0.18038910656196144
Hedgehog signaling pathway,,,0.18119415509598993
Ether lipid metabolism,,,0.1845449110410174
"Spliceosome, 35S U5-snRNP",,,0.1855892055068242
Thyroid cancer,,,0.1855892055068242
ECS complex,,,0.1868403574936827
Triacylglycerol biosynthesis,,,0.18716176739152213
Hepatocellular carcinoma,,,0.1874023296192039
Nicotinate and nicotinamide metabolism,,,0.1876087000336975
GABA (gamma-Aminobutyrate) shunt,,,0.1876087000336975
African trypanosomiasis,,,0.18781868243756622
"RNA polymerase II, eukaryotes",,,0.18824800003532932
PI3K-Akt signaling,,,0.18824800003532932
Vasopressin-regulated water reabsorption,,,0.18859467558095802
Notch signaling,,,0.18939513357995935
"Glycine, serine and threonine metabolism",,,0.18991153333658609
"RNA polymerase III, eukaryotes",,,0.1905822715466883
Hippo signaling,,,0.19162997376960694
Nitrogen metabolism,,,0.19212675828176207
Lsm 1-7 complex,,,0.1972338823251059
Lsm 2-8 complex,,,0.1972338823251059
Morphine addiction,,,0.19855458982093382
"beta-Oxidation, acyl-CoA synthesis",,,0.20024313096270366
"Neomycin, kanamycin and gentamicin biosynthesis",,,0.20376596644575537
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",,,0.20376596644575537
D-Amino acid metabolism,,,0.20376596644575537
FoxO signaling pathway,,,0.20704935313293013
Phenylalanine metabolism,,,0.20928626631446576
N-glycosylation by oligosaccharyltransferase,,,0.20933167205402908
Riboflavin metabolism,,,0.20933167205402908
Inflammatory mediator regulation of TRP channels,,,0.2097962918209316
"C1-unit interconversion, eukaryotes",,,0.2097962918209316
Glycosaminoglycan degradation,,,0.2102376640991608
AMPK signaling pathway,,,0.21267129647491356
Transcriptional misregulation in cancer,,,0.21353114562593317
Longevity regulating pathway - multiple species,,,0.21422523998338314
Sphingolipid metabolism,,,0.21422523998338314
VEGF signaling pathway,,,0.21422523998338314
Type II diabetes mellitus,,,0.21475047417756435
Purine metabolism,,,0.21635913646024066
One carbon pool by folate,,,0.21808308118883174
Selenocompound metabolism,,,0.21808308118883174
Tyrosine metabolism,,,0.2182147151422996
"Valine, leucine and isoleucine biosynthesis",,,0.2182147151422996
Thyroid hormone synthesis,,,0.21846367024177296
Steroid biosynthesis,,,0.21890038369562645
MAPK (JNK) signaling,,,0.21890038369562645
MAPK (p38) signaling,,,0.21890038369562645
Longevity regulating pathway,,,0.2189780570032011
GABAergic synapse,,,0.2189780570032011
JAK-STAT signaling,,,0.2205814146020251
TREX complex,,,0.2212304599105857
ESCRT-0 complex,,,0.2222081398066146
ESCRT-II complex,,,0.2222081398066146
GnRH secretion,,,0.22272403565423282
Histidine metabolism,,,0.22272403565423282
Virion - Human immunodeficiency virus,,,0.2230591540015523
Virion - Herpesvirus,,,0.22379113611572973
Pancreatic secretion,,,0.22617101987566698
"O-glycan biosynthesis, mucin type core",,,0.2316065292855427
"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",,,0.2316065292855427
N-Glycan biosynthesis,,,0.23516753425210574
"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer",,,0.23516753425210574
"RNA polymerase I, eukaryotes",,,0.23604458902804
Various types of N-glycan biosynthesis,,,0.24043187448149161
Ovarian steroidogenesis,,,0.24091511059383336
mTOR signaling pathway,,,0.24324589989488418
Mannose type O-glycan biosynthesis,,,0.24324589989488418
Inositol phosphate metabolism,,,0.243268639438103
Ubiquinone and other terpenoid-quinone biosynthesis,,,0.243268639438103
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,,,0.24509728843251571
Vitamin B6 metabolism,,,0.24752058294484164
Terpenoid backbone biosynthesis,,,0.24766398221654637
"Glycosaminoglycan biosynthesis, heparan sulfate backbone",,,0.24994752237113366
Hippo signaling pathway -multiple species,,,0.251419515410554
Pentose phosphate pathway,,,0.2519136080203201
Hippo signaling pathway - multiple species,,,0.25202257341580486
Carbohydrate digestion and absorption,,,0.2529064783533117
Arachidonic acid metabolism,,,0.25785587155401196
Toll-like receptor signaling,,,0.2589672356246282
cAMP signaling,,,0.2589672356246282
Glycosaminoglycan biosynthesis - keratan sulfate,,,0.2589672356246282
Mucin type O-glycan biosynthesis,,,0.26021791906524727
MAPK (ERK5) signaling,,,0.2618627040220545
"Exosome, archaea",,,0.2618627040220545
Regulation of lipolysis in adipocytes,,,0.26218825411776153
Autophagy - other,,,0.2645269028238707
Cap binding complex,,,0.26471734847039624
"Nucleotide sugar biosynthesis, galactose => UDP-galactose",,,0.26471734847039624
APC/C complex,,,0.2661951976250548
Glycosphingolipid biosynthesis - ganglio series,,,0.2661951976250548
Folate biosynthesis,,,0.2672902319696192
Phosphatidylinositol signaling system,,,0.26765207342116654
Homologous recombination,,,0.2698919874692381
Origin recognition complex,,,0.2698919874692381
Sec61 complex,,,0.2706405450726959
"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate",,,0.2723789604830912
Ski complex,,,0.2723789604830912
"Fatty acid biosynthesis, elongation",,,0.2789274271352392
"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",,,0.28097470785564
DNA polymerase delta complex,,,0.2815960908068558
Decapping complex,,,0.2864742674933354
Basal cell carcinoma,,,0.286980794691915
Methionine salvage pathway,,,0.2899323446344835
Aminoacyl-tRNA biosynthesis,,,0.290336402553193
Keratan sulfate degradation,,,0.2912567430004283
Lysine biosynthesis,,,0.29199142874041123
"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",,,0.29928437593818896
"Fatty acid biosynthesis, initiation",,,0.3003567632498459
Other glycan degradation,,,0.304520744388363
Glycosphingolipid biosynthesis - lacto and neolacto series,,,0.30546404443514485
Maturity onset diabetes of the young,,,0.30546404443514485
Fatty acid biosynthesis,,,0.30820730838459814
N-glycan precursor trimming,,,0.3099474506009847
Retinol metabolism,,,0.3106809302556133
Sphingosine biosynthesis,,,0.31175801473154363
"GPI-anchor biosynthesis, core oligosaccharide",,,0.3154732743037199
Glycerophospholipid metabolism,,,0.3163062081097875
Phosphonate and phosphinate metabolism,,,0.31833733641806705
BMP signaling,,,0.3187868852563494
Fanconi anemia pathway,,,0.3187868852563494
Biotin metabolism,,,0.3187868852563494
Pantothenate and CoA biosynthesis,,,0.3187868852563494
"Coenzyme A biosynthesis, pantothenate => CoA",,,0.3249943759381402
"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",,,0.3249943759381402
Wnt signaling,,,0.3316327079597816
Phototransduction,,,0.3390924168333672
Bile secretion,,,0.3490229762861794
Taurine and hypotaurine metabolism,,,0.3490229762861794
Glycerolipid metabolism,,,0.3495019600914522
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",,,0.3576129996335159
Sulfur relay system,,,0.359009932496888
cGMP signaling,,,0.36027320161596893
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,,,0.3621238504566241
Ceramide biosynthesis,,,0.3628046869282387
alpha-Linolenic acid metabolism,,,0.36441789054280155
"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",,,0.36990086073739714
Heparan sulfate degradation,,,0.37364534996432724
Shelterin complex,,,0.3750165066940604
FA core complex,,,0.38734883168823436
Hedgehog signaling,,,0.38734883168823436
Methionine degradation,,,0.38734883168823436
"GABA biosynthesis, eukaryotes, putrescine => GABA",,,0.3957244762872591
Chondroitin sulfate degradation,,,0.3987782038071966
"Phosphatidylcholine (PC) biosynthesis, choline => PC",,,0.39891874886754525
Dermatan sulfate degradation,,,0.4125118937804712
N-glycan precursor biosynthesis,,,0.41389623895411676
Glycosphingolipid biosynthesis - globo and isoglobo series,,,0.41545152124033846
Neuroactive ligand-receptor interaction,,,0.4321166285643974
Vitamin digestion and absorption,,,0.43436544500325636
Glucuronate pathway (uronate pathway),,,0.44419442720940194
Acylglycerol degradation,,,0.4567200078355678
Steroid hormone biosynthesis,,,0.47046681152113373
Pentose and glucuronate interconversions,,,0.47843226901396185
"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",,,0.488819526068184
Linoleic acid metabolism,,,0.5393732456293687
Taste transduction,,,0.552126247078521
Ascorbate and aldarate metabolism,,,0.5917450455745775
Olfactory transduction,,,0.9998311883896627
