pathway,tf,percent,,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",10,41.67,0.0005,,
Aminoacyl-tRNA biosynthesis,10,35.71,0.0006,,
HTLV-I infection,103,100,0.0006,,
Acute myeloid leukemia,34,100,0.0008,,
Influenza A,57,87.69,0.001,,
Cushing syndrome,23,44.23,0.0011,,
Viral life cycle - HIV-1,28,90.32,0.0013,,
RNA transport,106,100,0.0018,,
Insulin signaling pathway,8,11.94,0.0027,,
TNF signaling pathway,29,54.72,0.003,,
Inositol phosphate metabolism,14,45.16,0.003,,
Glioma,10,35.71,0.003,,
Human T-cell leukemia virus 1 infection,101,99.02,0.0049,,
Non-small cell lung cancer,8,25.81,0.0053,,
Chemokine signaling pathway,6,10.91,0.0063,,
Kaposi sarcoma-associated herpesvirus infection,29,36.25,0.0076,,
Fanconi anemia pathway,15,100,0.0077,,
Bacterial invasion of epithelial cells,4,11.43,0.008,,
Endocrine resistance,15,41.67,0.0089,,
Non-homologous end-joining,4,66.67,0.0089,,
MCM complex,6,100,0.0097,,
Hepatocellular carcinoma,32,43.24,0.0108,,
Measles,35,64.81,0.0112,,
Purine metabolism,73,97.33,0.0139,,
Neutrophil extracellular trap formation,20,47.62,0.014,,
"Alanine, aspartate and glutamate metabolism",13,52,0.0186,,
beta-Alanine metabolism,14,70,0.0244,,
N-Glycan biosynthesis,5,29.41,0.0248,,
Spinocerebellar ataxia,43,67.19,0.0254,,
Viral carcinogenesis,84,86.6,0.0282,,
IL-17 signaling pathway,33,100,0.0288,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,3,37.5,0.0298,,
Herpes simplex infection,85,95.51,0.0304,,
Jak-STAT signaling pathway,9,18.37,0.0343,,
Pertussis,9,28.12,0.0352,,
JAK-STAT signaling pathway,9,17.31,0.0386,,
Human papillomavirus infection,54,42.52,0.0407,,
Melanoma,9,34.62,0.0412,,
Human cytomegalovirus infection,43,46.74,0.0538,,
ErbB signaling pathway,5,17.24,0.0599,,
Glycerophospholipid metabolism,11,29.73,0.062,,
Ras signaling pathway,14,20.59,0.062,,
Prostate cancer,22,51.16,0.0664,,
Toxoplasmosis,16,39.02,0.0787,,
APC/C complex,10,100,0.0797,,
Renal cell carcinoma,3,9.68,0.0907,,
Small cell lung cancer,37,94.87,0.1004,,
Relaxin signaling pathway,9,17.65,0.1007,,
Metabolic pathways,581,99.32,0.0997,,
TGF-beta signaling pathway,29,54.72,0.1004,,
Th17 cell differentiation,3,6.82,0.1007,,
Base excision repair,24,100,0.1047,,
Hippo signaling pathway,10,16.39,0.1051,,
Selenocompound metabolism,12,100,0.1095,,
Proteoglycans in cancer,13,17.11,0.1106,,
eIF4F complex,2,28.57,0.1116,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",2,33.33,0.1265,,
Epstein-Barr virus infection,59,70.24,0.1369,,
ATP-dependent chromatin remodeling,41,68.33,0.1498,,
NF-kappa B signaling pathway,12,27.27,0.1578,,
Bladder cancer,7,38.89,0.1571,,
Apoptosis,32,50.79,0.1826,,
Vasopressin-regulated water reabsorption,6,35.29,0.1923,,
Biosynthesis of cofactors,34,41.46,0.1988,,
Lysine degradation,16,48.48,0.2071,,
BRCA1-associated genome surveillance complex (BASC),11,100,0.2092,,
Coronavirus disease - COVID-19,20,15.75,0.2576,,
Survival motor neuron (SMN) complex,3,50,0.2602,,
RNA degradation,39,88.64,0.2619,,
African trypanosomiasis,7,58.33,0.2614,,
Alcoholic liver disease,33,42.86,0.2643,,
Leishmaniasis,7,26.92,0.2684,,
Tuberculosis,20,32.79,0.267,,
Thyroid cancer,5,29.41,0.2835,,
Amoebiasis,7,20,0.2932,,
Apoptosis - multiple species,13,100,0.3206,,
Ribosome biogenesis in eukaryotes,51,100,0.3206,,
Wnt signaling pathway,18,38.3,0.319,,
Cytosolic DNA-sensing pathway,30,100,0.3262,,
FoxO signaling pathway,21,36.84,0.3321,,
Malaria,8,57.14,0.3371,,
Nucleotide metabolism,37,94.87,0.3354,,
Phagosome,34,64.15,0.3387,,
Pyrimidine metabolism,61,98.39,0.3505,,
Methionine degradation,5,100,0.3984,,
AGE-RAGE signaling pathway in diabetic complications,7,14.89,0.3966,,
Ferroptosis,6,23.08,0.407,,
Cell cycle - G1/S transition,4,66.67,0.4451,,
Toll-like receptor signaling,3,30,0.488,,
Platelet activation,5,10.64,0.4931,,
PI3K-Akt signaling pathway,65,54.62,0.5237,,
Protein digestion and absorption,5,27.78,0.5406,,
Origin recognition complex,5,100,0.551,,
Transcriptional misregulation in cancer,7,10.94,0.6583,,
RF-C complex,5,100,0.7092,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",7,100,0.7057,,
Mismatch repair,18,100,0.7221,,
Homologous recombination,14,93.33,0.7204,,
Antifolate resistance,8,50,0.7333,,
One carbon pool by folate,4,40,0.7725,,
Legionellosis,10,43.48,0.7812,,
Cytokine-cytokine receptor interaction,5,9.8,0.8317,,
p53 signaling pathway,24,82.76,0.8379,,
Basal transcription factors,23,69.7,0.9062,,
HIF-1 signaling pathway,10,23.26,0.9118,,
Nucleotide excision repair,37,100,0.9403,,
DNA replication,27,100,0.9395,,
Thermogenesis,2,1.98,0.9628,,
N-glycan precursor biosynthesis,2,40,0.9571,,
Thyroid hormone signaling pathway,2,3.33,0.9557,,
Necroptosis,3,4.84,0.9514,,
Mitophagy - animal,2,5.56,0.9507,,
Regulation of actin cytoskeleton,5,5.62,0.9534,,
Methionine salvage pathway,4,50,0.9507,,
Fc gamma R-mediated phagocytosis,5,12.82,0.9664,,
Activin signaling,1,16.67,NA,,
Aldosterone-regulated sodium reabsorption,1,7.69,NA,,
Inflammatory bowel disease,1,5.26,NA,,
Apelin signaling pathway,1,1.75,NA,,
Amphetamine addiction,1,4.35,NA,,
Inflammatory bowel disease (IBD),1,5.26,NA,,
Longevity regulating pathway - multiple species,1,3.33,NA,,
Notch signaling pathway,1,4.76,NA,,
Osteoclast differentiation,1,1.96,NA,,
TGF-beta signaling,1,16.67,NA,,
"Parathyroid hormone synthesis, secretion and action",1,2.44,NA,,
Cortisol synthesis and secretion,1,4,NA,,
Choline metabolism in cancer,1,2.5,NA,,
