pathway,tf,percent,,,
BRCA1-associated genome surveillance complex (BASC),11,100,0,,
Adherens junction,21,38.18,0,,
Adrenergic signaling in cardiomyocytes,14,32.56,0,,
Calcium signaling pathway,54,100,0,,
Cytokine-cytokine receptor interaction,32,62.75,0,,
IL-17 signaling pathway,16,48.48,0,,
Transcriptional misregulation in cancer,39,60.94,0,,
Phagosome,48,90.57,0,,
Cushing syndrome,26,50,0,,
Lysosome,19,31.67,0,,
Biosynthesis of nucleotide sugars,15,75,0,,
Huntington disease,125,92.59,0,,
mTOR signaling pathway,12,20.34,0.0001,,
Leukocyte transendothelial migration,27,57.45,0.0001,,
Hepatocellular carcinoma,39,52.7,0.0001,,
Alzheimer disease,136,90.07,0.0001,,
Glucagon signaling pathway,12,26.67,0.0001,,
Inositol phosphate metabolism,15,48.39,0.0001,,
NF-kappa B signaling pathway,17,38.64,0.0001,,
Homologous recombination,14,93.33,0.0002,,
Dopaminergic synapse,17,36.17,0.0002,,
Glioma,12,42.86,0.0002,,
Non-small cell lung cancer,15,48.39,0.0002,,
MCM complex,6,100,0.0002,,
Tuberculosis,33,54.1,0.0003,,
Other types of O-glycan biosynthesis,11,100,0.0003,,
APC/C complex,10,100,0.0003,,
Malaria,11,78.57,0.0005,,
Alcoholism,32,76.19,0.0006,,
Coronavirus disease - COVID-19,40,31.5,0.0006,,
Platelet activation,7,14.89,0.0007,,
Fructose and mannose metabolism,10,62.5,0.0008,,
Renal cell carcinoma,5,16.13,0.0008,,
Regulation of lipolysis in adipocytes,10,52.63,0.0008,,
Signaling pathways regulating pluripotency of stem cells,16,33.33,0.0008,,
Cell cycle - G1/S transition,5,83.33,0.0008,,
Viral myocarditis,6,37.5,0.0009,,
Relaxin signaling pathway,12,23.53,0.0009,,
Toll-like receptor signaling,10,100,0.001,,
AGE-RAGE signaling pathway in diabetic complications,12,25.53,0.001,,
Hippo signaling pathway,12,19.67,0.001,,
RF-C complex,5,100,0.001,,
Mannose type O-glycan biosynthesis,7,100,0.0011,,
ErbB signaling pathway,7,24.14,0.0011,,
Complement and coagulation cascades,22,40.74,0.0012,,
Adipocytokine signaling pathway,24,70.59,0.0013,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,7,17.95,0.0014,,
Melanoma,10,38.46,0.0014,,
Prolactin signaling pathway,7,23.33,0.0014,,
N-Glycan biosynthesis,7,41.18,0.0016,,
Ras signaling pathway,6,8.82,0.0017,,
Fanconi anemia pathway,13,86.67,0.0017,,
GnRH secretion,17,100,0.0018,,
EGFR tyrosine kinase inhibitor resistance,7,18.42,0.0018,,
Viral protein interaction with cytokine and cytokine receptor,9,81.82,0.0019,,
Thyroid cancer,7,41.18,0.0019,,
Longevity regulating pathway - multiple species,11,36.67,0.002,,
Endocrine resistance,17,47.22,0.0021,,
JAK-STAT signaling pathway,26,50,0.0023,,
T cell receptor signaling pathway,5,11.63,0.0023,,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,5,100,0.0023,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",10,41.67,0.0025,,
cAMP signaling pathway,5,9.8,0.0026,,
Aminoacyl-tRNA biosynthesis,10,35.71,0.0026,,
cGMP-PKG signaling pathway,13,21.31,0.0029,,
mRNA surveillance pathway,6,9.84,0.0031,,
Arrhythmogenic right ventricular cardiomyopathy,13,68.42,0.0033,,
Survival motor neuron (SMN) complex,4,66.67,0.0035,,
Autophagy - animal,26,29.89,0.0037,,
Amyotrophic lateral sclerosis (ALS),3,16.67,0.0038,,
Apelin signaling pathway,5,8.77,0.0038,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),13,68.42,0.0043,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",4,66.67,0.0047,,
Hematopoietic cell lineage,5,23.81,0.0053,,
Non-homologous end-joining,5,83.33,0.0057,,
Fc gamma R-mediated phagocytosis,11,28.21,0.0062,,
Amoebiasis,8,22.86,0.0065,,
FoxO signaling pathway,36,63.16,0.0076,,
ECM-receptor interaction,4,22.22,0.0081,,
AMPK signaling pathway,22,36.67,0.0081,,
Various types of N-glycan biosynthesis,4,26.67,0.0094,,
"N-glycan biosynthesis, complex type",5,100,0.0113,,
Wnt signaling pathway,19,40.43,0.0112,,
Metabolic pathways,585,100,0.013,,
Cytosolic DNA-sensing pathway,13,43.33,0.0129,,
Prion disease,106,88.33,0.0134,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",7,100,0.0157,,
Antigen processing and presentation,7,26.92,0.0165,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,4,50,0.0182,,
Jak-STAT signaling pathway,21,42.86,0.0206,,
Vascular smooth muscle contraction,9,19.57,0.0208,,
Insulin resistance,24,42.86,0.0246,,
Legionellosis,16,69.57,0.0282,,
Fluid shear stress and atherosclerosis,27,42.86,0.0296,,
BER complex,3,50,0.0325,,
Axon guidance,11,18.64,0.0327,,
Staphylococcus aureus infection,16,76.19,0.034,,
Porphyrin and chlorophyll metabolism,11,57.89,0.0339,,
Phospholipase D signaling pathway,3,6.12,0.0353,,
Chemical carcinogenesis - receptor activation,77,89.53,0.0353,,
Porphyrin metabolism,11,61.11,0.0423,,
"Nucleotide sugar biosynthesis, eukaryotes",3,60,0.0426,,
B cell receptor signaling pathway,3,11.54,0.0437,,
Protein digestion and absorption,5,27.78,0.0486,,
Bladder cancer,7,38.89,0.0575,,
eIF4F complex,7,100,0.0587,,
Endometrial cancer,3,11.54,0.0691,,
Hypertrophic cardiomyopathy (HCM),5,35.71,0.0693,,
Vasopressin-regulated water reabsorption,6,35.29,0.0764,,
Inflammatory bowel disease,6,31.58,0.0766,,
Prion diseases,20,100,0.0781,,
Hypertrophic cardiomyopathy,6,40,0.0783,,
Inflammatory bowel disease (IBD),6,31.58,0.0822,,
Acute myeloid leukemia,8,23.53,0.0837,,
Th1 and Th2 cell differentiation,2,7.14,0.0839,,
Parkinson disease,98,85.22,0.0858,,
COPII complex,2,25,0.0908,,
Leishmaniasis,13,50,0.0936,,
Cholesterol metabolism,2,5.88,0.0941,,
JAK-STAT signaling,2,18.18,0.0966,,
Citrate cycle (TCA cycle),2,8.7,0.0967,,
Amphetamine addiction,2,8.7,0.0969,,
VEGF signaling pathway,2,10,0.0988,,
Mitophagy - animal,2,5.56,0.0983,,
N-glycan precursor biosynthesis,2,40,0.0979,,
Sphingolipid metabolism,2,10.53,0.1009,,
Notch signaling pathway,2,9.52,0.1011,,
Dilated cardiomyopathy,5,33.33,0.1112,,
p53 signaling pathway,27,93.1,0.1147,,
Origin recognition complex,5,100,0.1263,,
RIG-I-like receptor signaling pathway,16,53.33,0.1531,,
Rheumatoid arthritis,6,30,0.1581,,
Biosynthesis of cofactors,53,64.63,0.159,,
Proximal tubule bicarbonate reclamation,11,100,0.1645,,
Antifolate resistance,9,56.25,0.1686,,
Type II diabetes mellitus,4,28.57,0.1942,,
TGF-beta signaling pathway,31,58.49,0.2091,,
PI3K-Akt signaling,3,50,0.2144,,
Methionine degradation,5,100,0.2138,,
Alzheimer's disease,11,13.1,0.2208,,
"Exosome, eukaryotes",5,83.33,0.2411,,
Thermogenesis,47,46.53,0.2471,,
Carbohydrate digestion and absorption,13,100,0.2633,,
Arginine and proline metabolism,12,50,0.3066,,
Glutathione metabolism,30,83.33,0.306,,
Steroid biosynthesis,4,80,0.3721,,
"Gluconeogenesis, oxaloacetate => fructose-6P",3,30,0.3781,,
Neuroactive ligand-receptor interaction,14,43.75,0.3869,,
Ferroptosis,18,69.23,0.4444,,
Glucuronate pathway (uronate pathway),4,36.36,0.4586,,
Bile secretion,9,20.93,0.4715,,
Pentose and glucuronate interconversions,4,26.67,0.476,,
Linoleic acid metabolism,4,21.05,0.5035,,
African trypanosomiasis,5,41.67,0.5276,,
Systemic lupus erythematosus,9,39.13,0.5431,,
Apoptosis - multiple species,6,46.15,0.5564,,
Cell adhesion molecules,16,57.14,0.5892,,
Methionine salvage pathway,4,50,0.5943,,
"Parathyroid hormone synthesis, secretion and action",3,7.32,0.6158,,
Fatty acid biosynthesis,3,42.86,0.6198,,
One carbon pool by folate,4,40,0.6198,,
Cell adhesion molecules (CAMs),15,55.56,0.6437,,
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",4,36.36,0.6579,,
Pentose phosphate pathway,8,47.06,0.6557,,
Central carbon metabolism in cancer,3,11.54,0.6727,,
Fat digestion and absorption,16,100,0.6706,,
Platinum drug resistance,36,85.71,0.6891,,
Galactose metabolism,8,61.54,0.7225,,
"Alanine, aspartate and glutamate metabolism",13,52,0.724,,
Steroid hormone biosynthesis,13,30.95,0.7316,,
Diabetic cardiomyopathy,35,37.23,0.771,,
Sphingosine biosynthesis,5,100,0.7814,,
Intestinal immune network for IgA production,3,42.86,0.78,,
Lysine degradation,14,42.42,0.7801,,
Huntington's disease,25,26.04,0.7864,,
Glycerophospholipid metabolism,11,29.73,0.8182,,
Chemical carcinogenesis - reactive oxygen species,18,16.07,0.8593,,
Pyruvate metabolism,7,24.14,0.9104,,
Glycolysis / Gluconeogenesis,7,23.33,0.9105,,
Activin signaling,1,16.67,NA,,
Aldosterone synthesis and secretion,1,3.23,NA,,
Cocaine addiction,1,5.26,NA,,
BMP signaling,1,12.5,NA,,
Exon junction complex (EJC),1,6.67,NA,,
Hippo signaling,1,12.5,NA,,
Hippo signaling pathway -multiple species,1,11.11,NA,,
Holo-TFIIH complex,1,10,NA,,
Ribosome,1,1.01,NA,,
"Ribosome, eukaryotes",1,1.54,NA,,
Serotonergic synapse,1,2.33,NA,,
"Spliceosome, 35S U5-snRNP",1,4,NA,,
"Spliceosome, Prp19/CDC5L complex",1,14.29,NA,,
TGF-beta signaling,1,16.67,NA,,
THC complex,1,20,NA,,
TREX complex,1,12.5,NA,,
Hippo signaling pathway - multiple species,1,11.11,NA,,
Cortisol synthesis and secretion,1,4,NA,,
Basal cell carcinoma,1,8.33,NA,,
