pathway,tf,percent,,,
Origin recognition complex,5,100,0.083,,
Arginine and proline metabolism,12,50,0.0929,,
Sphingolipid metabolism,2,10.53,0.099,,
Notch signaling pathway,2,9.52,0.1011,,
Autophagy - animal,26,29.89,0.1059,,
BER complex,3,50,0.1054,,
Fc gamma R-mediated phagocytosis,11,28.21,0.1049,,
Cholesterol metabolism,2,5.88,0.1095,,
cGMP-PKG signaling pathway,13,21.31,0.1102,,
Th1 and Th2 cell differentiation,2,7.14,0.1149,,
Galactose metabolism,5,38.46,0.116,,
N-glycan precursor biosynthesis,2,40,0.1163,,
Amphetamine addiction,2,8.7,0.1164,,
Fructose and mannose metabolism,8,50,0.1176,,
COPII complex,2,25,0.1171,,
Mitophagy - animal,2,5.56,0.1165,,
Toll-like receptor signaling,10,100,0.1176,,
JAK-STAT signaling,2,18.18,0.1204,,
Lysine degradation,14,42.42,0.1261,,
VEGF signaling pathway,2,10,0.1268,,
Wnt signaling pathway,18,38.3,0.1422,,
p53 signaling pathway,28,96.55,0.1476,,
JAK-STAT signaling pathway,14,26.92,0.1631,,
Legionellosis,17,73.91,0.1626,,
Fat digestion and absorption,16,100,0.164,,
Vascular smooth muscle contraction,9,19.57,0.1831,,
Various types of N-glycan biosynthesis,4,26.67,0.1846,,
"Exosome, eukaryotes",5,83.33,0.2004,,
Glutathione metabolism,27,75,0.2007,,
Osteoclast differentiation,24,47.06,0.2024,,
Methionine degradation,5,100,0.2395,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",7,100,0.2496,,
Leukocyte transendothelial migration,25,53.19,0.2601,,
Inflammatory bowel disease,6,31.58,0.2648,,
Peroxisome,19,37.25,0.2701,,
Antifolate resistance,9,56.25,0.2766,,
Inflammatory bowel disease (IBD),6,31.58,0.2815,,
Insulin resistance,24,42.86,0.3156,,
Methionine salvage pathway,4,50,0.3302,,
Steroid biosynthesis,4,80,0.3617,,
Rheumatoid arthritis,6,30,0.3618,,
Thermogenesis,6,5.94,0.3686,,
Biosynthesis of amino acids,11,23.4,0.3805,,
Dopaminergic synapse,17,36.17,0.3908,,
Bladder cancer,7,38.89,0.4288,,
Glucuronate pathway (uronate pathway),3,27.27,0.4352,,
Pentose and glucuronate interconversions,3,20,0.4355,,
Alzheimer's disease,11,13.1,0.4379,,
Alcoholism,32,76.19,0.496,,
Prion disease,106,88.33,0.5019,,
One carbon pool by folate,4,40,0.5579,,
Neuroactive ligand-receptor interaction,11,34.38,0.5629,,
Jak-STAT signaling pathway,8,16.33,0.5732,,
Parkinson disease,98,85.22,0.572,,
Biosynthesis of cofactors,56,68.29,0.5735,,
beta-Alanine metabolism,14,70,0.5999,,
Cell adhesion molecules,6,21.43,0.6196,,
Vasopressin-regulated water reabsorption,6,35.29,0.6351,,
ErbB signaling pathway,7,24.14,0.6353,,
"Gluconeogenesis, oxaloacetate => fructose-6P",3,30,0.6606,,
Central carbon metabolism in cancer,3,11.54,0.6718,,
Leishmaniasis,12,46.15,0.6814,,
Chemical carcinogenesis - reactive oxygen species,14,12.5,0.6987,,
Tuberculosis,32,52.46,0.6967,,
Pyruvate metabolism,4,13.79,0.6998,,
Diabetic cardiomyopathy,35,37.23,0.7302,,
Aminoacyl-tRNA biosynthesis,10,35.71,0.7449,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",10,41.67,0.7473,,
Ferroptosis,6,23.08,0.7506,,
African trypanosomiasis,5,41.67,0.7656,,
Cell adhesion molecules (CAMs),5,18.52,0.7789,,
Type II diabetes mellitus,4,28.57,0.7791,,
Non-alcoholic fatty liver disease,50,56.82,0.7836,,
Steroid hormone biosynthesis,13,30.95,0.7847,,
Porphyrin and chlorophyll metabolism,4,21.05,0.7857,,
Porphyrin metabolism,4,22.22,0.7988,,
Coronavirus disease - COVID-19,28,22.05,0.8169,,
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",4,36.36,0.8873,,
PI3K-Akt signaling,3,50,0.8951,,
Glycolysis / Gluconeogenesis,5,16.67,0.8958,,
Linoleic acid metabolism,4,21.05,0.9011,,
Cysteine and methionine metabolism,22,78.57,0.9034,,
Apoptosis - multiple species,6,46.15,0.9158,,
Citrate cycle (TCA cycle),2,8.7,0.9244,,
Carbohydrate digestion and absorption,13,100,0.9283,,
Circadian rhythm,5,29.41,0.9422,,
Sphingosine biosynthesis,5,100,0.9583,,
Activin signaling,1,16.67,NA,,
Aldosterone synthesis and secretion,1,3.23,NA,,
Cocaine addiction,1,5.26,NA,,
BMP signaling,1,12.5,NA,,
Exon junction complex (EJC),1,6.67,NA,,
Hippo signaling,1,12.5,NA,,
Hippo signaling pathway -multiple species,1,11.11,NA,,
Holo-TFIIH complex,1,10,NA,,
Ribosome,1,1.01,NA,,
"Ribosome, eukaryotes",1,1.54,NA,,
Serotonergic synapse,1,2.33,NA,,
"Spliceosome, 35S U5-snRNP",1,4,NA,,
"Spliceosome, Prp19/CDC5L complex",1,14.29,NA,,
TGF-beta signaling,1,16.67,NA,,
THC complex,1,20,NA,,
TREX complex,1,12.5,NA,,
Hippo signaling pathway - multiple species,1,11.11,NA,,
Cortisol synthesis and secretion,1,4,NA,,
Basal cell carcinoma,1,8.33,NA,,
