pathway,tf,percent,,,
Amphetamine addiction,2,8.7,0.1273,,
Mitophagy - animal,2,5.56,0.1262,,
Kaposi sarcoma-associated herpesvirus infection,23,28.75,0.1358,,
Chemokine signaling pathway,20,36.36,0.1386,,
T cell receptor signaling pathway,4,9.3,0.1446,,
Ras signaling pathway,5,7.35,0.1449,,
Fc gamma R-mediated phagocytosis,11,28.21,0.1494,,
"Spliceosome, U2-snRNP",11,57.89,0.1523,,
Acute myeloid leukemia,4,11.76,0.1719,,
APC/C complex,10,100,0.2162,,
Choline metabolism in cancer,40,100,0.2263,,
Origin recognition complex,5,100,0.2312,,
Pathways in cancer,195,97.99,0.2353,,
Thyroid cancer,6,35.29,0.2553,,
Thermogenesis,4,3.96,0.2633,,
Hippo signaling pathway,11,18.03,0.2819,,
Homologous recombination,14,93.33,0.3336,,
Cytokine-cytokine receptor interaction,12,23.53,0.3539,,
Fc epsilon RI signaling pathway,18,100,0.3592,,
BRCA1-associated genome surveillance complex (BASC),11,100,0.3702,,
Viral myocarditis,3,18.75,0.372,,
Antigen processing and presentation,7,26.92,0.3942,,
"Alanine, aspartate and glutamate metabolism",13,52,0.4337,,
Nucleotide excision repair,37,100,0.4677,,
Methionine degradation,5,100,0.529,,
Toxoplasmosis,3,7.32,0.5309,,
NOD-like receptor signaling pathway,20,25,0.5399,,
Methionine salvage pathway,4,50,0.5545,,
Amyotrophic lateral sclerosis,168,100,0.5579,,
Hepatocellular carcinoma,17,22.97,0.5691,,
Fluid shear stress and atherosclerosis,21,33.33,0.5821,,
Transcriptional misregulation in cancer,31,48.44,0.6067,,
Apoptosis,42,66.67,0.6151,,
Adipocytokine signaling pathway,5,14.71,0.6232,,
PI3K-Akt signaling,6,100,0.6294,,
Necroptosis,17,27.42,0.6746,,
Viral protein interaction with cytokine and cytokine receptor,3,27.27,0.6906,,
DNA replication,27,100,0.6985,,
RIG-I-like receptor signaling pathway,4,13.33,0.7195,,
Non-alcoholic fatty liver disease,9,10.23,0.7322,,
PI3K-Akt signaling pathway,64,53.78,0.7336,,
PPAR signaling pathway,24,52.17,0.7332,,
Dopaminergic synapse,17,36.17,0.7774,,
Non-alcoholic fatty liver disease (NAFLD),8,9.3,0.7843,,
Wnt signaling pathway,18,38.3,0.8178,,
Fat digestion and absorption,16,100,0.8132,,
IL-17 signaling pathway,7,21.21,0.8291,,
Purine metabolism,74,98.67,0.8336,,
Malaria,14,100,0.912,,
Carbohydrate digestion and absorption,13,100,0.9211,,
Mismatch repair,18,100,0.9186,,
"Exosome, eukaryotes",5,83.33,0.9252,,
Diabetic cardiomyopathy,9,9.57,0.9224,,
FoxO signaling pathway,27,47.37,0.9321,,
RF-C complex,5,100,0.9306,,
beta-Alanine metabolism,13,65,0.9352,,
Longevity regulating pathway - multiple species,30,100,0.9306,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0.9323,,
Pertussis,9,28.12,0.9285,,
Fanconi anemia pathway,13,86.67,0.9264,,
Central carbon metabolism in cancer,3,11.54,0.9219,,
Tuberculosis,24,39.34,0.9295,,
Autophagy - animal,4,4.6,0.9283,,
Osteoclast differentiation,22,43.14,0.9269,,
Circadian rhythm,2,11.76,0.942,,
Legionellosis,7,30.43,0.9393,,
BER complex,3,50,0.9519,,
Activin signaling,1,16.67,NA,,
Adherens junction,1,1.82,NA,,
Aldosterone synthesis and secretion,1,3.23,NA,,
Aldosterone-regulated sodium reabsorption,1,7.69,NA,,
Amyotrophic lateral sclerosis (ALS),1,5.56,NA,,
BMP signaling,1,12.5,NA,,
Exon junction complex (EJC),1,6.67,NA,,
Holo-TFIIH complex,1,10,NA,,
"Spliceosome, 35S U5-snRNP",1,4,NA,,
"Spliceosome, Prp19/CDC5L complex",1,14.29,NA,,
TGF-beta signaling,1,16.67,NA,,
THC complex,1,20,NA,,
TREX complex,1,12.5,NA,,
"Parathyroid hormone synthesis, secretion and action",1,2.44,NA,,
Cortisol synthesis and secretion,1,4,NA,,
Basal cell carcinoma,1,8.33,NA,,
