tf,p-value
Stat1,0.152
Mzf1,0.1525
Stat6,0.1588
Arnt,0.1615
Mybl2,0.1683
Nr6A1,0.1706
Gata6,0.1786
Znf471,0.1902
Elf3,0.1921
Klf4,0.202
Phtf1,0.2065
Zbtb7B,0.2131
Mlx,0.2163
Znf787,0.2216
Nkx1-1,0.223
Rest,0.2233
Hdac1,0.2245
Dlx1,0.2264
Cux1,0.2308
Foxn3,0.232
Etv5,0.2332
Myog,0.2345
Mesp1,0.2433
Zfp82,0.2457
Znf358,0.2655
Hoxa5,0.2804
Znf671,0.2874
E2F6,0.2949
Tead2,0.2982
Znf740,0.3076
Gata4,0.3092
Smad7,0.3198
Nr1D2,0.3249
Hivep2,0.3261
Znf426,0.3262
Lhx1,0.3295
Mixl1,0.3309
Hlf,0.3314
Hoxa11,0.3318
Znf235,0.3321
Hoxa10,0.3327
Six2,0.3327
Cers4,0.333
Znf718,0.3338
Znf626,0.3346
Znf134,0.335
Tead3,0.3362
Gata3,0.3365
Znf616,0.3368
Zic2,0.3368
Znf8,0.3374
Irf4,0.338
Znf274,0.3394
Gsc,0.3541
Hoxc13,0.3696
Gtf3A,0.3727
Max,0.3736
Hic2,0.3986
Zbtb7A,0.4365
Znf76,0.4663
Tal2,0.4681
Hoxa4,0.5213
Klf16,0.5227
Pparg,0.5267
Nkx2-5,0.5323
Gbx1,0.5515
Mafg,0.5723
Nucb1,0.585
Bcl6B,0.5866
Tfcp2L1,0.5924
Srebf2,0.6058
Cic,0.6094
Rax2,0.61
Nfe2L3,0.6164
Etv2,0.62
Gli1,0.6241
Znf384,0.6324
Irf1,0.634
Chd1,0.6517
Hoxc10,0.6586
Nkx2-8,0.6605
Nkx6-2,0.6625
Pitx2,0.6626
Hsf1,0.6645
Dlx2,0.6657
Znf404,0.6675
Nkx3-2,0.671
Rhoxf1,0.672
Hoxb5,0.6723
Nfatc3,0.6733
Pou3F3,0.6772
Nelfe,0.6957
Smarca4,0.7008
Batf,0.7078
Etv7,0.7479
Tcfl5,0.7986
Znf219,0.8183
Srebf1,0.8193
Gata1,0.82
Hmx1,0.828
Myb,0.8282
Phox2A,0.8303
Hoxa7,0.834
Nfkb1,0.8581
Hinfp,0.8779
Zfp30,0.8886
Tead4,0.8952
Tcf7L2,0.8956
Pou2F2,0.8961
Zscan2,0.9005
Foxc1,0.9014
Mxi1,0.9046
Klf17,0.915
Hoxc11,0.9344
Glis2,0.9364
Bcl3,0.9367
Znf319,0.9447
Rfx1,0.9673
Smad9,0.9754
Npas2,0.9825
Znf260,0.9828
Nr1H4,0.9832
Stat5A,0.9956
Klf7,1.0
Znf835,1.0
Onecut2,1.0
Hoxc12,1.0
Barhl1,1.0
Hlx,1.0
