pathway,nums,percent,pvalue,,
Glycerolipid metabolism,19,76,0.89,,
ATP-dependent chromatin remodeling,69,100,0.884,,
Breast cancer,67,93.06,0.8838,,
THC complex,5,100,0.8792,,
Fat digestion and absorption,12,100,0.904,,
Basal cell carcinoma,19,79.17,0.9014,,
Cytochrome c oxidase,14,100,0.8981,,
HTLV-I infection,148,98.67,0.8939,,
N-glycan precursor biosynthesis,7,100,0.8914,,
Huntington disease,149,92.55,0.8936,,
Antigen processing and presentation,20,83.33,0.8886,,
Peroxisome,31,77.5,0.8927,,
Parkinson disease,126,88.73,0.8954,,
Hepatitis C,76,92.68,0.902,,
Thermogenesis,110,94.02,0.9002,,
Folate biosynthesis,9,81.82,0.9269,,
Primary immunodeficiency,6,85.71,0.9316,,
APC/C complex,12,100,0.9405,,
Colorectal cancer,52,92.86,0.935,,
Hepatocellular carcinoma,92,91.09,0.9408,,
Herpes simplex virus 1 infection,149,98.68,0.9649,,
RIG-I-like receptor signaling pathway,26,83.87,0.9588,,
Lipid and atherosclerosis,89,89.9,0.9643,,
Butanoate metabolism,11,100,0.9702,,
Gap junction,35,76.09,0.9737,,
ECS complex,7,100,0.9694,,
Lipoic acid metabolism,11,100,0.971,,
Acute myeloid leukemia,37,92.5,0.9648,,
Histidine metabolism,11,100,0.9666,,
Thyroid hormone signaling pathway,65,89.04,0.9606,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,0.9544,,
Spinocerebellar ataxia,70,86.42,0.9537,,
Proximal tubule bicarbonate reclamation,9,64.29,0.9507,,
Estrogen signaling pathway,53,82.81,0.9487,,
Chronic myeloid leukemia,51,94.44,0.9582,,
Prion diseases,13,61.9,0.9599,,
Propanoate metabolism,19,79.17,0.9617,,
Ubiquinone and other terpenoid-quinone biosynthesis,5,100,0.9657,,
African trypanosomiasis,9,64.29,0.9647,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.9623,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",12,92.31,0.9618,,
"Glycine, serine and threonine metabolism",18,90,0.9575,,
Staphylococcus aureus infection,14,100,0.9632,,
Arginine biosynthesis,9,100,0.9603,,
Viral carcinogenesis,119,97.54,0.9546,,
Longevity regulating pathway - multiple species,28,71.79,0.9581,,
Necroptosis,65,85.53,0.9531,,
Biosynthesis of cofactors,64,88.89,0.9487,,
Amino sugar and nucleotide sugar metabolism,16,61.54,0.9567,,
Toll-like receptor signaling,10,100,0.9528,,
Wnt signaling,13,100,0.9479,,
Hippo signaling,12,100,0.953,,
Biosynthesis of nucleotide sugars,16,72.73,0.9643,,
Type II diabetes mellitus,14,77.78,0.9729,,
Leishmaniasis,28,87.5,0.9933,,
