pathway,nums,percent,pvalue,,
Porphyrin and chlorophyll metabolism,12,100,0.9237,,
Nucleotide metabolism,44,93.62,0.9229,,
Glucagon signaling pathway,42,82.35,0.9426,,
Glyoxylate and dicarboxylate metabolism,17,85,0.9589,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,1,,
Riboflavin metabolism,6,100,1,,
APC/C complex,12,100,0.999,,
Ubiquitin mediated proteolysis,85,96.59,1,,
ATP-dependent chromatin remodeling,68,98.55,0.997,,
N-glycan precursor biosynthesis,7,100,0.9883,,
"F-type ATPase, eukaryotes",3,50,1,,
Spinocerebellar ataxia,67,82.72,0.9935,,
Sulfur metabolism,5,55.56,0.99,,
eIF4F complex,7,100,0.9873,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.9922,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",11,84.62,0.9945,,
Basal cell carcinoma,19,79.17,0.989,,
"Phosphatidylcholine (PC) biosynthesis, choline => PC",5,100,0.9824,,
Prostate cancer,56,93.33,0.9748,,
Dorso-ventral axis formation,12,66.67,0.9747,,
RIG-I-like receptor signaling pathway,28,90.32,0.973,,
Maturity onset diabetes of the young,5,100,0.9978,,
Cytochrome bc1 complex,4,57.14,0.9971,,
Drug metabolism - cytochrome P450,13,56.52,0.9927,,
Fluid shear stress and atherosclerosis,70,84.34,1,,
Th17 cell differentiation,46,93.88,0.9999,,
