Gene,iPS0,iPS4,iPS7,iPS10,iPS15,iPS20
Arf2,109.541,26.35456667,26.7593,23.8693,21.06803333,20.02753333
Rab3d,3.709333333,2.905936667,6.628863333,8.744536667,9.63425,9.104823333
Degs1,280.248,66.04306667,54.445,70.1673,65.60316667,72.54796667
Fkbp4,103.8403333,294.1133333,292.799,299.2813333,361.055,411.5646667
Tspan9,89.83823333,7.660696667,5.273566667,8.338866667,13.95936667,18.1599
Sec31a,140.7703333,55.1387,50.44406667,56.61156667,54.37096667,47.80113333
Vimp,123.2696667,38.652,32.94453333,40.48843333,29.9852,25.2345
Uap1l1,145.051,16.86903333,11.94924333,14.42323333,15.55476667,21.08856667
Selm,207.2806667,14.6196,16.77333333,8.16826,20.4771,24.844
Dpp7,52.5759,12.2365,13.82566667,21.89676667,18.01486667,17.64186667
Nadkd1,4.276683333,12.85273333,13.9149,9.967433333,12.91443333,17.27
Cdc7,4.135253333,17.472,21.0671,22.24626667,23.15386667,26.38286667
Atp6ap2,71.2597,26.95633333,28.38823333,30.15113333,28.64483333,31.32736667
Mki67,23.70916667,82.49786667,93.53636667,63.93903333,50.32416667,53.1162
Rpa2,15.96463333,63.17136667,58.7312,65.73473333,53.67433333,52.38293333
Smpdl3b,1.7471,4.210313333,5.962876667,7.877653333,6.866453333,3.641783333
Scarb2,43.4265,110.0363333,135.5713333,91.23396667,89.17496667,99.53273333
Stx2,40.64023333,7.52232,3.561133333,1.651056667,2.577783333,2.02019
Parm1,8.14633,0.144721,0.180487333,0.371103333,0.554651667,0.477664333
Gtf2h2,19.3007,39.57876667,46.6744,45.8015,43.50473333,52.14396667
Traip,4.86576,16.71253333,16.90063333,21.0991,17.8071,14.75363333
Mon1a,6.147566667,2.434646667,2.083926667,2.51013,2.888713333,2.700296667
Coil,4.424366667,9.65267,9.94927,14.63226667,20.18306667,21.92643333
Rsbn1,3.82084,8.66189,12.3327,10.56052,10.7166,9.020683333
Ccdc166,0.669157333,2.564923333,2.29945,2.743216667,4.104016667,4.81819
Carns1,0.939485333,0.629856333,0.258959667,0.22248,0.207238333,0.21491
Scyl1,63.80373333,25.67596667,22.16696667,23.06886667,24.52126667,27.41856667
Ltbp3,56.9479,6.34938,4.69318,2.28799,1.844193333,2.382866667
Capn1,34.26933333,3.70087,3.339623333,4.294396667,5.64051,6.278973333
Seh1l,26.87773333,50.1918,53.51246667,62.90673333,54.8679,54.9149
Dusp23,3.708976667,0.814629,0.557849,0.325954,0.33094,0.530446333
Plp1,0.596253,1.48605,2.140816667,3.190366667,2.45198,2.647773333
Rab34,146.017,55.90133333,32.14796667,14.33246667,22.79253333,26.96143333
Spag5,16.39436667,35.81476667,41.70886667,35.8379,40.5233,49.519
Col1a1,2482.626667,4.19532,3.14649,7.953496667,12.9546,14.49306667
Bend4,0.475246,4.480893333,7.150566667,6.220723333,9.721743333,12.77396667
Atad5,2.323926667,11.92476667,15.27863333,13.53156667,13.55966667,13.89173333
Disp1,16.11363333,5.70951,5.774013333,5.713673333,4.81243,3.367373333
Pou6f1,6.857726667,37.7544,46.128,40.17326667,34.3626,25.30463333
Tacc1,9.240226667,2.327263333,1.78826,2.21802,2.82814,3.859423333
Tsc22d1,186.0833333,101.5370333,94.4235,84.49983333,68.5829,86.8789
Cdca7,10.91423333,108.0753333,111.734,84.16686667,88.8058,100.3565667
Prpsap2,11.44096667,21.98103333,23.12903333,28.768,38.52076667,35.17316667
Ppm1d,6.637083333,14.66816667,15.15536667,14.60473333,15.31253333,14.08656667
Rnft1,59.3946,18.99126667,18.23346667,17.24073333,15.0139,16.24883333
Galnt10,25.03656667,4.066403333,2.44195,3.169556667,4.662946667,4.357696667
Clybl,7.836563333,13.5336,23.17156667,17.3822,27.22136667,31.80073333
Ezr,39.218,114.6683333,107.6383333,125.3666667,131.5526667,127.292
Syngap1,5.25471,0.923006333,1.697093333,0.595856333,1.483076667,2.010166667
Fgfrl1,17.95373333,7.864606667,5.17164,3.35064,3.795533333,4.40037
Ccdc14,1.67614,5.118533333,6.670196667,6.366963333,8.540266667,7.943976667
Sox11,4.34428,14.5987,13.65023333,13.6418,23.20266667,17.24396667
Angptl2,105.3186667,4.384473333,3.252633333,1.756743333,2.160666667,3.07696
4930427A07Rik,5.34911,6.902373333,10.31959,12.79303333,14.86246667,12.4293
Tbc1d9,7.461463333,2.908026667,1.553783333,2.717546667,5.283126667,2.38608
Itfg1,43.28256667,23.96116667,20.98133333,19.01166667,18.39526667,19.029
Ncstn,103.1193333,42.4143,44.12056667,42.7335,39.04836667,37.77003333
Fmnl3,30.92073333,6.87835,3.88338,4.58278,3.40241,3.505673333
Cflar,30.26223333,11.15562,10.39803,10.90931333,11.31193333,10.76966667
Orc2,21.78793333,39.5505,40.69746667,46.58826667,40.46803333,48.20376667
Sgol2,5.843083333,22.7862,23.3841,21.6462,23.91376667,34.3208
Nipsnap1,8.477633333,48.85473333,56.67593333,52.5707,78.88273333,86.51926667
Mmp14,293.9813333,17.7458,5.418983333,4.92989,6.16366,6.487933333
Evpl,0.113818,0.17061,2.678986667,4.659523333,5.789756667,3.298003333
Fzd9,0.392543,0.884562333,1.92238,4.579426667,2.24067,2.389533333
Clip1,34.66013333,21.79796667,20.6539,14.03036667,13.0943,16.51736667
Lingo1,5.766403333,0.956908,0.759591333,0.574216333,0.275751667,0.462461333
Ano8,7.929776667,3.10833,2.819473333,3.0821,4.275963333,2.669353333
Gm9800,6.062853333,17.27953333,17.4782,13.9549,13.16946667,15.30183333
Ulbp1,6.29032,1.242885,0.833673333,0.432744,0.436865,0.921513
Bag2,61.02096667,28.32083333,25.62353333,24.568,33.32263333,23.5449
Oat,175.5153333,72.3591,70.77583333,67.66813333,70.48013333,60.92443333
Gm16344,1.265276667,1.539983333,3.17158,2.73421,2.877053333,3.019266667
Sorcs2,12.3495,0.229292,0.097725667,0.181819,0.448299,0.384695667
Afap1,19.17103333,2.585246667,1.983546667,1.46797,1.706863333,2.239486667
Hspb8,58.19646667,9.512783333,4.049706667,13.05413333,10.16019333,23.55883333
Fbn2,24.1322,17.90383333,9.530573333,2.048046667,0.946689667,1.013136333
Lmnb1,35.7213,195.2396667,181.3806667,179.9136667,143.951,144.556
Prrc1,31.02976667,9.209246667,8.751193333,6.95476,8.318616667,10.78076667
Wipi1,56.89303333,7.81699,8.29234,4.35563,6.984973333,10.27817667
Lman1,105.17,47.72883333,45.49193333,35.58726667,39.28993333,46.78006667
Adamts12,14.3397,2.049063333,2.792796667,2.411556667,4.52414,2.414923333
4931428F04Rik,2.927126667,5.557086667,9.01315,11.7515,9.48837,8.167726667
6720401G13Rik,3.64372,14.58136667,41.10693333,31.48633333,33.491,22.94753333
Mapkapk2,92.60956667,46.99763333,35.28473333,26.38416667,18.14116667,23.41683333
Dyrk3,3.28453,14.57476667,16.7861,14.7961,16.4396,14.65556667
Zfp472,2.219716667,5.773883333,5.963333333,5.425053333,5.647113333,5.05849
Fam110c,2.492486667,14.97246667,12.28286667,13.75143333,12.44546667,10.6613
Dock3,0.26466,0.942945333,3.569496667,8.21738,10.91969333,8.429853333
Dtymk,56.796,141.646,131.7933333,137.6583333,129.8423333,141.6753333
Tgif2,6.345133333,32.88546667,35.37616667,38.47726667,44.99343333,40.35706667
Rtn1,0.330765333,5.288736667,18.05036667,26.76063333,24.33076667,9.495636667
6030458C11Rik,6.9146,13.34236667,15.7554,16.06443333,16.66513333,15.78936667
Fam3c,75.6186,19.51313333,21.2165,25.46593333,25.067,30.6592
Tmem181a,16.74713333,7.120423333,7.214766667,4.611296667,8.208876667,7.623806667
Ecm1,255.5876667,18.2573,11.24246667,23.02566667,18.74923333,13.14523333
Cdk2,18.41153333,38.10216667,39.8081,38.9631,38.66003333,40.9841
Gdf11,8.762066667,1.559236667,0.886513667,0.690377333,0.785107667,0.433712
Cd63,833.9993333,106.978,74.83206667,71.9732,63.81056667,84.81283333
Polr3gl,11.73966,34.32483333,39.47996667,26.35033333,27.9424,31.17313333
Dnajc14,26.88256667,15.75663333,14.848,13.40623333,12.4876,11.92733333
Actg1,859.6473333,339.2343333,243.9706667,303.2133333,250.2576667,228.031
Atl3,47.1663,21.68923333,18.40516667,11.57653333,7.65559,9.118943333
B4galt7,23.32283333,6.886163333,5.361023333,5.82776,7.722193333,7.694893333
9530068E07Rik,184.8303333,93.41003333,76.0082,64.78083333,77.2989,62.84826667
Lrrk2,30.39743333,1.836886667,0.751066,1.353888333,2.741446667,2.322703333
1110004E09Rik,20.22586667,52.18216667,47.85693333,45.18096667,52.0496,60.78576667
Ifnar2,33.4542,17.58506667,13.52166667,8.256936667,8.05699,15.42363333
Mis18a,10.24736,20.7262,20.1247,23.72096667,25.03643333,27.3056
Chst1,10.57023333,0.032434033,0.222639333,0.431719333,1.507756667,0.979882
Anxa4,103.9063333,25.8777,20.4808,14.11103333,13.4638,19.079
Gfpt1,28.8168,12.01453333,12.10416667,9.014233333,10.44385,10.33006
Tgfa,0.649828667,1.821903333,1.833076667,1.840473333,2.83494,1.370393333
Pcyox1,89.34486667,24.6335,22.66596667,16.53416667,17.80806667,19.73713333
Zfpm2,6.315073333,1.487246667,0.543341333,0.395285667,0.279343,0.170322667
Svip,1.8026,2.56241,5.027673333,4.944823333,4.97795,4.15328
Prkg2,22.7841,0.592927333,0.173430333,0.567155333,1.72603,1.020848333
Antxr2,13.958,1.066046333,0.246178333,0.291098333,0.208579233,0.218657
Hnrnpa1,194.592,519.1683333,519.213,567.601,549.3,491.507
G2e3,6.72521,18.51136667,20.4793,16.46386667,15.83973333,16.32316667
9430015G10Rik,10.10806,18.153,25.73063333,24.81256667,33.35233333,35.1973
Pcnt,3.865476667,14.78533333,16.09893333,17.52186667,13.3231,12.83016667
Daam2,3.73117,2.629643333,1.9126,0.521594,0.181630667,0.158866667
Mtap6,77.56106667,5.74066,2.07872,3.591346667,1.48322,2.94196
Thada,4.369233333,8.384503333,8.101436667,9.032706667,10.14233,9.01508
Wdr1,304.2766667,87.98416667,50.09106667,63.59743333,43.29536667,36.56736667
Sfn,7.816186667,0.426319,4.282466667,17.07623333,40.79453333,53.77356667
Atp5sl,7.40608,12.60946667,16.78283333,20.9197,23.96936667,22.5157
Fxyd6,5.723486667,81.1565,108.7646667,145.5156667,64.34356667,76.19526667
Cyb5r3,353.4123333,140.9413333,81.166,82.34833333,77.78563333,100.1579333
Sigmar1,122.5043333,42.2227,34.60633333,39.53546667,53.4282,50.29173333
Cbx7,0.594639,24.71173333,25.45056667,28.12266667,21.4131,26.5167
Inhbb,3.832623333,0.206721667,0.898589,1.086530333,1.226786667,1.548516667
Prickle2,3.91812,0.462549667,0.431333333,1.077576667,2.06308,1.93848
Clip2,24.84676667,1.055833,0.936489,0.989528,1.273393333,1.29943
Tenm4,0.919172333,9.148853333,9.679866667,8.364243333,8.32778,5.36307
Fgd4,1.78066,6.10477,8.351216667,9.27015,8.378203333,5.507116667
Nipal3,1.034541,2.146123333,5.53269,5.242383333,4.520676667,6.981933333
Parvb,42.99233333,10.22553667,14.09133333,11.60333333,3.494796667,9.800156667
Hspb6,45.2303,5.51615,5.20553,2.352366667,2.038246667,5.84271
Ttc9,14.4475,3.737196667,3.179626667,3.544953333,4.204733333,4.498296667
Exosc7,19.77723333,61.12876667,64.3924,63.59793333,62.28643333,66.5533
Rttn,1.52479,6.801333333,5.84249,5.161946667,5.907476667,6.037833333
Suox,11.09193333,1.152673333,1.43839,1.170726333,1.69323,2.426936667
Reep6,1.289512667,3.02347,9.379423333,10.86061667,11.05906667,14.60383333
Ccp110,4.010716667,14.65453333,20.93386667,16.73666667,17.4947,20.67403333
Ptgr1,28.06956667,4.177866667,4.623673333,10.96363667,5.990836667,6.455243333
Pappa,15.24913333,0.1233012,0.212902,0.193774667,0.269669,0.211351333
Gabarap,663.9643333,132.4783333,108.1946667,111.3576667,119.4343333,109.8906667
Zfp503,21.13506667,2.63825,0.625440667,0.502874,0.291490333,0.198251667
Wipf3,0.055657867,0.280871667,1.26771,1.124119667,2.187356667,2.455833333
Znrf2,6.305083333,12.56623333,14.0387,14.06316667,17.99133333,16.8244
Rhog,60.96196667,28.95153333,16.1943,19.36946667,15.30543333,14.80676667
Dhrs1,63.31946667,29.4207,31.20543333,27.15636667,26.86556667,31.49706667
Nfatc1,5.81059,3.66807,3.390776667,1.30843,0.863801667,1.222113333
Slc27a4,24.58756667,10.17597,7.943203333,10.74463333,6.305963333,5.09429
Ctcf,25.84486667,54.72403333,54.9905,56.66133333,46.70846667,54.10483333
Arhgef40,33.43293333,3.727566667,1.98515,1.37347,1.068188,0.922387
Tmem176b,65.45946667,22.3618,13.78256667,11.21828,3.217333333,1.977786667
Gpnmb,29.53693333,0.355140333,0.18724,1.17861,0.615633,0.517049
Runx1t1,4.97081,0.502935667,0.711481,0.525571,0.0891573,0.419183
Sdc4,107.1746667,29.63026667,22.77306667,24.03296667,13.61356667,23.32763333
Tbx4,1.27234,0.773134667,0.340255,0.385993667,0.232269667,0.295834333
Nmral1,7.935216667,26.5868,26.32853333,24.79823333,31.30493333,28.69913333
Slc16a6,1.124159333,7.54471,9.794066667,11.7346,12.52803333,12.64746667
Fanci,2.996006667,9.4661,11.24326667,8.38534,11.66216667,16.51596667
Nup43,17.22673333,47.3342,45.98676667,52.09476667,54.74103333,63.45153333
Npdc1,66.86153333,18.43143333,23.50726667,23.19666667,21.01406667,20.4688
Dis3l2,3.69379,19.83236667,21.80443333,19.5522,26.88246667,19.9696
Ficd,6.09111,1.520583333,1.252096667,1.336076667,1.21589,1.686466667
Smurf2,43.5338,20.0588,18.66943333,16.77576667,18.8453,18.3051
Adamtsl3,12.29193333,0.438533333,0.2610279,0.590371333,0.141616067,0.208462833
Slc8a1,5.620096667,0.234015,0.131367667,0.1152578,0.193493,0.240019667
Rab43,18.441,3.47488,3.05176,3.136666667,2.816656667,4.202966667
Fam171b,6.640813333,0.525932667,0.161758667,0.084920667,0.209748333,0.186187667
Ttll4,9.690606667,38.20743333,46.69806667,47.0104,47.16613333,39.34006667
Anxa8,141.9996667,48.57293333,39.25266667,30.4819,20.93773333,26.3851
Xpo4,7.60536,21.12933333,26.89876667,23.8748,24.3714,23.7047
Jund,26.0236,13.71813333,11.0609,10.01429667,10.58404667,8.887673333
Yipf3,115.1866667,52.28733333,45.22093333,46.40966667,60.31156667,47.81393333
Dysf,40.4695,0.714629333,1.740543333,3.410476667,2.184983333,1.722406667
Rad18,11.0499,25.5459,28.25563333,24.64436667,22.3515,23.32056667
Sspn,10.28988,7.322456667,4.788396667,3.318843333,5.9703,2.843363333
Srgap3,5.134506667,0.913610333,1.35843,1.326156667,2.492126667,1.58599
Rassf8,18.5886,8.293556667,6.55651,6.214116667,6.06614,5.135346667
Kifc3,21.3923,17.9416,12.8393,7.09801,4.28319,4.979606667
Rps6ka6,0.859243667,15.67803333,22.2127,22.314,28.24433333,26.93343333
Esyt2,56.05496667,19.62516667,14.91023333,13.28293333,11.59613333,11.135
Cdca7l,4.849926667,34.60343333,36.98196667,30.51236667,30.39796667,25.85236667
Myl12a,1467.47,518.987,391.4953333,384.4473333,267.037,343.83
Sik1,3.954496667,8.799166667,12.75316667,14.859,14.04443333,14.32983333
Arhgap28,11.98753333,7.304116667,5.715126667,4.140233333,2.756973333,2.368013333
Epb4.1l3,53.99466667,30.86223333,13.8875,6.802843333,2.512703333,2.10696
Mkl1,26.52193333,4.719913333,5.168373333,5.405913333,6.81321,6.077223333
Car2,0.324083333,5.60661,4.470416667,10.26825333,12.81283333,18.01626667
Ltbp1,205.069,7.643386667,16.7114,21.05166667,18.01363333,13.69346667
Fjx1,7.078136667,1.494796667,1.131059333,1.30928,2.81903,2.559366667
Snx17,85.70413333,55.18303333,39.40663333,36.79936667,31.623,37.5187
Dok4,10.04336,2.180063333,1.42996,2.06125,0.971958,0.913401667
Foxo4,8.198686667,47.0197,47.67133333,32.78326667,26.24166667,24.1333
Ctsz,192.1846667,183.6686667,119.451,94.77713333,74.14013333,82.58836667
Cyp51,131.114,38.0228,22.14826667,36.69913333,27.60076667,19.74096667
Myh9,508.5053333,131.4156667,104.6113333,88.6619,59.51146667,64.31766667
Tnfaip1,71.10306667,37.9699,33.1017,28.5727,35.8374,30.1886
Prnp,212.526,83.1119,68.4831,53.53086667,22.81103333,24.26183333
Atrnl1,11.24173667,6.57188,5.857273333,4.099276667,2.882356667,2.961986667
Uchl3,28.35116667,69.00253333,80.00526667,116.8883333,123.1316667,152.8373333
Sec24d,73.05246667,2.32321,1.473073333,1.25353,1.95259,2.779203333
Stx11,4.83729,2.4947,1.498583333,1.183723333,1.116170333,1.633786667
Tgfb2,21.06176667,4.83405,3.733553333,1.551083333,0.787476667,0.654061667
Chpt1,15.1354,5.97343,5.415556667,7.526886667,5.886366667,6.667103333
Aldh5a1,1.11239,4.003436667,5.156756667,3.369926667,4.7297,5.09139
Capg,172.6403333,9.77861,8.365323333,6.911656667,12.21823333,12.99246667
Sec63,111.465,47.41173333,37.3868,39.2769,33.17726667,25.2967
Tnc,535.0383333,9.87042,7.065786667,6.164653333,7.8742,6.696726667
Dip2a,23.98846667,8.747853333,8.560683333,5.45362,5.389903333,5.903846667
Prmt2,30.909,3.345606667,2.91964,3.772596667,4.98746,4.14655
Antxr1,42.66983333,34.55213333,19.09823333,8.457526667,8.130416667,4.042073333
Msrb1,128.057,26.5994,24.16833333,24.96003333,30.62996667,28.5287
2010317E24Rik,2.58838,24.5807,21.99286667,25.62813333,26.43033333,30.2476
Snai1,44.88296667,1.023022333,0.560639333,0.477161333,1.373626667,1.156391333
Leprot,75.57346667,21.23436667,14.63773333,15.7445,21.95033333,28.62623333
Nr4a2,3.111576667,3.214317667,0.914458,1.334126667,1.45589,1.182663333
Tgfbr3,5.045266667,0.700932,0.672397667,0.549387,1.204598333,0.851554667
Npr2,50.1127,11.32083333,9.69814,6.459326667,2.448906667,1.721366667
Tpm2,1284.313333,16.2158,8.779893333,8.378043333,17.49426667,24.22486667
Crip1,150.137,87.1019,95.84916667,73.54763333,53.79923333,52.91896667
S100a13,78.24943333,8.322066667,6.26526,5.979193333,5.059293333,7.18
Ptpn9,45.18556667,23.96,19.74223333,15.43603333,12.7106,10.91993333
Crabp1,123.689,37.84296667,38.24226667,9.37749,19.7762,30.5904
Pced1b,0.49306,1.9278,3.77089,5.318446667,7.596953333,10.44271333
Pcsk9,6.808103333,0.621737333,0.174803667,0.155644833,0.270477667,0.317575333
Mamld1,3.34205,0.955478667,0.597735,0.636768,0.179796333,0.055886367
Plekha6,0.336600333,2.739476667,5.41795,3.072176667,4.721006667,3.63272
Sec62,56.48616667,25.1499,24.6772,22.27296667,20.1251,21.49336667
Fry,0.313906667,0.634340333,1.765443333,5.871653333,9.486386667,6.403516667
Lgals8,39.03453333,20.8786,16.50093333,12.34496,14.35523333,13.80533333
Prmt5,44.18763333,100.7146333,93.74646667,115.2296667,115.5293333,113.0366667
Fosb,10.95121333,0.284736333,1.301690333,1.39699,2.95238,0.654230667
Heatr1,13.45653333,24.96606667,28.63306667,34.60283333,34.34156667,32.49156667
Sox9,4.362836667,0.088652933,0.202067333,0.1245785,0.214521333,0.342399
Abcd1,7.525236667,6.750736667,4.614266667,2.52293,1.93752,2.282073333
Car5b,5.85067,0.13456,0.325375,0.341832,0.366719,0.332733333
Bgn,2684.223333,3.1441,3.462386667,10.50929,25.17323333,22.49843333
Fosl2,43.5767,4.768763333,4.331843333,6.58174,5.87116,4.217853333
Qtrtd1,15.5861,68.02906667,86.68326667,90.61003333,87.20326667,57.98116667
Rnf32,0.552161333,3.69863,4.51353,4.279993333,4.03297,5.25647
Ankrd35,0.146621133,0.698280333,1.63478,3.22925,2.133876667,2.194046667
Hus1,5.457776667,34.93296667,28.36223333,24.9142,19.66893333,23.54443333
Nipal4,2.839426667,0.434797667,0.570145333,0.766076,0.840988333,1.107553333
Lmtk2,4.188306667,6.965226667,10.72846,13.5283,14.31736667,12.55263333
Ppp1r9b,32.0948,16.22536667,9.868106667,5.763933333,6.170626667,6.584763333
Pnpo,8.95826,17.1781,18.1148,39.69946667,52.58763333,47.83653333
Tada2a,17.29096667,30.25733333,34.17846667,35.23596667,38.4852,38.78433333
Pgcp,38.06696667,3.832676667,2.207196667,2.06363,0.752706333,0.534361
Tlr4,8.727266667,0.139051733,0.152331733,0.346337667,0.129116267,0.077818133
Zfp710,5.011353333,7.547003333,9.906616667,11.90223333,14.32436667,14.37063333
Gpbp1l1,22.19153333,46.26156667,56.14406667,66.1411,48.33013333,51.35956667
Ncapd3,5.497703333,17.6306,19.84456667,19.35323333,19.4543,20.6427
Zfp423,1.092644667,6.126836667,6.490506667,7.18546,9.916963333,15.35936667
Tspan7,12.44386667,10.56567333,51.2323,73.19116667,130.413,112.944
Srprb,46.1423,21.50096667,18.62863333,21.95726667,22.9594,20.94463333
Topbp1,26.14316667,59.04813333,60.29656667,58.0632,56.04736667,53.66426667
Uba5,56.94386667,16.9641,16.09556667,22.259,23.92883333,24.79073333
1600012H06Rik,34.06426667,11.07423333,10.47192667,11.53286667,12.36876667,11.2554
Sphk1,16.5229,0.174825333,0.388651333,0.756764333,0.534827667,0.418465667
Tmem150a,32.09476667,6.492106667,7.045123333,9.189636667,6.209653333,9.082103333
Mgat4b,52.16513333,26.09886667,22.32763333,17.2835,11.0942,15.9517
H13,168.7003333,43.48216667,40.41726667,54.9452,43.1967,31.80163333
Npc2,205.232,58.40346667,48.97956667,56.29526667,52.15983333,46.5526
Gltpd1,25.3082,9.346623333,8.657913333,9.180533333,8.617263333,5.703003333
Mxra8,303.135,5.99366,3.36313,6.562653333,3.886426667,3.80776
Naprt1,1.523703333,8.121056667,7.242863333,3.60951,5.519,8.498883333
Snx13,13.88336667,5.091433333,4.862783333,4.40071,3.214383333,3.75282
Dnajb4,77.14766667,6.07399,6.79876,6.818596667,5.421803333,3.717926667
Fubp1,22.4533,82.8925,90.5113,80.12423333,75.45906667,70.9474
Pea15a,159.9153333,3.23278,6.94975,11.47863333,16.01623333,18.66656667
Derl2,50.60323333,20.77123333,15.99593333,20.84063333,23.3289,20.7476
Tipin,39.55853333,102.299,101.0889667,101.6980333,90.8957,84.41343333
Rnf24,11.40970667,4.075303333,6.663736667,4.658186667,3.99685,2.87994
Dsc2,0.461759,1.90473,7.334933333,13.1995,21.36086667,17.34456667
Pdgfrb,74.27383333,0.130753,0.167969,0.141043767,0.681801,0.802998667
