pathway,tf,percent,,,
Rap1 signaling pathway,27,38.57,0,,
Cholinergic synapse,27,100,0,,
Chagas disease,26,60.47,0,,
Endocytosis,72,60,0,,
Chagas disease (American trypanosomiasis),25,58.14,0,,
Human T-cell leukemia virus 1 infection,102,100,0,,
Sphingolipid signaling pathway,12,20.34,0,,
Herpes simplex infection,89,100,0,,
Phosphatidylinositol signaling system,15,42.86,0,,
Epstein-Barr virus infection,65,77.38,0,,
Colorectal cancer,35,87.5,0,,
Apoptosis,52,82.54,0,,
Adrenergic signaling in cardiomyocytes,14,32.56,0,,
Glioma,12,42.86,0,,
Non-small cell lung cancer,15,48.39,0,,
NF-kappa B signaling pathway,20,45.45,0,,
Focal adhesion,34,44.16,0,,
IL-17 signaling pathway,17,51.52,0,,
Neutrophil extracellular trap formation,37,88.1,0,,
Estrogen signaling pathway,18,42.86,0,,
Dilated cardiomyopathy,9,60,0.0001,,
Vascular smooth muscle contraction,46,100,0.0001,,
Hypertrophic cardiomyopathy,9,60,0.0001,,
Arrhythmogenic right ventricular cardiomyopathy,12,63.16,0.0001,,
Toll-like receptor signaling,10,100,0.0001,,
EGFR tyrosine kinase inhibitor resistance,11,28.95,0.0001,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),12,63.16,0.0001,,
Chemokine signaling pathway,35,63.64,0.0001,,
HIF-1 signaling pathway,15,34.88,0.0002,,
Cellular senescence,68,91.89,0.0002,,
Transcriptional misregulation in cancer,35,54.69,0.0002,,
Hypertrophic cardiomyopathy (HCM),8,57.14,0.0002,,
Alcoholic liver disease,42,54.55,0.0002,,
Adipocytokine signaling pathway,26,76.47,0.0002,,
BRCA1-associated genome surveillance complex (BASC),11,100,0.0002,,
Cytokine-cytokine receptor interaction,27,52.94,0.0002,,
MCM complex,6,100,0.0003,,
ECM-receptor interaction,14,77.78,0.0004,,
Melanoma,10,38.46,0.0005,,
Inositol phosphate metabolism,14,45.16,0.0009,,
Signaling pathways regulating pluripotency of stem cells,10,20.83,0.0012,,
DNA replication,27,100,0.0014,,
Purine metabolism,74,98.67,0.0014,,
Amoebiasis,12,34.29,0.0015,,
cGMP-PKG signaling pathway,17,27.87,0.0017,,
Base excision repair,24,100,0.0018,,
mTOR signaling pathway,22,37.29,0.003,,
Basal transcription factors,22,66.67,0.003,,
Fc epsilon RI signaling pathway,18,100,0.003,,
Cell cycle - G1/S transition,5,83.33,0.0031,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,4,50,0.0034,,
Regulation of lipolysis in adipocytes,14,73.68,0.0034,,
Renal cell carcinoma,5,16.13,0.0035,,
Cytosolic DNA-sensing pathway,9,30,0.0041,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",4,66.67,0.0061,,
cAMP signaling pathway,5,9.8,0.0065,,
Acute myeloid leukemia,7,20.59,0.0072,,
Phospholipase D signaling pathway,3,6.12,0.0072,,
RNA degradation,42,95.45,0.0081,,
Osteoclast differentiation,24,47.06,0.0083,,
Hematopoietic cell lineage,5,23.81,0.0085,,
RIG-I-like receptor signaling pathway,14,46.67,0.0091,,
Viral myocarditis,7,43.75,0.0104,,
Non-homologous end-joining,5,83.33,0.0105,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,7,17.95,0.0111,,
Glucagon signaling pathway,11,24.44,0.0112,,
APC/C complex,10,100,0.0115,,
Apoptosis - multiple species,5,38.46,0.0125,,
Prolactin signaling pathway,7,23.33,0.0136,,
Survival motor neuron (SMN) complex,4,66.67,0.0136,,
Tuberculosis,39,63.93,0.0148,,
Inflammatory bowel disease (IBD),5,26.32,0.0164,,
Lysosome,19,31.67,0.0168,,
Inflammatory bowel disease,5,26.32,0.0166,,
RF-C complex,5,100,0.0165,,
Ras signaling pathway,6,8.82,0.0197,,
Thyroid cancer,7,41.18,0.0239,,
Fructose and mannose metabolism,8,50,0.0283,,
Thyroid hormone signaling pathway,9,15,0.0288,,
Platelet activation,7,14.89,0.0324,,
Malaria,10,71.43,0.0325,,
Apelin signaling pathway,4,7.02,0.0331,,
Cushing syndrome,27,51.92,0.0333,,
Leukocyte transendothelial migration,21,44.68,0.0347,,
Fatty acid biosynthesis,3,42.86,0.0346,,
mRNA surveillance pathway,6,9.84,0.0356,,
Adherens junction,21,38.18,0.0386,,
B cell receptor signaling pathway,3,11.54,0.0472,,
eIF4F complex,3,42.86,0.0513,,
Endocrine resistance,16,44.44,0.0577,,
"Spliceosome, U2-snRNP",13,68.42,0.0661,,
Antigen processing and presentation,7,26.92,0.0689,,
Nucleotide excision repair,37,100,0.0695,,
Carbohydrate digestion and absorption,3,23.08,0.0695,,
Dopaminergic synapse,17,36.17,0.0732,,
ErbB signaling pathway,7,24.14,0.073,,
Insulin signaling pathway,32,47.76,0.0753,,
Wnt signaling pathway,18,38.3,0.0752,,
Insulin resistance,32,57.14,0.0863,,
Jak-STAT signaling pathway,14,28.57,0.0904,,
Coronavirus disease - COVID-19,31,24.41,0.0966,,
AGE-RAGE signaling pathway in diabetic complications,16,34.04,0.0984,,
JAK-STAT signaling pathway,14,26.92,0.1001,,
COPII complex,2,25,0.1058,,
Mismatch repair,18,100,0.1114,,
Sphingolipid metabolism,2,10.53,0.1131,,
Legionellosis,15,65.22,0.1125,,
Pyrimidine metabolism,62,100,0.1157,,
Porphyrin and chlorophyll metabolism,2,10.53,0.1156,,
Porphyrin metabolism,2,11.11,0.1155,,
T cell receptor signaling pathway,5,11.63,0.1184,,
VEGF signaling pathway,2,10,0.1225,,
Cholesterol metabolism,2,5.88,0.1237,,
Longevity regulating pathway,24,50,0.1317,,
Hippo signaling pathway,12,19.67,0.145,,
Bladder cancer,7,38.89,0.1526,,
Axon guidance,15,25.42,0.1585,,
Amyotrophic lateral sclerosis,168,100,0.17,,
Endometrial cancer,3,11.54,0.1716,,
Relaxin signaling pathway,16,31.37,0.1883,,
Aminoacyl-tRNA biosynthesis,10,35.71,0.1878,,
Fc gamma R-mediated phagocytosis,11,28.21,0.1905,,
Neuroactive ligand-receptor interaction,11,34.38,0.2031,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",10,41.67,0.204,,
Amino sugar and nucleotide sugar metabolism,9,39.13,0.2094,,
Complement and coagulation cascades,20,37.04,0.2149,,
Glycerolipid metabolism,7,33.33,0.2243,,
Hepatocellular carcinoma,38,51.35,0.2391,,
Methionine degradation,5,100,0.2599,,
Fanconi anemia pathway,13,86.67,0.2704,,
PI3K-Akt signaling,3,50,0.287,,
Pentose phosphate pathway,8,47.06,0.2928,,
Fatty acid degradation,6,21.43,0.3093,,
GnRH secretion,17,100,0.327,,
Pertussis,12,37.5,0.327,,
Biosynthesis of nucleotide sugars,8,40,0.3331,,
Homologous recombination,15,100,0.3372,,
Viral protein interaction with cytokine and cytokine receptor,6,54.55,0.3378,,
Amyotrophic lateral sclerosis (ALS),3,16.67,0.3733,,
Phagosome,48,90.57,0.3802,,
FoxO signaling pathway,38,66.67,0.3813,,
Protein digestion and absorption,8,44.44,0.3814,,
Methionine salvage pathway,4,50,0.4272,,
Fat digestion and absorption,16,100,0.4398,,
Vasopressin-regulated water reabsorption,6,35.29,0.4454,,
Nucleotide metabolism,39,100,0.5154,,
TGF-beta signaling pathway,30,56.6,0.5161,,
Steroid biosynthesis,4,80,0.5493,,
Leishmaniasis,12,46.15,0.6175,,
AMPK signaling pathway,32,53.33,0.6552,,
p53 signaling pathway,28,96.55,0.6542,,
Longevity regulating pathway - multiple species,13,43.33,0.6752,,
Origin recognition complex,5,100,0.6939,,
Staphylococcus aureus infection,12,57.14,0.741,,
Autophagy - animal,38,43.68,0.7648,,
Carbon metabolism,14,19.72,0.767,,
Alcoholism,32,76.19,0.7763,,
Fluid shear stress and atherosclerosis,34,53.97,0.7892,,
Pathways of neurodegeneration - multiple diseases,164,94.25,0.7929,,
Proximal tubule bicarbonate reclamation,11,100,0.8,,
"Alanine, aspartate and glutamate metabolism",13,52,0.8292,,
Retrograde endocannabinoid signaling,10,23.81,0.8359,,
Cell adhesion molecules,4,14.29,0.8374,,
Alzheimer's disease,15,17.86,0.8385,,
Ferroptosis,15,57.69,0.9037,,
Cysteine and methionine metabolism,22,78.57,0.9229,,
Peroxisome,31,60.78,0.9244,,
African trypanosomiasis,5,41.67,0.9339,,
Central carbon metabolism in cancer,3,11.54,0.9331,,
Amphetamine addiction,2,8.7,0.9322,,
Notch signaling pathway,2,9.52,0.9309,,
Cell adhesion molecules (CAMs),3,11.11,0.9302,,
"Gluconeogenesis, oxaloacetate => fructose-6P",3,30,0.9423,,
Activin signaling,1,16.67,NA,,
Aldosterone synthesis and secretion,1,3.23,NA,,
Cocaine addiction,1,5.26,NA,,
Bile secretion,1,2.33,NA,,
BMP signaling,1,12.5,NA,,
Exon junction complex (EJC),1,6.67,NA,,
Hippo signaling,1,12.5,NA,,
Hippo signaling pathway -multiple species,1,11.11,NA,,
Holo-TFIIH complex,1,10,NA,,
JAK-STAT signaling,1,9.09,NA,,
Ribosome,1,1.01,NA,,
"Ribosome, eukaryotes",1,1.54,NA,,
TGF-beta signaling,1,16.67,NA,,
Th1 and Th2 cell differentiation,1,3.57,NA,,
THC complex,1,20,NA,,
TREX complex,1,12.5,NA,,
Hippo signaling pathway - multiple species,1,11.11,NA,,
"Parathyroid hormone synthesis, secretion and action",1,2.44,NA,,
