pathway,tf,percent,,,
Tyrosine metabolism,12,70.59,0.2501,,
Histidine metabolism,7,46.67,0.2506,,
Huntington's disease,42,43.75,0.2639,,
Cortisol synthesis and secretion,11,44,0.2646,,
Prion diseases,20,100,0.2672,,
RIG-I-like receptor signaling pathway,16,53.33,0.3372,,
Taurine and hypotaurine metabolism,9,100,0.3519,,
Apoptosis - multiple species,6,46.15,0.3546,,
"Exosome, eukaryotes",5,83.33,0.3547,,
Arginine biosynthesis,7,53.85,0.3634,,
PI3K-Akt signaling,3,50,0.3698,,
"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",3,30,0.3712,,
Cholesterol metabolism,17,50,0.3895,,
Methionine salvage pathway,5,62.5,0.3975,,
Bile secretion,37,86.05,0.3984,,
Aldosterone synthesis and secretion,13,41.94,0.4007,,
Alzheimer's disease,19,22.62,0.4278,,
Pantothenate and CoA biosynthesis,8,61.54,0.4317,,
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",3,50,0.4501,,
Diabetic cardiomyopathy,44,46.81,0.4726,,
BER complex,3,50,0.5284,,
Fatty acid metabolism,20,64.52,0.5278,,
"Gluconeogenesis, oxaloacetate => fructose-6P",7,70,0.547,,
Proximal tubule bicarbonate reclamation,6,54.55,0.5472,,
Sulfur metabolism,5,62.5,0.5531,,
Retrograde endocannabinoid signaling,11,26.19,0.6014,,
Circadian rhythm,5,29.41,0.6161,,
Porphyrin and chlorophyll metabolism,18,94.74,0.6173,,
Urea cycle,4,80,0.6463,,
Nicotinate and nicotinamide metabolism,20,100,0.6512,,
Drug metabolism - other enzymes,54,100,0.6808,,
African trypanosomiasis,6,50,0.7092,,
Autophagy - animal,38,43.68,0.7373,,
Inflammatory mediator regulation of TRP channels,21,53.85,0.7437,,
Drug metabolism - cytochrome P450,35,97.22,0.7442,,
Systemic lupus erythematosus,9,39.13,0.7483,,
Porphyrin metabolism,17,94.44,0.7589,,
Non-alcoholic fatty liver disease (NAFLD),65,75.58,0.8043,,
Maturity onset diabetes of the young,7,58.33,0.8024,,
Propanoate metabolism,8,34.78,0.8024,,
Peroxisome,37,72.55,0.8147,,
Fat digestion and absorption,5,31.25,0.8268,,
Taste transduction,6,100,0.8296,,
Fatty acid degradation,23,82.14,0.8406,,
Non-alcoholic fatty liver disease,66,75,0.8458,,
Metabolism of xenobiotics by cytochrome P450,28,84.85,0.8686,,
Glycerophospholipid metabolism,11,29.73,0.8881,,
Serotonergic synapse,32,74.42,0.9011,,
Vitamin digestion and absorption,3,27.27,0.926,,
Riboflavin metabolism,2,33.33,0.9314,,
Folate biosynthesis,3,23.08,0.9434,,
Activin signaling,1,16.67,NA,,
BMP signaling,1,12.5,NA,,
Exon junction complex (EJC),1,6.67,NA,,
Hippo signaling,1,12.5,NA,,
Hippo signaling pathway -multiple species,1,11.11,NA,,
Holo-TFIIH complex,1,10,NA,,
Ribosome,1,1.01,NA,,
"Ribosome, eukaryotes",1,1.54,NA,,
"Spliceosome, 35S U5-snRNP",1,4,NA,,
"Spliceosome, Prp19/CDC5L complex",1,14.29,NA,,
TGF-beta signaling,1,16.67,NA,,
THC complex,1,20,NA,,
TREX complex,1,12.5,NA,,
Hippo signaling pathway - multiple species,1,11.11,NA,,
Basal cell carcinoma,1,8.33,NA,,
