pathway	gene
Adherens junction	Rap1b
Adherens junction	Tcf7l1
Adherens junction	Wasf2
Adherens junction	Rap1a
Adherens junction	Smad3
Adherens junction	Farp2
Adherens junction	Tgfbr1
Adherens junction	Arhgap29
Adherens junction	Erbb2
Adherens junction	Cdh1
Adherens junction	Igf1r
Adherens junction	Csnk2a1
Adherens junction	Cdh5
Adherens junction	Csnk2b
Adherens junction	Fer
Adherens junction	Tjp1
Adherens junction	Actb
Adherens junction	Rac3
Adherens junction	Smurf2
Adherens junction	Iqgap1
Adherens junction	Wasf3
Adherens junction	Actn1
Adherens junction	Snai2
Adherens junction	Mapk1
Adherens junction	Wasf1
Adherens junction	Mylpf
Adherens junction	Tcf7
Adherens junction	Myl2
Adherens junction	Ep300
Adherens junction	Yes1
Adherens junction	Rhoa
Adherens junction	Src
Adherens junction	Actn4
Adherens junction	Sorbs1
Adherens junction	Nlk
Adherens junction	Myl9
Adherens junction	Mapk3
Adherens junction	Heg1
Adherens junction	Wasl
Adherens junction	Csnk2a2
Adherens junction	Ptpn1
Adherens junction	Ccm2
Adherens junction	Smurf1
Adherens junction	Acp1
Adherens junction	Rock1
Adherens junction	Radil
Adherens junction	Map3k7
Adherens junction	Tcf7l2
Adherens junction	Ptprm
Adherens junction	Crebbp
Adherens junction	Pdcd10
Adherens junction	Insr
Adherens junction	Pard3
Adherens junction	Egfr
Adherens junction	Actg1
Adherens junction	Ctnna3
Adherens junction	Smad4
Adherens junction	Nectin3
Adherens junction	4930544G11Rik
Adherens junction	Ptprb
Adherens junction	Ptprf
Adherens junction	Ctnna1
Adherens junction	Tgfbr2
Adipocytokine signaling pathway	Slc2a1
Adipocytokine signaling pathway	Camkk2
Adipocytokine signaling pathway	Cpt1b
Adipocytokine signaling pathway	G6pc2
Adipocytokine signaling pathway	Irs4
Adipocytokine signaling pathway	Mapk9
Adipocytokine signaling pathway	Ptpn11
Adipocytokine signaling pathway	Cd36
Adipocytokine signaling pathway	Npy
Adipocytokine signaling pathway	Cpt1a
Adipocytokine signaling pathway	Akt1
Adipocytokine signaling pathway	Akt2
Adipocytokine signaling pathway	Jak2
Adipocytokine signaling pathway	Prkaa2
Adipocytokine signaling pathway	Mtor
Adipocytokine signaling pathway	Nfkb1
Adipocytokine signaling pathway	Rxra
Adipocytokine signaling pathway	Nfkbie
Adipocytokine signaling pathway	Tradd
Adipocytokine signaling pathway	Prkag1
Adipocytokine signaling pathway	Acacb
Adipocytokine signaling pathway	Acsbg3
Adipocytokine signaling pathway	Acsl5
Adipocytokine signaling pathway	Acsl3
Adipocytokine signaling pathway	Nfkbia
Adipocytokine signaling pathway	Mapk10
Adipocytokine signaling pathway	Lepr
Adipocytokine signaling pathway	Nfkbib
Adipocytokine signaling pathway	Acsbg2
Adipocytokine signaling pathway	Slc2a4
Adipocytokine signaling pathway	Stat3
Adipocytokine signaling pathway	Traf2
Adipocytokine signaling pathway	Irs3
Adipocytokine signaling pathway	Prkab2
Adipocytokine signaling pathway	Ppara
Adipocytokine signaling pathway	Rxrg
Adipocytokine signaling pathway	Irs2
Adipocytokine signaling pathway	Pck2
Adipocytokine signaling pathway	Adipoq
Adipocytokine signaling pathway	G6pc3
Adipocytokine signaling pathway	Tnfrsf1a
Adipocytokine signaling pathway	Pomc
Adipocytokine signaling pathway	Tnfrsf1b
Adipocytokine signaling pathway	Socs3
Adipocytokine signaling pathway	Acsl6
Adipocytokine signaling pathway	Acsbg1
Adipocytokine signaling pathway	Acsl4
Adipocytokine signaling pathway	Irs1
Adipocytokine signaling pathway	Akt3
Adipocytokine signaling pathway	Mapk8
Adipocytokine signaling pathway	Agrp
Adipocytokine signaling pathway	Prkaa1
Adipocytokine signaling pathway	1700061G19Rik
Adipocytokine signaling pathway	Ppargc1a
Adipocytokine signaling pathway	Prkab1
Adipocytokine signaling pathway	Prkcq
Adipocytokine signaling pathway	Ikbkg
Adipocytokine signaling pathway	Acsl1
Adipocytokine signaling pathway	Adipor2
Adipocytokine signaling pathway	Tnf
Adipocytokine signaling pathway	G6pc
Adipocytokine signaling pathway	Rxrb
Adipocytokine signaling pathway	Prkag2
Adipocytokine signaling pathway	Lep
Adipocytokine signaling pathway	Ikbkb
Adipocytokine signaling pathway	Chuk
Adipocytokine signaling pathway	Cpt1c
Adipocytokine signaling pathway	Pck1
Adipocytokine signaling pathway	Rela
Adipocytokine signaling pathway	Prkag3
Adipocytokine signaling pathway	Adipor1
Adipocytokine signaling pathway	Stk11
Adipocytokine signaling pathway	G6pc1
Adrenergic signaling in cardiomyocytes	Agtr1b
Adrenergic signaling in cardiomyocytes	Pik3r6
Adrenergic signaling in cardiomyocytes	Tnnt2
Adrenergic signaling in cardiomyocytes	Atf2
Adrenergic signaling in cardiomyocytes	Crem
Adrenergic signaling in cardiomyocytes	Calml3
Adrenergic signaling in cardiomyocytes	Cacna1f
Adrenergic signaling in cardiomyocytes	Slc8a3
Adrenergic signaling in cardiomyocytes	Adra1a
Adrenergic signaling in cardiomyocytes	Cacna1s
Adrenergic signaling in cardiomyocytes	Cacna1d
Adrenergic signaling in cardiomyocytes	Calm5
Adrenergic signaling in cardiomyocytes	Camk2g
Adrenergic signaling in cardiomyocytes	Calm1
Adrenergic signaling in cardiomyocytes	Mapk14
Adrenergic signaling in cardiomyocytes	Gnai1
Adrenergic signaling in cardiomyocytes	Ppp2r3a
Adrenergic signaling in cardiomyocytes	Adrb2
Adrenergic signaling in cardiomyocytes	Cacna1c
Adrenergic signaling in cardiomyocytes	Agtr1a
Adrenergic signaling in cardiomyocytes	Popdc2
Adrenergic signaling in cardiomyocytes	Calm2
Adrenergic signaling in cardiomyocytes	Atp2b4
Adrenergic signaling in cardiomyocytes	Cacnb1
Adrenergic signaling in cardiomyocytes	Popdc3
Adrenergic signaling in cardiomyocytes	Atp1b4
Adrenergic signaling in cardiomyocytes	Myh6
Adrenergic signaling in cardiomyocytes	Plcb2
Adrenergic signaling in cardiomyocytes	Ppp1cc
Adrenergic signaling in cardiomyocytes	Adcy8
Adrenergic signaling in cardiomyocytes	Atp1b1
Adrenergic signaling in cardiomyocytes	Cacng5
Adrenergic signaling in cardiomyocytes	Agtr2
Adrenergic signaling in cardiomyocytes	Kcnq1
Adrenergic signaling in cardiomyocytes	Bves
Adrenergic signaling in cardiomyocytes	Cacng7
Adrenergic signaling in cardiomyocytes	Adcy1
Adrenergic signaling in cardiomyocytes	Calm4
Adrenergic signaling in cardiomyocytes	Atf6b
Adrenergic signaling in cardiomyocytes	Gnai3
Adrenergic signaling in cardiomyocytes	Myh7
Adrenergic signaling in cardiomyocytes	Gm2436
Adrenergic signaling in cardiomyocytes	Atf4
Adrenergic signaling in cardiomyocytes	Agt
Adrenergic signaling in cardiomyocytes	Adra1b
Adrenergic signaling in cardiomyocytes	Ppp2r5c
Adrenergic signaling in cardiomyocytes	Ppp2r5e
Adrenergic signaling in cardiomyocytes	Cacna2d3
Adrenergic signaling in cardiomyocytes	Adcy2
Adrenergic signaling in cardiomyocytes	Myl3
Adrenergic signaling in cardiomyocytes	Pik3r5
Adrenergic signaling in cardiomyocytes	Cacna2d2
Adrenergic signaling in cardiomyocytes	Atp1a2
Adrenergic signaling in cardiomyocytes	Ppp2r5a
Adrenergic signaling in cardiomyocytes	Gm2446
Adrenergic signaling in cardiomyocytes	Cacng8
Adrenergic signaling in cardiomyocytes	Actc1
Adrenergic signaling in cardiomyocytes	Mapk12
Adrenergic signaling in cardiomyocytes	Tpm4
Adrenergic signaling in cardiomyocytes	Cacng4
Adrenergic signaling in cardiomyocytes	Adcy3
Adrenergic signaling in cardiomyocytes	Atp2a2
Adrenergic signaling in cardiomyocytes	Atp1b2
Adrenergic signaling in cardiomyocytes	Myl4
Adrenergic signaling in cardiomyocytes	Scn7a
Adrenergic signaling in cardiomyocytes	Cacnb4
Adrenergic signaling in cardiomyocytes	Adcy7
Adrenergic signaling in cardiomyocytes	Atp1a1
Adrenergic signaling in cardiomyocytes	Fxyd2
Adrenergic signaling in cardiomyocytes	Atp2b2
Adrenergic signaling in cardiomyocytes	Kcnk2
Adrenergic signaling in cardiomyocytes	Calml4
Adrenergic signaling in cardiomyocytes	Akt2
Adrenergic signaling in cardiomyocytes	Creb3l4
Adrenergic signaling in cardiomyocytes	Creb3l1
Adrenergic signaling in cardiomyocytes	Plcb1
Adrenergic signaling in cardiomyocytes	Creb1
Adrenergic signaling in cardiomyocytes	Ppp2cb
Adrenergic signaling in cardiomyocytes	Atp1a3
Adrenergic signaling in cardiomyocytes	Calm3
Adrenergic signaling in cardiomyocytes	Kcne1
Adrenergic signaling in cardiomyocytes	Mapk1
Adrenergic signaling in cardiomyocytes	Ppp2r2a
Adrenergic signaling in cardiomyocytes	Scn4b
Adrenergic signaling in cardiomyocytes	Cacna2d1
Adrenergic signaling in cardiomyocytes	Ppp2r3d
Adrenergic signaling in cardiomyocytes	Atp2a3
Adrenergic signaling in cardiomyocytes	Camk2b
Adrenergic signaling in cardiomyocytes	Myl2
Adrenergic signaling in cardiomyocytes	Ppp2r2d
Adrenergic signaling in cardiomyocytes	Pik3cg
Adrenergic signaling in cardiomyocytes	Ppp2ca
Adrenergic signaling in cardiomyocytes	Rps6ka5
Adrenergic signaling in cardiomyocytes	Gnai2
Adrenergic signaling in cardiomyocytes	Cacng3
Adrenergic signaling in cardiomyocytes	Ppp1ccb
Adrenergic signaling in cardiomyocytes	Rapgef4
Adrenergic signaling in cardiomyocytes	Tpm1
Adrenergic signaling in cardiomyocytes	Mapk11
Adrenergic signaling in cardiomyocytes	Cacng1
Adrenergic signaling in cardiomyocytes	Mapk3
Adrenergic signaling in cardiomyocytes	Mapk13
Adrenergic signaling in cardiomyocytes	Scn1b
Adrenergic signaling in cardiomyocytes	Cacng2
Adrenergic signaling in cardiomyocytes	Tnnc1
Adrenergic signaling in cardiomyocytes	Ppp1ca
Adrenergic signaling in cardiomyocytes	Ppp2r1b
Adrenergic signaling in cardiomyocytes	Creb3
Adrenergic signaling in cardiomyocytes	Prkca
Adrenergic signaling in cardiomyocytes	Atp1b3
Adrenergic signaling in cardiomyocytes	Scn5a
Adrenergic signaling in cardiomyocytes	Slc8a2
Adrenergic signaling in cardiomyocytes	Gnas
Adrenergic signaling in cardiomyocytes	Rapgef3
Adrenergic signaling in cardiomyocytes	Adcy9
Adrenergic signaling in cardiomyocytes	Akt1
Adrenergic signaling in cardiomyocytes	Cacng6
Adrenergic signaling in cardiomyocytes	Ppp2r3c
Adrenergic signaling in cardiomyocytes	Adra1d
Adrenergic signaling in cardiomyocytes	Adrb1
Adrenergic signaling in cardiomyocytes	Creb5
Adrenergic signaling in cardiomyocytes	Prkaca
Adrenergic signaling in cardiomyocytes	Plcb3
Adrenergic signaling in cardiomyocytes	Atp2b1
Adrenergic signaling in cardiomyocytes	Cacnb3
Adrenergic signaling in cardiomyocytes	Creb3l2
Adrenergic signaling in cardiomyocytes	Prkacb
Adrenergic signaling in cardiomyocytes	Creb3l3
Adrenergic signaling in cardiomyocytes	Ppp1cb
Adrenergic signaling in cardiomyocytes	Adcy5
Adrenergic signaling in cardiomyocytes	Camk2d
Adrenergic signaling in cardiomyocytes	Tpm3
Adrenergic signaling in cardiomyocytes	Ppp2r1a
Adrenergic signaling in cardiomyocytes	Camk2a
Adrenergic signaling in cardiomyocytes	Plcb4
Adrenergic signaling in cardiomyocytes	Cacna2d4
Adrenergic signaling in cardiomyocytes	Atp1a4
Adrenergic signaling in cardiomyocytes	Bcl2
Adrenergic signaling in cardiomyocytes	Ppp1r1a
Adrenergic signaling in cardiomyocytes	Akt3
Adrenergic signaling in cardiomyocytes	Ppp2r2b
Adrenergic signaling in cardiomyocytes	Adcy4
Adrenergic signaling in cardiomyocytes	Tpm2
Adrenergic signaling in cardiomyocytes	Slc8a1
Adrenergic signaling in cardiomyocytes	Slc9a1
Adrenergic signaling in cardiomyocytes	Atp2a1
Adrenergic signaling in cardiomyocytes	Gnaq
Adrenergic signaling in cardiomyocytes	Pln
Adrenergic signaling in cardiomyocytes	Ryr2
Adrenergic signaling in cardiomyocytes	Tnni3
Adrenergic signaling in cardiomyocytes	Ppp2r2c
Adrenergic signaling in cardiomyocytes	Atp2b3
Adrenergic signaling in cardiomyocytes	Ppp2r5b
Adrenergic signaling in cardiomyocytes	Ppp2r5d
Adrenergic signaling in cardiomyocytes	Cacnb2
Adrenergic signaling in cardiomyocytes	Adcy6
Alanine, aspartate and glutamate metabolism	Aspa
Alanine, aspartate and glutamate metabolism	Cps1
Alanine, aspartate and glutamate metabolism	Abat
Alanine, aspartate and glutamate metabolism	Rimklb
Alanine, aspartate and glutamate metabolism	Glud1
Alanine, aspartate and glutamate metabolism	Gls2
Alanine, aspartate and glutamate metabolism	Nit2
Alanine, aspartate and glutamate metabolism	Gfpt2
Alanine, aspartate and glutamate metabolism	Asrgl1
Alanine, aspartate and glutamate metabolism	Gpt
Alanine, aspartate and glutamate metabolism	Gls
Alanine, aspartate and glutamate metabolism	Ppat
Alanine, aspartate and glutamate metabolism	Adssl1
Alanine, aspartate and glutamate metabolism	Ass1
Alanine, aspartate and glutamate metabolism	Adsl
Alanine, aspartate and glutamate metabolism	Gad2
Alanine, aspartate and glutamate metabolism	Glul
Alanine, aspartate and glutamate metabolism	Agxt
Alanine, aspartate and glutamate metabolism	Gad1
Alanine, aspartate and glutamate metabolism	Aldh5a1
Alanine, aspartate and glutamate metabolism	Got1
Alanine, aspartate and glutamate metabolism	Adss2
Alanine, aspartate and glutamate metabolism	Folh1
Alanine, aspartate and glutamate metabolism	Adss
Alanine, aspartate and glutamate metabolism	Agxt2
Alanine, aspartate and glutamate metabolism	Ddo
Alanine, aspartate and glutamate metabolism	Aldh4a1
Alanine, aspartate and glutamate metabolism	Asl
Alanine, aspartate and glutamate metabolism	Cad
Alanine, aspartate and glutamate metabolism	Gpt2
Alanine, aspartate and glutamate metabolism	Rimkla
Alanine, aspartate and glutamate metabolism	Lao1
Alanine, aspartate and glutamate metabolism	Got2
Alanine, aspartate and glutamate metabolism	Il4i1
Alanine, aspartate and glutamate metabolism	Nat8l
Alanine, aspartate and glutamate metabolism	Gfpt1
Alanine, aspartate and glutamate metabolism	Got1l1
Alanine, aspartate and glutamate metabolism	Adss1
Alanine, aspartate and glutamate metabolism	Asns
Alanine, aspartate and glutamate metabolism	4930438A08Rik
Alanine, aspartate and glutamate metabolism	Il4i1b
Aldosterone synthesis and secretion	Agtr1b
Aldosterone synthesis and secretion	Mc2r
Aldosterone synthesis and secretion	Atf2
Aldosterone synthesis and secretion	Prkd3
Aldosterone synthesis and secretion	Calml3
Aldosterone synthesis and secretion	Cacna1f
Aldosterone synthesis and secretion	Gna11
Aldosterone synthesis and secretion	Camk1d
Aldosterone synthesis and secretion	Gm10681
Aldosterone synthesis and secretion	Cacna1s
Aldosterone synthesis and secretion	Cacna1d
Aldosterone synthesis and secretion	Calm5
Aldosterone synthesis and secretion	Hsd3b8
Aldosterone synthesis and secretion	Camk2g
Aldosterone synthesis and secretion	Calm1
Aldosterone synthesis and secretion	Hsd3b1
Aldosterone synthesis and secretion	Cacna1c
Aldosterone synthesis and secretion	Cyp21a1
Aldosterone synthesis and secretion	Agtr1a
Aldosterone synthesis and secretion	Nr4a1
Aldosterone synthesis and secretion	Calm2
Aldosterone synthesis and secretion	Dagla
Aldosterone synthesis and secretion	Atp2b4
Aldosterone synthesis and secretion	Itpr1
Aldosterone synthesis and secretion	Atp1b4
Aldosterone synthesis and secretion	Npr1
Aldosterone synthesis and secretion	Plcb2
Aldosterone synthesis and secretion	Hsd3b9
Aldosterone synthesis and secretion	Adcy8
Aldosterone synthesis and secretion	Atp1b1
Aldosterone synthesis and secretion	Camk4
Aldosterone synthesis and secretion	Hsd3b6
Aldosterone synthesis and secretion	Hsd3b2
Aldosterone synthesis and secretion	Prkcb
Aldosterone synthesis and secretion	Calm4
Aldosterone synthesis and secretion	Adcy1
Aldosterone synthesis and secretion	Lipe
Aldosterone synthesis and secretion	Atf6b
Aldosterone synthesis and secretion	Prkd2
Aldosterone synthesis and secretion	Atf4
Aldosterone synthesis and secretion	Agt
Aldosterone synthesis and secretion	Kcnk3
Aldosterone synthesis and secretion	Adcy2
Aldosterone synthesis and secretion	Pomc
Aldosterone synthesis and secretion	Camk1g
Aldosterone synthesis and secretion	Atp1a2
Aldosterone synthesis and secretion	Hsd3b5
Aldosterone synthesis and secretion	Star
Aldosterone synthesis and secretion	Adcy3
Aldosterone synthesis and secretion	Atp1b2
Aldosterone synthesis and secretion	Adcy7
Aldosterone synthesis and secretion	Atp1a1
Aldosterone synthesis and secretion	Nppa
Aldosterone synthesis and secretion	Atp2b2
Aldosterone synthesis and secretion	Calml4
Aldosterone synthesis and secretion	Prkcg
Aldosterone synthesis and secretion	Creb3l4
Aldosterone synthesis and secretion	Creb3l1
Aldosterone synthesis and secretion	Kcnk9
Aldosterone synthesis and secretion	Plcb1
Aldosterone synthesis and secretion	Creb1
Aldosterone synthesis and secretion	Itpr3
Aldosterone synthesis and secretion	Atp1a3
Aldosterone synthesis and secretion	Calm3
Aldosterone synthesis and secretion	Camk2b
Aldosterone synthesis and secretion	Hsd3b3
Aldosterone synthesis and secretion	Kcnj5
Aldosterone synthesis and secretion	Ldlr
Aldosterone synthesis and secretion	Daglb
Aldosterone synthesis and secretion	Cacna1h
Aldosterone synthesis and secretion	Atf1
Aldosterone synthesis and secretion	Cacna1i
Aldosterone synthesis and secretion	Creb3
Aldosterone synthesis and secretion	Prkca
Aldosterone synthesis and secretion	Atp1b3
Aldosterone synthesis and secretion	Itpr2
Aldosterone synthesis and secretion	Cyp11b1
Aldosterone synthesis and secretion	Prkce
Aldosterone synthesis and secretion	Gnas
Aldosterone synthesis and secretion	Scarb1
Aldosterone synthesis and secretion	Adcy9
Aldosterone synthesis and secretion	Hsd3b4
Aldosterone synthesis and secretion	Prkd1
Aldosterone synthesis and secretion	Creb5
Aldosterone synthesis and secretion	Pde2a
Aldosterone synthesis and secretion	Prkaca
Aldosterone synthesis and secretion	Plcb3
Aldosterone synthesis and secretion	Cyp11a1
Aldosterone synthesis and secretion	Nr4a2
Aldosterone synthesis and secretion	Atp2b1
Aldosterone synthesis and secretion	Creb3l2
Aldosterone synthesis and secretion	Prkacb
Aldosterone synthesis and secretion	Creb3l3
Aldosterone synthesis and secretion	Adcy5
Aldosterone synthesis and secretion	Camk2d
Aldosterone synthesis and secretion	Camk2a
Aldosterone synthesis and secretion	Plcb4
Aldosterone synthesis and secretion	Camk1
Aldosterone synthesis and secretion	Cacna1g
Aldosterone synthesis and secretion	Atp1a4
Aldosterone synthesis and secretion	Orai1
Aldosterone synthesis and secretion	Adcy4
Aldosterone synthesis and secretion	Gnaq
Aldosterone synthesis and secretion	Atp2b3
Aldosterone synthesis and secretion	Adcy6
Aldosterone-regulated sodium reabsorption	Atp1a1
Aldosterone-regulated sodium reabsorption	Fxyd2
Aldosterone-regulated sodium reabsorption	Prkca
Aldosterone-regulated sodium reabsorption	Atp1b1
Aldosterone-regulated sodium reabsorption	Atp1b3
Aldosterone-regulated sodium reabsorption	Prkcb
Aldosterone-regulated sodium reabsorption	Prkcg
Aldosterone-regulated sodium reabsorption	Pik3r2
Aldosterone-regulated sodium reabsorption	Hsd11b2
Aldosterone-regulated sodium reabsorption	Pik3r1
Aldosterone-regulated sodium reabsorption	Kcnj1
Aldosterone-regulated sodium reabsorption	Igf1
Aldosterone-regulated sodium reabsorption	Atp1a3
Aldosterone-regulated sodium reabsorption	Insr
Aldosterone-regulated sodium reabsorption	Scnn1b
Aldosterone-regulated sodium reabsorption	Pik3cb
Aldosterone-regulated sodium reabsorption	Mapk1
Aldosterone-regulated sodium reabsorption	Slc9a3r2
Aldosterone-regulated sodium reabsorption	Nr3c2
Aldosterone-regulated sodium reabsorption	Scnn1a
Aldosterone-regulated sodium reabsorption	Scnn1g
Aldosterone-regulated sodium reabsorption	Pik3r3
Aldosterone-regulated sodium reabsorption	Pik3cd
Aldosterone-regulated sodium reabsorption	Kras
Aldosterone-regulated sodium reabsorption	Atp1a4
Aldosterone-regulated sodium reabsorption	Atp1a2
Aldosterone-regulated sodium reabsorption	Nedd4l
Aldosterone-regulated sodium reabsorption	Irs1
Aldosterone-regulated sodium reabsorption	Sfn
Aldosterone-regulated sodium reabsorption	Pdpk1
Aldosterone-regulated sodium reabsorption	Mapk3
Aldosterone-regulated sodium reabsorption	Ins1
Aldosterone-regulated sodium reabsorption	Ins2
Aldosterone-regulated sodium reabsorption	Atp1b4
Aldosterone-regulated sodium reabsorption	Fxyd4
Aldosterone-regulated sodium reabsorption	Atp1b2
Aldosterone-regulated sodium reabsorption	Sgk1
Aldosterone-regulated sodium reabsorption	Nherf2
Aldosterone-regulated sodium reabsorption	Pik3ca
alpha-Linolenic acid metabolism	Pla2g4d
alpha-Linolenic acid metabolism	Pla2g4f
alpha-Linolenic acid metabolism	Pla2g4a
alpha-Linolenic acid metabolism	Pla2g4e
alpha-Linolenic acid metabolism	Pla2g2f
alpha-Linolenic acid metabolism	Plb1
alpha-Linolenic acid metabolism	Pla2g5
alpha-Linolenic acid metabolism	Pla2g2e
alpha-Linolenic acid metabolism	Pla2g2c
alpha-Linolenic acid metabolism	Pla2g1b
alpha-Linolenic acid metabolism	Pla2g4b
alpha-Linolenic acid metabolism	Pla2g12a
alpha-Linolenic acid metabolism	Pla2g4c
alpha-Linolenic acid metabolism	Pla2g6
alpha-Linolenic acid metabolism	Acaa1b
alpha-Linolenic acid metabolism	Pla2g2a
alpha-Linolenic acid metabolism	Fads2
alpha-Linolenic acid metabolism	Pla2g10
alpha-Linolenic acid metabolism	Acox3
alpha-Linolenic acid metabolism	Pla2g2d
alpha-Linolenic acid metabolism	Pla2g12b
alpha-Linolenic acid metabolism	Plaat3
alpha-Linolenic acid metabolism	Acaa1a
alpha-Linolenic acid metabolism	Pla2g3
alpha-Linolenic acid metabolism	Acox1
Alzheimer's disease	Apoe
Alzheimer's disease	Cox7a2
Alzheimer's disease	Cox7b
Alzheimer's disease	Rtn4
Alzheimer's disease	Ndufa1
Alzheimer's disease	Atp5g2
