tf,p-value
Zfpm1,0.0045
Ncor2,0.0052
Ifi204,0.0053
Sox12,0.0054
Xbp1,0.0055
Rorc,0.006
Gtf2i,0.0069
Trp53,0.0076
Hmgb1,0.0078
Sox17,0.0087
Nr3c1,0.0093
Srrt,0.0097
Irx3,0.0098
Zfp768,0.011
Gabpa,0.013
Pparg,0.0136
Rcor1,0.0138
Sp110,0.0139
Zfp35,0.014
Ilf3,0.015
Thap7,0.0156
Taf8,0.0173
Maz,0.0177
Trim28,0.0192
Mta1,0.0194
Dnajb6,0.0208
Tbx2,0.0225
Hsf1,0.0225
Cebpb,0.0237
Stat5b,0.0239
Nfatc4,0.0259
Junb,0.0262
Cbfb,0.0276
Tada2a,0.0288
Gatad1,0.0301
Foxm1,0.0307
Tmpo,0.0316
Klf13,0.0321
Klf9,0.0323
Foxp1,0.0331
Kdm1a,0.0384
Nr3c2,0.0422
Hnrnpd,0.0426
Tardbp,0.0426
Erf,0.0466
Camta1,0.0479
Crebzf,0.0486
Egr2,0.0491
Zfp281,0.05
Atf1,0.0538
Chd1,0.0554
Thra,0.0581
Med6,0.0584
E2f2,0.0585
Smad3,0.0585
Smad6,0.0588
Mta3,0.0626
Hnrnpab,0.0686
Chd4,0.0718
Safb,0.0725
Hhex,0.0823
Ppara,0.0826
Hand2,0.0845
Mafg,0.0855
Ilf2,0.0868
Rbbp5,0.087
Sarnp,0.0881
Zbtb7a,0.0892
Zfp46,0.0907
Carhsp1,0.0921
Sox4,0.0935
Hic1,0.1017
Hlf,0.1024
Mlx,0.1063
Psmc3ip,0.1111
Gtf2a1,0.1115
Klf15,0.1123
Rara,0.1126
Fli1,0.1129
Taf1,0.1192
Zfp384,0.1229
Prdm4,0.1239
Pbrm1,0.128
Ssrp1,0.1293
Cdc5l,0.1396
Gtf2f2,0.1413
Gtf2e2,0.1449
Cebpa,0.1452
Psip1,0.1467
Gata2,0.1488
Csrnp1,0.1488
Irf5,0.1571
Zfp395,0.1595
Pnn,0.1668
Nfyb,0.1714
Son,0.1775
Zc3h8,0.1844
Hdac1,0.1869
Tfeb,0.1914
Tcf21,0.1957
Msl3,0.1986
Hmgn5,0.2013
Mbd2,0.2017
Camta2,0.2065
Ddx41,0.2225
Ankrd1,0.2281
Tfpt,0.2375
Bclaf1,0.2394
Brd4,0.241
Rela,0.2425
Nr0b2,0.2473
Cc2d1a,0.2497
Ppargc1a,0.2498
Taf2,0.2516
Rbmxl1,0.2561
Nfyc,0.2581
Taf1d,0.2651
Zfp120,0.269
Nfe2l1,0.2695
Smarcc1,0.2702
Ctcf,0.2707
Edf1,0.2716
Hdac2,0.2819
Fubp1,0.2828
Dnmt1,0.2888
Zbtb20,0.2901
Hnrnpk,0.2985
Foxo4,0.3079
E2f3,0.3109
Rbmx,0.3132
Pcgf2,0.3195
Pus1,0.3241
Esrrb,0.3242
Nat14,0.3253
Npm1,0.3263
Etv6,0.3273
Nr1d1,0.3289
Fosl1,0.3293
Tcf20,0.3301
Zbtb22,0.3306
Epas1,0.3322
Ogg1,0.3322
Spata24,0.3327
Zfp511,0.3328
Arrb1,0.3332
Bhlhe40,0.3335
Rcor2,0.3339
Mier1,0.3354
Egr1,0.3362
Mbd1,0.3378
Nfix,0.3379
Pcna,0.3386
Rbpj,0.3399
Ncoa3,0.34
Creb3,0.3409
Sfpq,0.3507
Sub1,0.351
Hells,0.3557
Zfp516,0.3667
Nostrin,0.3699
Foxp4,0.3814
Pml,0.3846
Uhrf1,0.3856
Ezh2,0.3921
Taf11,0.3987
Nfkb2,0.3988
Hdgf,0.4045
Bahd1,0.4108
Rbbp8,0.4138
Hmgb2,0.4138
Rarg,0.4201
Esrrg,0.4206
Creb3l1,0.4252
Tcea3,0.4327
Hlx,0.437
Zeb1,0.4413
Cry2,0.4494
Atf5,0.4523
Nfe2l2,0.4538
Tcea1,0.457
Rere,0.4582
Smarca5,0.4624
Suz12,0.4674
Jdp2,0.4691
Pias4,0.4716
E2f6,0.4748
Yy1,0.4787
Smad1,0.4796
Topors,0.4911
Nr2f6,0.5279
Tcf12,0.539
Ing2,0.5394
Atf4,0.5435
Pa2g4,0.544
Sra1,0.5502
Mafk,0.5518
Arid5b,0.5555
Mxd3,0.5567
Rnf10,0.558
Esrra,0.5582
Lmo4,0.5646
Cc2d1b,0.5658
Dnajc2,0.5693
Clock,0.5726
Sap30,0.5764
Zfp148,0.5813
Ruvbl2,0.5823
Trim16,0.5993
Calcoco1,0.6037
Ets1,0.607
Gtf2h5,0.6149
Arid1a,0.6271
Taf10,0.6287
Mef2a,0.6366
Mybbp1a,0.6419
Tef,0.6514
Usf1,0.6578
Irf3,0.6584
Irx1,0.6589
Deaf1,0.6606
E2f1,0.6612
Zfx,0.6628
Tfdp1,0.6634
Smad7,0.6637
Zfp692,0.6643
Hltf,0.6646
Klf16,0.6655
Etv5,0.667
Max,0.6701
Nfil3,0.6702
Phtf2,0.6704
Khsrp,0.6705
Klf4,0.6721
Sp1,0.6752
Mybl2,0.6776
Cnbp,0.6799
Zkscan17,0.7025
Ercc3,0.7043
Tbx3,0.7138
Smarca2,0.7141
Rxra,0.7265
Tbx20,0.7504
Hopx,0.7599
Smarcc2,0.7787
Hdac3,0.7815
Prox1,0.7835
Purb,0.7848
Elf4,0.7854
Kdm5c,0.7904
Heyl,0.7914
Tshz1,0.801
Zeb2,0.8091
Set,0.8213
Meox1,0.8235
Ppp1r8,0.8281
Fosl2,0.8384
Lrpprc,0.8498
Usf2,0.8537
Rfx1,0.8601
Ubp1,0.8761
Creb3l2,0.887
Cggbp1,0.8912
Thoc1,0.8914
Mef2d,0.8969
Maf,0.8979
Nolc1,0.9298
Carm1,0.9407
Tfip11,0.9425
Csde1,0.9485
Top2a,0.9609
C1d,0.9638
Preb,0.9694
Smad5,0.9714
Tgif1,0.9891
Nr4a1,0.9941
Csdc2,0.9995
Pbx2,1.0
Mxd4,1.0
Irx5,1.0
Sox9,1.0
Meis3,1.0
Hif1a,1.0
Smarca4,1.0
Cdk9,1.0
Tbl1xr1,1.0
Dbp,1.0
Etv4,1.0
