tf,p-value
Rnf6,0.188
Lrrfip1,0.204
Nfyc,0.2086
Tgif1,0.2213
Maf1,0.2281
Tbl1xr1,0.2307
Pnn,0.2367
Nat14,0.2418
E2f4,0.2492
Atf5,0.2501
Carhsp1,0.2543
Akna,0.2644
Rfx1,0.2663
Csdc2,0.2667
Rcor1,0.2689
Psip1,0.2695
Irx5,0.2822
Nr1h2,0.3101
Carm1,0.3117
Taf6l,0.3145
Nr2f6,0.3169
Mef2d,0.3181
Fubp1,0.3183
Rxrg,0.3187
Foxs1,0.3197
Zfp281,0.3207
Rbbp5,0.3217
Smarcc2,0.3232
Taf2,0.3233
Trim27,0.325
Adar,0.3267
Irf3,0.327
Cc2d1b,0.3272
Rcor2,0.3275
Smad6,0.3278
Mta1,0.3283
Zfp516,0.3285
Dr1,0.329
Cry2,0.3306
Sub1,0.3307
Ogg1,0.3317
Pbrm1,0.3321
Rest,0.3329
Nr3c1,0.333
Nr1d1,0.3331
Esrra,0.3331
Hmgb1,0.3332
Ndn,0.3349
Maz,0.3352
Foxk2,0.3358
Tfip11,0.3373
Foxn2,0.3382
Zfp697,0.3386
Sox4,0.3387
Zfp768,0.3406
Tcea1,0.3476
Srebf2,0.3496
Rnf10,0.3678
Gata6,0.396
Zfp46,0.3988
Klf4,0.402
E2f2,0.4034
App,0.4038
Prdx5,0.4047
Kdm2a,0.4104
Smarca5,0.4152
Pml,0.4167
Irf8,0.417
Scx,0.4207
Rbck1,0.4235
Stat6,0.4261
Hdac2,0.4494
Smarcc1,0.4498
Nfyb,0.4517
Mafg,0.4681
Hand2,0.4795
Ldb1,0.4812
Suz12,0.4863
Ppargc1a,0.4871
Zfpm1,0.4953
Jun,0.4957
Rps3,0.5138
Cebpb,0.5305
Ing2,0.5308
Mef2a,0.5328
Jdp2,0.536
Tmf1,0.5392
Cxxc1,0.5411
Bcl6b,0.5487
Hmgn3,0.5539
Hmg20b,0.5571
Pbx2,0.558
Thoc1,0.5764
Nfya,0.5783
Glis2,0.5832
Mta2,0.6015
Son,0.6063
Zfx,0.6097
Rbbp8,0.6127
Etv3,0.6244
Erg,0.6264
Stat5b,0.6332
Zfp110,0.6512
Crebzf,0.6558
Hopx,0.6562
Foxo4,0.6579
Ets1,0.6596
Hsf1,0.6608
Zfp263,0.6617
Nr1d2,0.662
Heyl,0.6621
Mbd2,0.663
C1d,0.6642
Ubp1,0.6658
Klf2,0.6676
E2f3,0.6679
Ercc3,0.6684
Taf11,0.669
Ifi204,0.6695
Dnajc2,0.67
Etv6,0.6701
Esrrb,0.6707
Xbp1,0.6708
Max,0.6719
Atxn1l,0.6727
Ets2,0.6728
Sox9,0.676
Brd4,0.6761
Csde1,0.6866
Junb,0.6955
Hnrnpab,0.7106
Nfatc1,0.7128
Lmo2,0.715
Taf8,0.7157
Thap7,0.7169
Mybbp1a,0.729
Sp1,0.7331
Gabpa,0.7395
Zfp395,0.7552
Zfp217,0.7634
Ddx58,0.7769
Rnf4,0.7794
Drap1,0.7856
Topors,0.801
Rbpj,0.804
Foxp4,0.8111
Ddx41,0.821
Creb3,0.8217
Mxd4,0.8274
Zbtb42,0.8296
Hhex,0.833
Trim28,0.842
Taf13,0.8531
Foxm1,0.8541
Fubp3,0.8561
Nono,0.8637
Hnrnpd,0.8687
Usf2,0.8845
Tardbp,0.8973
Smad4,0.9076
Mier1,0.9131
Gtf2b,0.9166
Cenpb,0.9486
Srrt,0.9549
Prox1,0.9629
Camta1,0.9679
Erf,0.9774
Runx3,0.9784
Gtf2i,0.9919
Smad5,0.9958
Ctcf,0.9974
Ciita,0.9994
Klf13,1.0
Myc,1.0
Zfp120,1.0
Thra,1.0
Zfp771,1.0
Meox2,1.0
Clock,1.0
Hdgf,1.0
Purb,1.0
