tf,p-value
Hnrnpab,0.0784
Nfatc4,0.0786
Fubp3,0.0812
Rbbp8,0.0824
Smarce1,0.0843
Kdm5c,0.0852
Rorc,0.0884
Foxp1,0.0947
Cbfb,0.0962
Ubp1,0.0981
Naca,0.1001
Hlx,0.1021
Zeb1,0.1058
Dnajc2,0.1065
Fos,0.107
Rbbp5,0.1104
Thap7,0.1121
Tbl1xr1,0.1126
Egr3,0.1163
Clock,0.1211
Zfpm1,0.1249
Psmc3ip,0.127
Tcea3,0.1286
Srrt,0.129
Irf1,0.1295
Klf16,0.1296
C1d,0.1347
Sp1,0.1361
Pus1,0.1371
Zfp120,0.143
Phtf1,0.1467
Maz,0.1522
Mxd4,0.1547
Nfya,0.1576
Mef2d,0.1618
Pbx2,0.1663
Smarcc2,0.1668
Hmgb1,0.1697
Tbx3,0.1704
Prox1,0.1717
Hmgn5,0.1737
Chd1,0.1784
Creb3l2,0.18
Lrrfip1,0.1801
Nfkb2,0.1806
Foxc2,0.1822
Nr1d1,0.1865
Rbmx,0.194
Bcl3,0.1963
Aebp1,0.2006
Zfp354c,0.2056
Dr1,0.2124
Xbp1,0.2213
Nfyc,0.2275
Arid1a,0.2276
Prrx2,0.2321
Nr1h3,0.2354
Cnbp,0.2384
Vps72,0.2406
Zfp110,0.2499
Tcf15,0.2616
Bcl6b,0.2673
Atf4,0.2744
Yy1,0.2748
Hdgf,0.2749
Cenpb,0.2776
Rxra,0.2816
Sub1,0.2831
Ing2,0.2897
Gtf2i,0.2928
Sox18,0.294
Esrra,0.2987
Zfp46,0.3067
Pias4,0.3126
Ctcf,0.3153
Foxo4,0.3156
Csdc2,0.326
Rest,0.3267
Sap30,0.328
Phtf2,0.3283
Brd4,0.3285
Dnajb6,0.3288
Mbd1,0.3311
Zkscan17,0.3315
Zbtb42,0.3322
Pml,0.3323
Jun,0.3324
Tbx2,0.3326
Mxd3,0.3327
Suz12,0.3328
Scx,0.3331
Ncor2,0.3331
Zbtb22,0.3336
Mbd2,0.3338
Cc2d1b,0.3346
Zhx1,0.335
Gtf2a1,0.3355
Lrpprc,0.3357
Usf1,0.3357
Fosb,0.3393
Ets2,0.3402
Safb2,0.3407
Zc3h8,0.3411
Cic,0.3505
Junb,0.3532
Nfic,0.3593
Cebpa,0.3597
Nr3c2,0.3607
Safb,0.3648
Atoh8,0.3673
Elf4,0.3721
Nr0b2,0.3742
Taf1,0.3755
Tcf3,0.3772
E2f2,0.3866
Tcea1,0.3872
Carhsp1,0.3873
Zfp281,0.3921
Pnn,0.4
Cdc5l,0.4016
Ercc3,0.4026
Sphk1,0.408
Gtf2h5,0.4176
Smad7,0.4286
Irf5,0.4299
Ddx41,0.4355
Psip1,0.4364
Aebp2,0.4396
Bmi1,0.4402
Sox7,0.4509
Hmgn3,0.4515
Ankrd1,0.4549
Maf,0.4631
Taf1d,0.4824
Glis2,0.4955
Tcf21,0.4971
Etv5,0.504
Ets1,0.5172
Zfp422,0.5182
Sra1,0.5352
Smad1,0.5381
Nfyb,0.5447
Cdk9,0.5474
Gpbp1,0.5502
Tardbp,0.5522
Foxp4,0.5563
Rnf10,0.5623
Puf60,0.5656
Elk3,0.5787
E2f3,0.5836
Stat5b,0.584
Hlf,0.5999
Esrrg,0.6046
Sox12,0.6207
Nfe2l1,0.6214
App,0.6339
Atf5,0.6591
Zfp217,0.66
Zfp148,0.6623
Rnf6,0.6631
Arid5b,0.6641
Nr4a1,0.6646
Rere,0.6658
Cebpb,0.6667
Egr2,0.6669
Trim16,0.668
Foxs1,0.6682
Max,0.6686
Hes1,0.6693
Rnf4,0.6699
Meis3,0.6739
Erg,0.6886
Creb3,0.7054
Meox1,0.7134
Mlx,0.7164
Son,0.7169
Smad2,0.7279
Tead3,0.7334
Zfp771,0.7362
Erf,0.7395
Csde1,0.7424
Hltf,0.7493
Prdx5,0.756
Calcoco1,0.7656
Hnrnpk,0.7781
Trp53,0.808
Meox2,0.8118
Usf2,0.8266
Ppargc1a,0.8397
Nr3c1,0.8444
Jdp2,0.8475
Snai1,0.8477
Ppara,0.8502
Mef2a,0.8517
Zfp516,0.8779
Camta2,0.8837
Cc2d1a,0.8881
Mta2,0.8985
Thoc1,0.908
Sox4,0.9152
Nono,0.9352
Smarca5,0.9396
Hes6,0.9421
Rcor1,0.9452
Gata2,0.9457
Arnt,0.9574
Hnrnpd,0.9608
Atf1,0.9638
Ctnnb1,0.9645
Rfc1,0.9697
Pbrm1,0.9729
Irx3,0.9784
Basp1,0.9885
Snai2,0.9928
Klf15,0.994
Bclaf1,0.9981
Tfpt,1.0
Smad5,1.0
Smarca2,1.0
Zfp263,1.0
Csrnp1,1.0
Snai3,1.0
Zfp768,1.0
Smad3,1.0
Hopx,1.0
Nfix,1.0
Zfx,1.0
Sp110,1.0
Nfe2l2,1.0
